target,class_label,count,pct,total
A_V_BLOK,0,1643,96.6470588235294,1700
A_V_BLOK,1,57,3.3529411764705883,1700
DRESSLER,0,1625,95.58823529411765,1700
DRESSLER,1,75,4.411764705882353,1700
FIBR_PREDS,0,1530,90.0,1700
FIBR_PREDS,1,170,10.0,1700
JELUD_TAH,0,1658,97.52941176470588,1700
JELUD_TAH,1,42,2.4705882352941173,1700
LET_IS,0,1429,84.05882352941177,1700
LET_IS,1,110,6.470588235294119,1700
LET_IS,3,54,3.176470588235294,1700
LET_IS,7,27,1.588235294117647,1700
LET_IS,6,27,1.588235294117647,1700
LET_IS,4,23,1.352941176470588,1700
LET_IS,2,18,1.0588235294117647,1700
LET_IS,5,12,0.7058823529411765,1700
OTEK_LANC,0,1541,90.64705882352942,1700
OTEK_LANC,1,159,9.352941176470589,1700
PREDS_TAH,0,1680,98.82352941176471,1700
PREDS_TAH,1,20,1.1764705882352942,1700
P_IM_STEN,0,1552,91.29411764705883,1700
P_IM_STEN,1,148,8.705882352941176,1700
RAZRIV,0,1646,96.82352941176471,1700
RAZRIV,1,54,3.176470588235294,1700
REC_IM,0,1541,90.64705882352942,1700
REC_IM,1,159,9.352941176470589,1700
ZSN,0,1306,76.8235294117647,1700
ZSN,1,394,23.176470588235293,1700
