Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
accuracy,DESKL (Balanced + MEC),DESKL (Balanced + STD),-0.6668048052890432,-56.40300448001941,4.526623478865222e-77,True,Worse
accuracy,DESKL (Balanced + MEC),DESKL (Baseline),-0.6972720309602516,-179.30429776942236,3.281308205699877e-126,True,Worse
accuracy,DESKL (Balanced + MEC),DESKL (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff
accuracy,DESKL (Balanced + MEC),DESKL (Cost-sensitive + STD),-0.4930065306780619,-19.018564857596235,7.92246291776673e-35,True,Worse
accuracy,DESKL (Balanced + MEC),DESKL (SMOTE + MEC),0.0,0.0,1.0,False,No Diff
accuracy,DESKL (Balanced + MEC),DESKL (SMOTE + STD),-0.6558618882528422,-44.298987051474,4.4299979093848446e-67,True,Worse
accuracy,DESKL (Balanced + MEC),KNORAE (Balanced + MEC),-0.012596146093687033,-2.654035384332092,0.009267590403195107,True,Worse
accuracy,DESKL (Balanced + MEC),KNORAE (Balanced + STD),-0.6055309199387247,-54.884389309992144,6.212284960407819e-76,True,Worse
accuracy,DESKL (Balanced + MEC),KNORAE (Baseline),-0.6754559380794969,-83.00464983046261,2.4669554273645897e-93,True,Worse
accuracy,DESKL (Balanced + MEC),KNORAE (Cost-sensitive + MEC),-0.02976215431750387,-3.2284269143852056,0.0016888500071158866,True,Worse
accuracy,DESKL (Balanced + MEC),KNORAE (Cost-sensitive + STD),-0.5785628476981375,-41.77548255523718,1.099801968830858e-64,True,Worse
accuracy,DESKL (Balanced + MEC),KNORAE (SMOTE + MEC),-0.006683463678142376,-1.140670185866745,0.25675911393345785,False,No Diff
accuracy,DESKL (Balanced + MEC),KNORAE (SMOTE + STD),-0.599240506329114,-52.422654228368515,5.026915765520336e-74,True,Worse
accuracy,DESKL (Balanced + MEC),LogisticRegression (Balanced + MEC),-0.1304623881319036,-5.180961154039692,1.1651964529271937e-06,True,Worse
accuracy,DESKL (Balanced + MEC),LogisticRegression (Balanced + STD),-0.6090345077803757,-49.96040782720481,4.955568834875506e-72,True,Worse
accuracy,DESKL (Balanced + MEC),LogisticRegression (Baseline),-0.6995730871563333,-51.20448757277549,4.7488096456166456e-73,True,Worse
accuracy,DESKL (Balanced + MEC),LogisticRegression (Cost-sensitive + MEC),-0.0919317906957994,-4.598060912167224,1.2620440352062995e-05,True,Worse
accuracy,DESKL (Balanced + MEC),LogisticRegression (Cost-sensitive + STD),-0.5183939369507378,-31.34378617468841,3.345062701131283e-53,True,Worse
accuracy,DESKL (Balanced + MEC),LogisticRegression (SMOTE + MEC),-0.14452430863500768,-4.956087190240737,2.9746341721764185e-06,True,Worse
accuracy,DESKL (Balanced + MEC),LogisticRegression (SMOTE + STD),-0.6050846569378376,-45.81123828141487,1.860527501426863e-68,True,Worse
accuracy,DESKL (Balanced + MEC),METADES (Balanced + MEC),0.0,0.0,1.0,False,No Diff
accuracy,DESKL (Balanced + MEC),METADES (Balanced + STD),-0.6751330323308878,-72.62629688340897,1.1037610895449588e-87,True,Worse
accuracy,DESKL (Balanced + MEC),METADES (Baseline),-0.6889417882770299,-135.47616106749942,3.2964133292438686e-114,True,Worse
accuracy,DESKL (Balanced + MEC),METADES (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff
accuracy,DESKL (Balanced + MEC),METADES (Cost-sensitive + STD),-0.5720801419011529,-26.946354363429,2.222827091957144e-47,True,Worse
accuracy,DESKL (Balanced + MEC),METADES (SMOTE + MEC),-0.00038176247682014663,-0.36978895049207705,0.7123296069796348,False,No Diff
accuracy,DESKL (Balanced + MEC),METADES (SMOTE + STD),-0.6560590179795212,-63.24978613739426,7.274528628150612e-82,True,Worse
accuracy,DESKL (Balanced + STD),DESKL (Balanced + MEC),0.6668048052890432,56.40300448001941,4.526623478865222e-77,True,Better
accuracy,DESKL (Balanced + STD),DESKL (Baseline),-0.03046722567120841,-2.450694680179671,0.016012078169082226,True,Worse
accuracy,DESKL (Balanced + STD),DESKL (Cost-sensitive + MEC),0.6668048052890432,55.73827581988706,1.412826329820801e-76,True,Better
accuracy,DESKL (Balanced + STD),DESKL (Cost-sensitive + STD),0.1737982746109813,5.935192102504616,4.346125890182964e-08,True,Better
accuracy,DESKL (Balanced + STD),DESKL (SMOTE + MEC),0.6668048052890432,55.95742635003081,9.694200342117637e-77,True,Better
accuracy,DESKL (Balanced + STD),DESKL (SMOTE + STD),0.010942917036200983,0.584201805091952,0.560413404945248,False,No Diff
accuracy,DESKL (Balanced + STD),KNORAE (Balanced + MEC),0.6542086591953561,50.78042267452734,1.0499279084798702e-72,True,Better
accuracy,DESKL (Balanced + STD),KNORAE (Balanced + STD),0.061273885350318524,4.063471492214519,9.695508766808642e-05,True,Better
accuracy,DESKL (Balanced + STD),KNORAE (Baseline),-0.008651132790453708,-0.5838507505129715,0.5606486564584414,False,No Diff
accuracy,DESKL (Balanced + STD),KNORAE (Cost-sensitive + MEC),0.6370426509715392,40.10553947230168,4.993372722876688e-63,True,Better
accuracy,DESKL (Balanced + STD),KNORAE (Cost-sensitive + STD),0.0882419575909057,5.454066270427473,3.6295115668947605e-07,True,Better
accuracy,DESKL (Balanced + STD),KNORAE (SMOTE + MEC),0.6601213416109007,48.267179868021366,1.3171423876720595e-70,True,Better
