Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
f1,DESKL (Balanced + MEC),DESKL (Balanced + STD),-0.2396290020721335,-9.556846787513834,1.0136367846126437e-15,True,Worse
f1,DESKL (Balanced + MEC),DESKL (Baseline),0.0632597473470074,1.7051627802467821,0.09130011551584154,False,No Diff
f1,DESKL (Balanced + MEC),DESKL (Cost-sensitive + MEC),-5.551115123125783e-17,0.0,1.0,False,No Diff
f1,DESKL (Balanced + MEC),DESKL (Cost-sensitive + STD),-0.16330815012577105,-8.718219970516808,6.78182449637357e-14,True,Worse
f1,DESKL (Balanced + MEC),DESKL (SMOTE + MEC),5.551115123125783e-17,0.0,1.0,False,No Diff
f1,DESKL (Balanced + MEC),DESKL (SMOTE + STD),-0.1938301312880853,-7.237712465662019,9.899099896455924e-11,True,Worse
f1,DESKL (Balanced + MEC),KNORAE (Balanced + MEC),-0.0016624985116215907,-0.7802316802926504,0.43711600546195273,False,No Diff
f1,DESKL (Balanced + MEC),KNORAE (Balanced + STD),-0.1424394424657104,-5.8051137253985,7.77585450811559e-08,True,Worse
f1,DESKL (Balanced + MEC),KNORAE (Baseline),-0.05858937028820266,-1.5835561121170618,0.1164842015221642,False,No Diff
f1,DESKL (Balanced + MEC),KNORAE (Cost-sensitive + MEC),-0.003217828197170869,-0.9993457791511339,0.32006358946567154,False,No Diff
f1,DESKL (Balanced + MEC),KNORAE (Cost-sensitive + STD),-0.14265194573755635,-6.38347146617991,5.623091702782737e-09,True,Worse
f1,DESKL (Balanced + MEC),KNORAE (SMOTE + MEC),-0.00042689479791663265,-0.20854193380216748,0.8352343034455652,False,No Diff
f1,DESKL (Balanced + MEC),KNORAE (SMOTE + STD),-0.10860671740478256,-4.231740581107995,5.187320186204371e-05,True,Worse
f1,DESKL (Balanced + MEC),LogisticRegression (Balanced + MEC),-0.03357867725835051,-4.488601297066557,1.9392211715790956e-05,True,Worse
f1,DESKL (Balanced + MEC),LogisticRegression (Balanced + STD),-0.2269487783714516,-11.108416094065868,4.2522813035275712e-19,True,Worse
f1,DESKL (Balanced + MEC),LogisticRegression (Baseline),-0.19664756844985698,-5.5739767334686725,2.1551337341862905e-07,True,Worse
f1,DESKL (Balanced + MEC),LogisticRegression (Cost-sensitive + MEC),-0.02265530761057527,-4.150425598877704,7.031511480809145e-05,True,Worse
f1,DESKL (Balanced + MEC),LogisticRegression (Cost-sensitive + STD),-0.17944250864205719,-10.401019378031647,1.4617504868033034e-17,True,Worse
f1,DESKL (Balanced + MEC),LogisticRegression (SMOTE + MEC),-0.03814206069704418,-4.390525867096761,2.834960696383605e-05,True,Worse
f1,DESKL (Balanced + MEC),LogisticRegression (SMOTE + STD),-0.2239720392762854,-12.158772781489324,2.350977387047519e-21,True,Worse
f1,DESKL (Balanced + MEC),METADES (Balanced + MEC),0.0,0.0,1.0,False,No Diff
f1,DESKL (Balanced + MEC),METADES (Balanced + STD),-0.20856021354659426,-6.833606702156088,6.829300264379189e-10,True,Worse
f1,DESKL (Balanced + MEC),METADES (Baseline),0.06363891436586161,1.4737439476888665,0.14372321351731882,False,No Diff
f1,DESKL (Balanced + MEC),METADES (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff
f1,DESKL (Balanced + MEC),METADES (Cost-sensitive + STD),-0.1986456954763356,-9.81934564569761,2.711082188529154e-16,True,Worse
f1,DESKL (Balanced + MEC),METADES (SMOTE + MEC),-9.150270456942389e-05,-0.07000241117861794,0.9443329485274908,False,No Diff
f1,DESKL (Balanced + MEC),METADES (SMOTE + STD),-0.15114046750387522,-5.530697676507098,2.6028404133563945e-07,True,Worse
f1,DESKL (Balanced + STD),DESKL (Balanced + MEC),0.2396290020721335,9.556846787513834,1.0136367846126437e-15,True,Better
f1,DESKL (Balanced + STD),DESKL (Baseline),0.3028887494191409,6.283400460473977,8.921554023496114e-09,True,Better
f1,DESKL (Balanced + STD),DESKL (Cost-sensitive + MEC),0.23962900207213345,9.54915756621119,1.0535535046857323e-15,True,Better
f1,DESKL (Balanced + STD),DESKL (Cost-sensitive + STD),0.07632085194636246,2.6736324850261814,0.008777946627352071,True,Better
f1,DESKL (Balanced + STD),DESKL (SMOTE + MEC),0.23962900207213356,9.507633030648844,1.2978913800603832e-15,True,Better
f1,DESKL (Balanced + STD),DESKL (SMOTE + STD),0.04579887078404821,1.2139033663162093,0.22767257339665228,False,No Diff
f1,DESKL (Balanced + STD),KNORAE (Balanced + MEC),0.2379665035605119,9.472755395129637,1.5463685735996273e-15,True,Better
f1,DESKL (Balanced + STD),KNORAE (Balanced + STD),0.09718955960642311,2.689642279421072,0.008395480903161523,True,Better
f1,DESKL (Balanced + STD),KNORAE (Baseline),0.18103963178393084,4.107886311287815,8.232514007369718e-05,True,Better
f1,DESKL (Balanced + STD),KNORAE (Cost-sensitive + MEC),0.23641117387496263,9.489116168011353,1.4243870816107926e-15,True,Better
f1,DESKL (Balanced + STD),KNORAE (Cost-sensitive + STD),0.09697705633457715,3.0700524574771078,0.002762363828068367,True,Better
f1,DESKL (Balanced + STD),KNORAE (SMOTE + MEC),0.23920210727421687,9.475867182688246,1.522390026261874e-15,True,Better
f1,DESKL (Balanced + STD),KNORAE (SMOTE + STD),0.13102228466735094,3.9189234101564425,0.0001638387704488002,True,Better
f1,DESKL (Balanced + STD),LogisticRegression (Balanced + MEC),0.206050324813783,7.732321776172059,8.9460150984912e-12,True,Better
f1,DESKL (Balanced + STD),LogisticRegression (Balanced + STD),0.012680223700681892,0.4196846174772205,0.67562522660703,False,No Diff
f1,DESKL (Balanced + STD),LogisticRegression (Baseline),0.04298143362227652,0.9991898796761424,0.32013871120296006,False,No Diff
f1,DESKL (Balanced + STD),LogisticRegression (Cost-sensitive + MEC),0.21697369446155823,8.548839716723236,1.5786907580404718e-13,True,Better
f1,DESKL (Balanced + STD),LogisticRegression (Cost-sensitive + STD),0.060186493430076315,1.8816699228791884,0.06281851951841143,False,No Diff
f1,DESKL (Balanced + STD),LogisticRegression (SMOTE + MEC),0.20148694137508932,8.057790605864216,1.8047581642725913e-12,True,Better
f1,DESKL (Balanced + STD),LogisticRegression (SMOTE + STD),0.015656962795848106,0.5108790527942971,0.6105731434672097,False,No Diff
f1,DESKL (Balanced + STD),METADES (Balanced + MEC),0.2396290020721335,9.523441134759212,1.1988243777773495e-15,True,Better
f1,DESKL (Balanced + STD),METADES (Balanced + STD),0.031068788525539237,0.7470433297374834,0.4568079871196189,False,No Diff
f1,DESKL (Balanced + STD),METADES (Baseline),0.3032679164379951,6.078073359439936,2.2796267939747857e-08,True,Better
f1,DESKL (Balanced + STD),METADES (Cost-sensitive + MEC),0.2396290020721335,9.561952239548539,9.87971778826762e-16,True,Better
f1,DESKL (Balanced + STD),METADES (Cost-sensitive + STD),0.04098330659579791,1.2763537445809703,0.20481658104322784,False,No Diff
f1,DESKL (Balanced + STD),METADES (SMOTE + MEC),0.23953749936756408,9.497477642541567,1.3658088246638035e-15,True,Better
f1,DESKL (Balanced + STD),METADES (SMOTE + STD),0.08848853456825828,2.40221037081458,0.01816076758949625,True,Better
f1,DESKL (Baseline),DESKL (Balanced + MEC),-0.0632597473470074,-1.7051627802467821,0.09130011551584154,False,No Diff
f1,DESKL (Baseline),DESKL (Balanced + STD),-0.3028887494191409,-6.283400460473977,8.921554023496114e-09,True,Worse
f1,DESKL (Baseline),DESKL (Cost-sensitive + MEC),-0.06325974734700746,-1.7054405650944042,0.0912481295306387,False,No Diff
f1,DESKL (Baseline),DESKL (Cost-sensitive + STD),-0.22656789747277845,-5.575578724825712,2.14010068519992e-07,True,Worse
f1,DESKL (Baseline),DESKL (SMOTE + MEC),-0.06325974734700734,-1.6944511983369186,0.09332323863683621,False,No Diff
f1,DESKL (Baseline),DESKL (SMOTE + STD),-0.2570898786350927,-5.542700292165765,2.4702671218184955e-07,True,Worse
