model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max
DESKL (Balanced + MEC),100.0,0.8403329839554948,0.0016657955207305922,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
DESKL (Balanced + STD),100.0,0.7860948963960331,0.14231389147667306,0.379746835443038,0.7070063694267515,0.7898089171974523,0.8996815286624205,1.0443037974683544
DESKL (Baseline),100.0,1.399712166411352,0.11154073159821075,1.1019108280254777,1.3375796178343948,1.4012738853503184,1.4658147222446183,1.6455696202531649
DESKL (Cost-sensitive + MEC),100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
DESKL (Cost-sensitive + STD),100.0,0.587201886640329,0.13174269740935052,0.3375796178343949,0.4873417721518987,0.5796178343949044,0.6878980891719745,0.8860759493670886
DESKL (SMOTE + MEC),100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
DESKL (SMOTE + STD),100.0,0.8943993388696283,0.14661764672994992,0.445859872611465,0.8073248407643312,0.9015963879706523,0.987281302910586,1.2025316455696202
KNORAE (Balanced + MEC),100.0,0.8374820607917443,0.033665404499107036,0.7961783439490446,0.821656050955414,0.8343949044585988,0.8407643312101911,1.0764331210191085
KNORAE (Balanced + STD),100.0,0.9104152221236798,0.16776970701405108,0.5569620253164557,0.7770700636942676,0.910828025477707,1.03343949044586,1.286624203821656
KNORAE (Baseline),100.0,1.217118035959042,0.15052695255991802,0.7515923566878981,1.1251914859308234,1.2222244618237523,1.310620414415867,1.6455696202531649
KNORAE (Cost-sensitive + MEC),100.0,0.8397702168830122,0.0471820036865558,0.7215189873417721,0.8089171974522293,0.8343949044585988,0.8678343949044587,1.0318471337579618
KNORAE (Cost-sensitive + STD),100.0,0.8514649681528662,0.16592307470648682,0.4430379746835443,0.7388535031847133,0.8471337579617835,0.9762355881641538,1.3121019108280254
KNORAE (SMOTE + MEC),100.0,0.8422446182375234,0.0240479462086896,0.7898089171974523,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.9681528662420382
KNORAE (SMOTE + STD),100.0,0.9979617834394905,0.16866944827257763,0.4713375796178344,0.909235668789809,0.987301459324357,1.0987261146496814,1.356687898089172
LogisticRegression (Balanced + MEC),100.0,0.7281964040957832,0.06911132968004932,0.5923566878980892,0.6740909457389341,0.732484076433121,0.7770700636942676,0.910828025477707
LogisticRegression (Balanced + STD),100.0,0.6206248488268968,0.15267382969491974,0.3248407643312102,0.5222929936305732,0.6114649681528662,0.7197452229299363,1.1265822784810129
LogisticRegression (Baseline),100.0,1.0114915746190438,0.16242521223496295,0.6835443037974683,0.9171974522292994,0.9968354430379747,1.122611464968153,1.5443037974683544
LogisticRegression (Cost-sensitive + MEC),100.0,0.7609981456099331,0.05386019936292249,0.5796178343949044,0.7321615738127872,0.7707006369426752,0.7965008465693784,0.8670886075949367
LogisticRegression (Cost-sensitive + STD),100.0,0.5595613964363462,0.1381881570712411,0.2356687898089172,0.4761146496815286,0.5445859872611465,0.6385350318471337,1.038216560509554
LogisticRegression (SMOTE + MEC),100.0,0.7164165927598161,0.07264399142420952,0.535031847133758,0.6624203821656051,0.7261146496815286,0.7733814399741998,0.8407643312101911
LogisticRegression (SMOTE + STD),100.0,0.6228585826009836,0.13156765022150282,0.3057324840764331,0.5308997823107312,0.6401273885350318,0.7213375796178343,0.8860759493670886
METADES (Balanced + MEC),100.0,0.8403329839554948,0.001665795520730592,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
METADES (Balanced + STD),100.0,0.8974776263807144,0.16887652191279554,0.4493670886075949,0.7945859872611465,0.8980891719745223,0.9761146496815286,1.3860759493670889
METADES (Baseline),100.0,1.3920277352253485,0.14028279060953405,0.9745222929936306,1.2929936305732483,1.412702571958397,1.4817786019511408,1.6455696202531649
METADES (Cost-sensitive + MEC),100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
METADES (Cost-sensitive + STD),100.0,0.6352225268080304,0.14318406579902343,0.3694267515923566,0.5286624203821656,0.6285777634443279,0.732484076433121,0.9872611464968152
METADES (SMOTE + MEC),100.0,0.8399512214786746,0.0024997109007165934,0.8280254777070064,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
METADES (SMOTE + STD),100.0,1.0012363944207046,0.15606922971077003,0.5668789808917197,0.928343949044586,0.9904458598726114,1.1218354430379747,1.3375796178343948
