model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
DESKL (Balanced + MEC),100.0,0.2753634937170218,0.002468565715332763,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
DESKL (Balanced + STD),100.0,0.5149924957891552,0.07230339887087389,0.3728813559322034,0.4677304964539007,0.5042372881355932,0.5581761006289309,0.7755102040816326
DESKL (Baseline),100.0,0.21210374637001445,0.10687391811262399,0.0,0.1481481481481481,0.2142857142857142,0.2758620689655172,0.4571428571428571
DESKL (Cost-sensitive + MEC),100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
DESKL (Cost-sensitive + STD),100.0,0.4386716438427929,0.05405511319020513,0.32,0.39679260133805583,0.43577050012693574,0.47268258426966286,0.5753424657534246
DESKL (SMOTE + MEC),100.0,0.2753634937170218,0.002468565715332763,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
DESKL (SMOTE + STD),100.0,0.46919362500510714,0.07701215129936327,0.2950819672131147,0.4115646258503401,0.46265328874024525,0.5255180946489328,0.7037037037037037
KNORAE (Balanced + MEC),100.0,0.27702599222864344,0.005903133915767663,0.24,0.2747252747252747,0.2777777777777778,0.2793296089385474,0.2888888888888888
KNORAE (Balanced + STD),100.0,0.4178029361827323,0.07070228884745589,0.2461538461538461,0.36858974358974356,0.4252359662195727,0.47003367003367,0.5573770491803278
KNORAE (Baseline),100.0,0.3339528640052245,0.10606090339880282,0.0,0.2777777777777778,0.3333333333333333,0.3926829268292683,0.5957446808510638
KNORAE (Cost-sensitive + MEC),100.0,0.27858132191419266,0.008937783087967738,0.2458100558659217,0.2747252747252747,0.2777777777777778,0.2824858757062147,0.3132530120481928
KNORAE (Cost-sensitive + STD),100.0,0.41801543945457814,0.06456380978811616,0.2553191489361702,0.3746606334841629,0.418979744936234,0.46209587513935335,0.5846153846153846
KNORAE (SMOTE + MEC),100.0,0.2757903885149385,0.005024893851727709,0.2555555555555555,0.2747252747252747,0.2747252747252747,0.2762430939226519,0.2909090909090909
KNORAE (SMOTE + STD),100.0,0.38397021112180446,0.07359270056410562,0.2153846153846154,0.3333333333333333,0.3859649122807017,0.433695652173913,0.5797101449275363
LogisticRegression (Balanced + MEC),100.0,0.30894217097537235,0.021106508694498035,0.273224043715847,0.2923976608187134,0.3062404751670509,0.325,0.3511450381679389
LogisticRegression (Balanced + STD),100.0,0.5023122720884734,0.05845565453831224,0.2972972972972973,0.4738970588235294,0.5072524700441454,0.5428571428571428,0.6285714285714286
LogisticRegression (Baseline),100.0,0.4720110621668788,0.10154256623010487,0.1269841269841269,0.4,0.48237367802585196,0.5465909090909091,0.6829268292682927
LogisticRegression (Cost-sensitive + MEC),100.0,0.29801880132759706,0.015499754020612719,0.2747252747252747,0.2868981846882399,0.2958579881656805,0.30722184352041204,0.3546099290780142
LogisticRegression (Cost-sensitive + STD),100.0,0.454806002359079,0.049486493707407334,0.3043478260869565,0.4219298245614035,0.45346320346320346,0.4938997821350762,0.6
LogisticRegression (SMOTE + MEC),100.0,0.31350555441406597,0.025057063378760708,0.2747252747252747,0.2954229028889662,0.3081671415004748,0.3289473684210526,0.396551724137931
LogisticRegression (SMOTE + STD),100.0,0.4993355329933072,0.05246563119087739,0.3855421686746988,0.461018711018711,0.4931506849315068,0.5333333333333333,0.6060606060606061
METADES (Balanced + MEC),100.0,0.2753634937170218,0.0024685657153327633,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
METADES (Balanced + STD),100.0,0.48392370726361605,0.08757354352578124,0.2105263157894736,0.4433333333333333,0.4833147942157954,0.5312925170068028,0.7017543859649122
METADES (Baseline),100.0,0.2117245793511602,0.12404384393371708,0.0,0.132258064516129,0.2068965517241379,0.29634581105169333,0.5263157894736842
METADES (Cost-sensitive + MEC),100.0,0.2753634937170218,0.002468565715332763,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
METADES (Cost-sensitive + STD),100.0,0.4740091891933574,0.05802218352430953,0.3166666666666666,0.4332557502738225,0.4769012082444918,0.5077777777777778,0.6229508196721312
METADES (SMOTE + MEC),100.0,0.2754549964215912,0.0025300890445253688,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2841530054644808
METADES (SMOTE + STD),100.0,0.426503961220897,0.0784736948652781,0.2456140350877192,0.3703703703703703,0.4338680926916221,0.46317512274959083,0.6530612244897959
