model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL (Baseline),100.0,1.3997121664113517,0.11154073159821075,1.1019108280254777,1.3375796178343948,1.4012738853503184,1.4658147222446183,1.6455696202531649,100.0,0.8569390470047571,0.011343204582145069,0.8280254777070064,0.8471337579617835,0.8571514956059019,0.8662420382165605,0.879746835443038,100.0,0.8044830447330449,0.2819597109882363,0.0,0.75,0.9444444444444444,1.0,1.0,100.0,0.1255076923076923,0.06960502483584029,0.0,0.08,0.12,0.16,0.32,100.0,0.21210374637001436,0.10687391811262399,0.0,0.1481481481481481,0.2142857142857142,0.2758620689655172,0.4571428571428571,100.0,0.792803221778222,0.08400393407748341,0.5,0.760568181818182,0.8107517482517482,0.8441666666666666,0.9330303030303032
DESKL (Cost-sensitive + Minimum Expected Cost),100.0,0.8403329839554948,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.8269867974131132,0.043607141284778765,0.6915151515151515,0.8023484848484849,0.8242424242424242,0.8499043062200956,0.9321095571095572
DESKL (Cost-sensitive + Standard Threshold),100.0,0.587201886640329,0.13174269740935052,0.3375796178343949,0.4873417721518987,0.5796178343949044,0.6878980891719745,0.8860759493670886,100.0,0.652673546722567,0.07457473028484056,0.4585987261146497,0.6114649681528662,0.6624203821656051,0.7011106183987744,0.802547770700637,100.0,0.3004162589569799,0.04846615660038367,0.2,0.26462136578769435,0.2979023799919322,0.32793288934426224,0.4375,100.0,0.8331846153846153,0.08533976996300069,0.56,0.76,0.84,0.88,1.0,100.0,0.4386716438427928,0.054055113190205145,0.32,0.39679260133805583,0.43577050012693574,0.47268258426966286,0.5753424657534246,100.0,0.826768542860648,0.047043452806403825,0.7003030303030303,0.7920658508158508,0.8298484848484848,0.8628787878787879,0.9193939393939394
DESKL (SMOTE + Minimum Expected Cost),100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.27536349371702173,0.0024685657153327633,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.7887689880295143,0.04774308316561766,0.6640909090909091,0.7524242424242424,0.7948678514467988,0.8200757575757576,0.922121212121212
DESKL (SMOTE + Standard Threshold),100.0,0.8943993388696282,0.14661764672994992,0.445859872611465,0.8073248407643312,0.9015963879706523,0.987281302910586,1.2025316455696202,100.0,0.8155289042973476,0.042346962821957004,0.6815286624203821,0.7908066596791099,0.8164556962025317,0.8471337579617835,0.8980891719745223,100.0,0.4515793026259385,0.10069417684308918,0.2340425531914893,0.37753378378378377,0.4422222222222222,0.5204347826086957,0.7857142857142857,100.0,0.5057538461538463,0.09621927719375034,0.28,0.44,0.5,0.56,0.76,100.0,0.4691936250051072,0.07701215129936327,0.2950819672131147,0.4115646258503401,0.46265328874024525,0.5255180946489328,0.7037037037037037,100.0,0.7907749745868167,0.04851344378125438,0.6443939393939393,0.7623484848484849,0.7928787878787878,0.818030303030303,0.9351515151515152
KNORAE (Baseline),100.0,1.217118035959042,0.15052695255991802,0.7515923566878981,1.1251914859308234,1.2222244618237523,1.310620414415867,1.6455696202531649,100.0,0.8351229541240024,0.023343098587899208,0.7515923566878981,0.821656050955414,0.8343949044585988,0.8471337579617835,0.89171974522293,100.0,0.4766204838706857,0.1648649738976416,0.0,0.3846153846153846,0.4615384615384615,0.5384615384615384,1.0,100.0,0.2677692307692308,0.09779161542696509,0.0,0.2,0.28,0.32,0.56,100.0,0.3339528640052245,0.10606090339880282,0.0,0.2777777777777778,0.3333333333333333,0.3926829268292683,0.5957446808510638,100.0,0.7165541178120125,0.06543148662663986,0.5,0.6901376255323625,0.7253030303030303,0.7586742424242424,0.8339393939393941
KNORAE (Cost-sensitive + Minimum Expected Cost),100.0,0.8397702168830123,0.0471820036865558,0.7215189873417721,0.8089171974522293,0.8343949044585988,0.8678343949044587,1.0318471337579618,100.0,0.18942917036200912,0.026467384941716163,0.1401273885350318,0.1719745222929936,0.1847133757961783,0.2025316455696202,0.2993630573248407,100.0,0.16240038653363975,0.005672577038759272,0.1428571428571428,0.1592356687898089,0.1612903225806451,0.1644736842105263,0.1857142857142857,100.0,0.9796923076923076,0.028032103320443993,0.88,0.96,1.0,1.0,1.0,100.0,0.27858132191419266,0.008937783087967738,0.2458100558659217,0.2747252747252747,0.2777777777777778,0.2824858757062147,0.3132530120481928,100.0,0.7404987494961179,0.053848473486448716,0.6077272727272728,0.7015151515151516,0.7401515151515151,0.7815470494417862,0.84
KNORAE (Cost-sensitive + Standard Threshold),100.0,0.8514649681528661,0.1659230747064868,0.4430379746835443,0.7388535031847133,0.8471337579617835,0.9762355881641538,1.3121019108280254,100.0,0.7382298637426428,0.0396852810836461,0.6305732484076433,0.708397161976941,0.7388535031847133,0.7647041038458438,0.8291139240506329,100.0,0.32717036919876996,0.05364010965440881,0.2,0.29575163398692805,0.32495285983658073,0.35666666666666663,0.4871794871794871,100.0,0.5894307692307692,0.10832176018512502,0.24,0.515,0.6,0.6603846153846153,0.8461538461538461,100.0,0.41801543945457814,0.06456380978811616,0.2553191489361702,0.3746606334841629,0.418979744936234,0.46209587513935335,0.5846153846153846,100.0,0.7395720936957778,0.05833353407152111,0.5422727272727274,0.7055365686944635,0.7386363636363636,0.7779166666666667,0.8524184149184149
KNORAE (SMOTE + Minimum Expected Cost),100.0,0.8422446182375235,0.024047946208689604,0.7898089171974523,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.9681528662420382,100.0,0.1663504797226477,0.01721581442763738,0.1464968152866242,0.1592356687898089,0.1592356687898089,0.1656050955414012,0.267515923566879,100.0,0.1601181566112246,0.0032529207776998983,0.1483870967741935,0.1592356687898089,0.1592356687898089,0.1602564102564102,0.1714285714285714,100.0,0.9939999999999999,0.017407765595569783,0.92,1.0,1.0,1.0,1.0,100.0,0.2757903885149385,0.005024893851727709,0.2555555555555555,0.2747252747252747,0.2747252747252747,0.2762430939226519,0.2909090909090909,100.0,0.7012832281753334,0.061555294763521715,0.4601515151515152,0.668245898838004,0.7046969696969697,0.7352651515151516,0.8583333333333334
KNORAE (SMOTE + Standard Threshold),100.0,0.9979617834394905,0.1686694482725776,0.4713375796178344,0.909235668789809,0.987301459324357,1.0987261146496814,1.356687898089172,100.0,0.7589075223736192,0.03270239674575496,0.6751592356687898,0.7388535031847133,0.759493670886076,0.7797206321051359,0.8471337579617835,100.0,0.32641682734981364,0.06327169815875111,0.175,0.2857142857142857,0.3225806451612903,0.3617424242424242,0.5238095238095238,100.0,0.47326153846153846,0.10651544327901129,0.24,0.4,0.48,0.52,0.8,100.0,0.3839702111218044,0.07359270056410562,0.2153846153846154,0.3333333333333333,0.3859649122807017,0.433695652173913,0.5797101449275363,100.0,0.7036915777205252,0.0562329186977382,0.5730303030303032,0.6635606060606061,0.7021212121212121,0.7388704716336295,0.8487878787878788
