Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
accuracy,DESKL (Baseline),DESKL (Cost-sensitive + Minimum Expected Cost),0.6972720309602516,171.56095011912151,2.5589975489989766e-124,True,Better
accuracy,DESKL (Baseline),DESKL (Cost-sensitive + Standard Threshold),0.2042655002821897,7.641763067775973,1.3931497046143356e-11,True,Better
accuracy,DESKL (Baseline),DESKL (SMOTE + Minimum Expected Cost),0.6972720309602516,174.61836036534643,4.4778744425234484e-125,True,Better
accuracy,DESKL (Baseline),DESKL (SMOTE + Standard Threshold),0.04141014270740928,2.681894140979677,0.00857864950055596,True,Better
accuracy,DESKL (Baseline),KNORAE (Baseline),0.0218160928807547,2.555574146018353,0.012122422430064499,True,Better
accuracy,DESKL (Baseline),KNORAE (Cost-sensitive + Minimum Expected Cost),0.6675098766427476,63.92356909139915,2.6121181472448358e-82,True,Better
accuracy,DESKL (Baseline),KNORAE (Cost-sensitive + Standard Threshold),0.118709183262114,8.297296396256575,5.514695090314323e-13,True,Better
accuracy,DESKL (Baseline),KNORAE (SMOTE + Minimum Expected Cost),0.6905885672821092,94.78771532325872,5.692020079027068e-99,True,Better
accuracy,DESKL (Baseline),KNORAE (SMOTE + Standard Threshold),0.09803152463113762,8.051609929038849,1.8606820031001906e-12,True,Better
accuracy,DESKL (Baseline),LogisticRegression (Baseline),-0.0023010561960816744,-0.15825502619087373,0.8745782057138443,False,No Diff
accuracy,DESKL (Baseline),LogisticRegression (Cost-sensitive + Minimum Expected Cost),0.6053402402644521,29.988581453848266,1.7596539986715797e-51,True,Better
accuracy,DESKL (Baseline),LogisticRegression (Cost-sensitive + Standard Threshold),0.1788780940095137,10.401380809053727,1.4591037122849266e-17,True,Better
accuracy,DESKL (Baseline),LogisticRegression (SMOTE + Minimum Expected Cost),0.5527477223252439,18.706568344225044,2.8624806589727467e-34,True,Better
accuracy,DESKL (Baseline),LogisticRegression (SMOTE + Standard Threshold),0.09218737402241395,6.3610409380885145,6.2375323414371065e-09,True,Better
accuracy,DESKL (Baseline),METADES (Baseline),0.008330242683221467,1.3211568802883882,0.18949450441520607,False,No Diff
accuracy,DESKL (Baseline),METADES (Cost-sensitive + Minimum Expected Cost),0.6972720309602516,175.0551968719055,3.499372300459199e-125,True,Better
accuracy,DESKL (Baseline),METADES (Cost-sensitive + Standard Threshold),0.1251918890590985,5.795212496939361,8.126033453189104e-08,True,Better
accuracy,DESKL (Baseline),METADES (SMOTE + Minimum Expected Cost),0.6968902684834314,171.83418612460545,2.1871319408984054e-124,True,Better
accuracy,DESKL (Baseline),METADES (SMOTE + Standard Threshold),0.041213012980730435,3.739965709501664,0.00030846878036558335,True,Better
accuracy,DESKL (Baseline),RandomForestClassifier (Baseline),0.0010211239216317836,0.18005720732845,0.8574757045030995,False,No Diff
