model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max
DESKL (Baseline),100.0,1.399712166411352,0.11154073159821075,1.1019108280254777,1.3375796178343948,1.4012738853503184,1.4658147222446183,1.6455696202531649
DESKL (Cost-sensitive + Minimum Expected Cost),100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
DESKL (Cost-sensitive + Standard Threshold),100.0,0.5872018866403289,0.13174269740935052,0.3375796178343949,0.4873417721518987,0.5796178343949044,0.6878980891719745,0.8860759493670886
DESKL (SMOTE + Minimum Expected Cost),100.0,0.8403329839554948,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
DESKL (SMOTE + Standard Threshold),100.0,0.8943993388696281,0.14661764672994992,0.445859872611465,0.8073248407643312,0.9015963879706523,0.987281302910586,1.2025316455696202
KNORAE (Baseline),100.0,1.2171180359590423,0.15052695255991802,0.7515923566878981,1.1251914859308234,1.2222244618237523,1.310620414415867,1.6455696202531649
KNORAE (Cost-sensitive + Minimum Expected Cost),100.0,0.8397702168830123,0.04718200368655579,0.7215189873417721,0.8089171974522293,0.8343949044585988,0.8678343949044587,1.0318471337579618
KNORAE (Cost-sensitive + Standard Threshold),100.0,0.8514649681528662,0.1659230747064868,0.4430379746835443,0.7388535031847133,0.8471337579617835,0.9762355881641538,1.3121019108280254
KNORAE (SMOTE + Minimum Expected Cost),100.0,0.8422446182375235,0.0240479462086896,0.7898089171974523,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.9681528662420382
KNORAE (SMOTE + Standard Threshold),100.0,0.9979617834394904,0.16866944827257763,0.4713375796178344,0.909235668789809,0.987301459324357,1.0987261146496814,1.356687898089172
LogisticRegression (Baseline),100.0,1.0114915746190438,0.16242521223496295,0.6835443037974683,0.9171974522292994,0.9968354430379747,1.122611464968153,1.5443037974683544
LogisticRegression (Cost-sensitive + Minimum Expected Cost),100.0,0.760998145609933,0.05386019936292249,0.5796178343949044,0.7321615738127872,0.7707006369426752,0.7965008465693784,0.8670886075949367
LogisticRegression (Cost-sensitive + Standard Threshold),100.0,0.559561396436346,0.13818815707124113,0.2356687898089172,0.4761146496815286,0.5445859872611465,0.6385350318471337,1.038216560509554
LogisticRegression (SMOTE + Minimum Expected Cost),100.0,0.7164165927598163,0.07264399142420952,0.535031847133758,0.6624203821656051,0.7261146496815286,0.7733814399741998,0.8407643312101911
LogisticRegression (SMOTE + Standard Threshold),100.0,0.6228585826009836,0.13156765022150282,0.3057324840764331,0.5308997823107312,0.6401273885350318,0.7213375796178343,0.8860759493670886
METADES (Baseline),100.0,1.392027735225349,0.14028279060953405,0.9745222929936306,1.2929936305732483,1.412702571958397,1.4817786019511408,1.6455696202531649
METADES (Cost-sensitive + Minimum Expected Cost),100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
METADES (Cost-sensitive + Standard Threshold),100.0,0.6352225268080303,0.14318406579902343,0.3694267515923566,0.5286624203821656,0.6285777634443279,0.732484076433121,0.9872611464968152
METADES (SMOTE + Minimum Expected Cost),100.0,0.8399512214786747,0.002499710900716594,0.8280254777070064,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
METADES (SMOTE + Standard Threshold),100.0,1.0012363944207048,0.15606922971076997,0.5668789808917197,0.928343949044586,0.9904458598726114,1.1218354430379747,1.3375796178343948
RandomForestClassifier (Baseline),100.0,1.4173611223091185,0.10982436305606245,1.1656050955414012,1.3375796178343948,1.4012738853503184,1.4832500201564138,1.5987261146496816
RandomForestClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.8403329839554948,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
RandomForestClassifier (Cost-sensitive + Standard Threshold),100.0,0.556202934773845,0.10686407760152959,0.3566878980891719,0.4761146496815286,0.5509554140127388,0.6311577844069983,0.8987341772151899
RandomForestClassifier (SMOTE + Minimum Expected Cost),100.0,0.8403329839554948,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
RandomForestClassifier (SMOTE + Standard Threshold),100.0,0.8491800370878014,0.17039871850587865,0.4810126582278481,0.7245222929936306,0.8343949044585988,0.963375796178344,1.5923566878980893
StackingClassifier (Baseline),100.0,0.9830383778118198,0.13693241407998277,0.6496815286624203,0.9028662420382166,0.9808917197452228,1.095541401273885,1.2929936305732483
StackingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.8403329839554948,0.0016657955207305922,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
StackingClassifier (Cost-sensitive + Standard Threshold),100.0,0.5024312666290414,0.11503454636299151,0.2611464968152866,0.4267515923566879,0.4904458598726114,0.5866423445940498,0.8291139240506329
StackingClassifier (SMOTE + Minimum Expected Cost),100.0,0.5315883254051439,0.09954653737781544,0.3312101910828025,0.47225469644440854,0.5286624203821656,0.5987261146496815,0.8734177215189873
StackingClassifier (SMOTE + Standard Threshold),100.0,0.7613678142384908,0.16832579411791798,0.4012738853503185,0.6386660485366443,0.7555631702007579,0.874203821656051,1.1464968152866242
VotingClassifier (Baseline),100.0,1.092469563815206,0.218419292800403,0.5095541401273885,0.960191082802548,1.105095541401274,1.2531847133757963,1.5987261146496816
VotingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.8389345319680724,0.007241949751649819,0.7911392405063291,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
VotingClassifier (Cost-sensitive + Standard Threshold),100.0,0.6285821978553576,0.15494824908414281,0.3248407643312102,0.5143312101910829,0.6126945093928888,0.7472083366927356,1.1210191082802548
VotingClassifier (SMOTE + Minimum Expected Cost),100.0,0.8243211319841975,0.04187588515021937,0.6392405063291139,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8535031847133758
VotingClassifier (SMOTE + Standard Threshold),100.0,0.7462424413448359,0.20471053802667666,0.375796178343949,0.6098726114649682,0.7420382165605095,0.8728130291058616,1.2929936305732483
XGBClassifier (Baseline),100.0,0.9484157058776099,0.13679413605583038,0.5987261146496815,0.8481012658227848,0.9554140127388536,1.0507135370474885,1.3184713375796178
