model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL (Baseline),100.0,0.1255076923076923,0.06960502483584029,0.0,0.08,0.12,0.16,0.32
DESKL (Cost-sensitive + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DESKL (Cost-sensitive + Standard Threshold),100.0,0.8331846153846155,0.08533976996300069,0.56,0.76,0.84,0.88,1.0
DESKL (SMOTE + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DESKL (SMOTE + Standard Threshold),100.0,0.5057538461538461,0.09621927719375035,0.28,0.44,0.5,0.56,0.76
KNORAE (Baseline),100.0,0.26776923076923076,0.09779161542696507,0.0,0.2,0.28,0.32,0.56
KNORAE (Cost-sensitive + Minimum Expected Cost),100.0,0.9796923076923078,0.028032103320443997,0.88,0.96,1.0,1.0,1.0
KNORAE (Cost-sensitive + Standard Threshold),100.0,0.5894307692307692,0.10832176018512499,0.24,0.515,0.6,0.6603846153846153,0.8461538461538461
KNORAE (SMOTE + Minimum Expected Cost),100.0,0.9940000000000001,0.017407765595569783,0.92,1.0,1.0,1.0,1.0
KNORAE (SMOTE + Standard Threshold),100.0,0.47326153846153857,0.1065154432790113,0.24,0.4,0.48,0.52,0.8
LogisticRegression (Baseline),100.0,0.3940461538461539,0.10062185584953216,0.12,0.32,0.4,0.44,0.64
LogisticRegression (Cost-sensitive + Minimum Expected Cost),100.0,0.9912307692307694,0.024467797648134268,0.88,1.0,1.0,1.0,1.0
LogisticRegression (Cost-sensitive + Standard Threshold),100.0,0.8346461538461538,0.08252412705525304,0.56,0.7923076923076924,0.84,0.8811538461538462,1.0
LogisticRegression (SMOTE + Minimum Expected Cost),100.0,0.985676923076923,0.02690826099161689,0.88,0.9615384615384616,1.0,1.0,1.0
LogisticRegression (SMOTE + Standard Threshold),100.0,0.7302153846153847,0.08343229411846936,0.56,0.68,0.72,0.8,0.92
METADES (Baseline),100.0,0.1366,0.09110884145336738,0.0,0.08,0.12,0.2,0.4
METADES (Cost-sensitive + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
METADES (Cost-sensitive + Standard Threshold),100.0,0.7445538461538463,0.10100775343635042,0.52,0.68,0.76,0.801923076923077,1.0
METADES (SMOTE + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
METADES (SMOTE + Standard Threshold),100.0,0.43152307692307695,0.09777868667428752,0.2,0.36,0.44,0.48,0.72
RandomForestClassifier (Baseline),100.0,0.11376923076923076,0.07092222744208589,0.0,0.07923076923076923,0.12,0.16,0.28
RandomForestClassifier (Cost-sensitive + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
RandomForestClassifier (Cost-sensitive + Standard Threshold),100.0,0.9346769230769231,0.0608518101685476,0.6923076923076923,0.92,0.96,0.9615384615384616,1.0
RandomForestClassifier (SMOTE + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
RandomForestClassifier (SMOTE + Standard Threshold),100.0,0.5519538461538462,0.12195797789110326,0.0,0.48,0.56,0.64,0.88
StackingClassifier (Baseline),100.0,0.3987692307692307,0.0863838643267258,0.2,0.32,0.4,0.44,0.6
StackingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier (Cost-sensitive + Standard Threshold),100.0,0.8401846153846155,0.07111912422726328,0.64,0.8,0.84,0.8811538461538462,0.9615384615384616
StackingClassifier (SMOTE + Minimum Expected Cost),100.0,0.9011692307692306,0.07213741792391894,0.64,0.84,0.92,0.96,1.0
StackingClassifier (SMOTE + Standard Threshold),100.0,0.5665384615384615,0.10982185192774324,0.32,0.48,0.56,0.64,0.8
VotingClassifier (Baseline),100.0,0.33144615384615383,0.14329979383333763,0.0,0.24,0.32,0.40576923076923077,0.72
VotingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
VotingClassifier (Cost-sensitive + Standard Threshold),100.0,0.8662153846153846,0.09048522595535417,0.6,0.8319230769230769,0.88,0.92,1.0
VotingClassifier (SMOTE + Minimum Expected Cost),100.0,0.9984153846153846,0.007803255827293258,0.96,1.0,1.0,1.0,1.0
VotingClassifier (SMOTE + Standard Threshold),100.0,0.644276923076923,0.17332058545417847,0.2,0.52,0.66,0.8,1.0
XGBClassifier (Baseline),100.0,0.42586153846153857,0.08600739439433484,0.2,0.36,0.42000000000000004,0.48,0.64
XGBClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.9832615384615384,0.03404917565872441,0.84,0.9611538461538461,1.0,1.0,1.0
XGBClassifier (Cost-sensitive + Standard Threshold),100.0,0.7944615384615384,0.09068108398276767,0.56,0.76,0.8,0.8546153846153846,0.9615384615384616
XGBClassifier (SMOTE + Minimum Expected Cost),100.0,0.9041384615384616,0.08545047964721038,0.72,0.84,0.92,1.0,1.0
XGBClassifier (SMOTE + Standard Threshold),100.0,0.4679846153846154,0.09973216058583731,0.2,0.4,0.48,0.5438461538461539,0.68
