Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
accuracy,DESKL (Balanced + MEC),DESKL (Balanced + STD),-0.6668048052890431,-56.256373627348204,5.812213874667944e-77,True,Worse
accuracy,DESKL (Balanced + MEC),DESKL (Baseline),-0.6972720309602518,-172.59409989196433,1.4150728711275258e-124,True,Worse
accuracy,DESKL (Balanced + MEC),DESKL (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff
accuracy,DESKL (Balanced + MEC),DESKL (Cost-sensitive + STD),-0.49300653067806177,-19.117465080843264,5.285819552497676e-35,True,Worse
accuracy,DESKL (Balanced + MEC),DESKL (SMOTE + MEC),0.0,0.0,1.0,False,No Diff
accuracy,DESKL (Balanced + MEC),DESKL (SMOTE + STD),-0.6558618882528422,-44.482218306565066,3.001496259917021e-67,True,Worse
accuracy,DESKL (Balanced + STD),DESKL (Balanced + MEC),0.6668048052890431,56.256373627348204,5.812213874667944e-77,True,Better
accuracy,DESKL (Balanced + STD),DESKL (Baseline),-0.030467225671208742,-2.5902174083842326,0.011038327701283124,True,Worse
accuracy,DESKL (Balanced + STD),DESKL (Cost-sensitive + MEC),0.6668048052890431,56.56060813619589,3.4624082887380226e-77,True,Better
accuracy,DESKL (Balanced + STD),DESKL (Cost-sensitive + STD),0.1737982746109813,6.106199659010973,2.0062022424223182e-08,True,Better
accuracy,DESKL (Balanced + STD),DESKL (SMOTE + MEC),0.6668048052890431,56.3158245545942,5.251596990095044e-77,True,Better
accuracy,DESKL (Balanced + STD),DESKL (SMOTE + STD),0.010942917036200872,0.5692564557134757,0.5704714305656928,False,No Diff
accuracy,DESKL (Baseline),DESKL (Balanced + MEC),0.6972720309602518,172.59409989196433,1.4150728711275258e-124,True,Better
accuracy,DESKL (Baseline),DESKL (Balanced + STD),0.030467225671208742,2.5902174083842326,0.011038327701283124,True,Better
accuracy,DESKL (Baseline),DESKL (Cost-sensitive + MEC),0.6972720309602518,178.8812147331455,4.142933940620508e-126,True,Better
accuracy,DESKL (Baseline),DESKL (Cost-sensitive + STD),0.20426550028219004,7.6866954129374525,1.1184424362248501e-11,True,Better
accuracy,DESKL (Baseline),DESKL (SMOTE + MEC),0.6972720309602518,175.79239966635083,2.3114274957261106e-125,True,Better
accuracy,DESKL (Baseline),DESKL (SMOTE + STD),0.041410142707409614,2.714083240330226,0.007840719198137079,True,Better
accuracy,DESKL (Cost-sensitive + MEC),DESKL (Balanced + MEC),0.0,0.0,1.0,False,No Diff
accuracy,DESKL (Cost-sensitive + MEC),DESKL (Balanced + STD),-0.6668048052890431,-56.56060813619589,3.4624082887380226e-77,True,Worse
accuracy,DESKL (Cost-sensitive + MEC),DESKL (Baseline),-0.6972720309602518,-178.8812147331455,4.142933940620508e-126,True,Worse
accuracy,DESKL (Cost-sensitive + MEC),DESKL (Cost-sensitive + STD),-0.49300653067806177,-19.035134182219284,7.402517686364318e-35,True,Worse
accuracy,DESKL (Cost-sensitive + MEC),DESKL (SMOTE + MEC),0.0,0.0,1.0,False,No Diff
accuracy,DESKL (Cost-sensitive + MEC),DESKL (SMOTE + STD),-0.6558618882528422,-44.764897765030234,1.6509938521096575e-67,True,Worse
accuracy,DESKL (Cost-sensitive + STD),DESKL (Balanced + MEC),0.49300653067806177,19.117465080843264,5.285819552497676e-35,True,Better
accuracy,DESKL (Cost-sensitive + STD),DESKL (Balanced + STD),-0.1737982746109813,-6.106199659010973,2.0062022424223182e-08,True,Worse
accuracy,DESKL (Cost-sensitive + STD),DESKL (Baseline),-0.20426550028219004,-7.6866954129374525,1.1184424362248501e-11,True,Worse
accuracy,DESKL (Cost-sensitive + STD),DESKL (Cost-sensitive + MEC),0.49300653067806177,19.035134182219284,7.402517686364318e-35,True,Better
accuracy,DESKL (Cost-sensitive + STD),DESKL (SMOTE + MEC),0.49300653067806177,18.98602519982972,9.05313567050088e-35,True,Better
accuracy,DESKL (Cost-sensitive + STD),DESKL (SMOTE + STD),-0.16285535757478042,-5.685354886084227,1.321775016973603e-07,True,Worse
