Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,DESKL (Balanced + MEC),DESKL (Balanced + STD),0.0542380875594618,1.095571241235001,0.2759245364618352,False,No Diff
average_cost,DESKL (Balanced + MEC),DESKL (Baseline),-0.5593791824558567,-14.394322816568076,5.16098292172589e-26,True,Worse
average_cost,DESKL (Balanced + MEC),DESKL (Cost-sensitive + MEC),1.1102230246251565e-16,0.0,1.0,False,No Diff
average_cost,DESKL (Balanced + MEC),DESKL (Cost-sensitive + STD),0.25313109731516603,5.524147882426716,2.6781015880764497e-07,True,Better
average_cost,DESKL (Balanced + MEC),DESKL (SMOTE + MEC),0.0,0.0,1.0,False,No Diff
average_cost,DESKL (Balanced + MEC),DESKL (SMOTE + STD),-0.05406635491413325,-1.0577044468752588,0.29276426226676794,False,No Diff
average_cost,DESKL (Balanced + STD),DESKL (Balanced + MEC),-0.0542380875594618,-1.095571241235001,0.2759245364618352,False,No Diff
average_cost,DESKL (Balanced + STD),DESKL (Baseline),-0.6136172700153185,-9.925429988243419,1.5910512279623236e-16,True,Worse
average_cost,DESKL (Balanced + STD),DESKL (Cost-sensitive + MEC),-0.05423808755946169,-1.0986421291129067,0.2745888899400144,False,No Diff
average_cost,DESKL (Balanced + STD),DESKL (Cost-sensitive + STD),0.19889300975570423,2.9327454715466867,0.0041742078715538726,True,Better
average_cost,DESKL (Balanced + STD),DESKL (SMOTE + MEC),-0.0542380875594618,-1.0954776159248167,0.27596532824032954,False,No Diff
average_cost,DESKL (Balanced + STD),DESKL (SMOTE + STD),-0.10830444247359505,-1.4839013363708693,0.14101196495607252,False,No Diff
average_cost,DESKL (Baseline),DESKL (Balanced + MEC),0.5593791824558567,14.394322816568076,5.16098292172589e-26,True,Better
average_cost,DESKL (Baseline),DESKL (Balanced + STD),0.6136172700153185,9.925429988243419,1.5910512279623236e-16,True,Better
average_cost,DESKL (Baseline),DESKL (Cost-sensitive + MEC),0.5593791824558568,14.432875255732847,4.310054354513754e-26,True,Better
average_cost,DESKL (Baseline),DESKL (Cost-sensitive + STD),0.8125102797710227,14.035123349865701,2.7888383436498507e-25,True,Better
