Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
precision,DESKL (Balanced + MEC),DESKL (Balanced + STD),-0.31391603978200433,-10.9037402932777,1.1805979962566976e-18,True,Worse
precision,DESKL (Balanced + MEC),DESKL (Baseline),-0.6448160286885395,-6.5611186773921535,2.461709333734435e-09,True,Worse
precision,DESKL (Balanced + MEC),DESKL (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff
precision,DESKL (Balanced + MEC),DESKL (Cost-sensitive + STD),-0.14074924291247456,-8.420887740085078,2.984696324418611e-13,True,Worse
precision,DESKL (Balanced + MEC),DESKL (SMOTE + MEC),0.0,0.0,1.0,False,No Diff
precision,DESKL (Balanced + MEC),DESKL (SMOTE + STD),-0.2919122865814331,-8.322937686071807,4.855722745909994e-13,True,Worse
precision,DESKL (Balanced + STD),DESKL (Balanced + MEC),0.31391603978200433,10.9037402932777,1.1805979962566976e-18,True,Better
precision,DESKL (Balanced + STD),DESKL (Baseline),-0.33089998890653516,-3.3735953811579202,0.001060208537228122,True,Worse
precision,DESKL (Balanced + STD),DESKL (Cost-sensitive + MEC),0.31391603978200433,10.92914768319305,1.0399190924849129e-18,True,Better
precision,DESKL (Balanced + STD),DESKL (Cost-sensitive + STD),0.17316679686952974,5.259753661423993,8.348114294878737e-07,True,Better
precision,DESKL (Balanced + STD),DESKL (SMOTE + MEC),0.31391603978200433,10.901939329738838,1.191265108626669e-18,True,Better
precision,DESKL (Balanced + STD),DESKL (SMOTE + STD),0.02200375320057124,0.47783979420477996,0.6338176263596559,False,No Diff
precision,DESKL (Baseline),DESKL (Balanced + MEC),0.6448160286885395,6.5611186773921535,2.461709333734435e-09,True,Better
precision,DESKL (Baseline),DESKL (Balanced + STD),0.33089998890653516,3.3735953811579202,0.001060208537228122,True,Better
precision,DESKL (Baseline),DESKL (Cost-sensitive + MEC),0.6448160286885395,6.572130154966234,2.3382141523302497e-09,True,Better
precision,DESKL (Baseline),DESKL (Cost-sensitive + STD),0.5040667857760649,5.075041742567063,1.8167494468151785e-06,True,Better
precision,DESKL (Baseline),DESKL (SMOTE + MEC),0.6448160286885395,6.575503969438234,2.3016169774910052e-09,True,Better
precision,DESKL (Baseline),DESKL (SMOTE + STD),0.3529037421071064,3.356707399392556,0.0011200052313033685,True,Better
precision,DESKL (Cost-sensitive + MEC),DESKL (Balanced + MEC),0.0,0.0,1.0,False,No Diff
precision,DESKL (Cost-sensitive + MEC),DESKL (Balanced + STD),-0.31391603978200433,-10.92914768319305,1.0399190924849129e-18,True,Worse
precision,DESKL (Cost-sensitive + MEC),DESKL (Baseline),-0.6448160286885395,-6.572130154966234,2.3382141523302497e-09,True,Worse
precision,DESKL (Cost-sensitive + MEC),DESKL (Cost-sensitive + STD),-0.14074924291247456,-8.353916969539048,4.1633852936531964e-13,True,Worse
precision,DESKL (Cost-sensitive + MEC),DESKL (SMOTE + MEC),0.0,0.0,1.0,False,No Diff
precision,DESKL (Cost-sensitive + MEC),DESKL (SMOTE + STD),-0.2919122865814331,-8.349845898723006,4.24842566257591e-13,True,Worse
precision,DESKL (Cost-sensitive + STD),DESKL (Balanced + MEC),0.14074924291247456,8.420887740085078,2.984696324418611e-13,True,Better
precision,DESKL (Cost-sensitive + STD),DESKL (Balanced + STD),-0.17316679686952974,-5.259753661423993,8.348114294878737e-07,True,Worse
precision,DESKL (Cost-sensitive + STD),DESKL (Baseline),-0.5040667857760649,-5.075041742567063,1.8167494468151785e-06,True,Worse
precision,DESKL (Cost-sensitive + STD),DESKL (Cost-sensitive + MEC),0.14074924291247456,8.353916969539048,4.1633852936531964e-13,True,Better
precision,DESKL (Cost-sensitive + STD),DESKL (SMOTE + MEC),0.14074924291247456,8.343630235414967,4.3816146116498856e-13,True,Better
precision,DESKL (Cost-sensitive + STD),DESKL (SMOTE + STD),-0.1511630436689585,-3.954883144613791,0.00014395232093528524,True,Worse
precision,DESKL (SMOTE + MEC),DESKL (Balanced + MEC),0.0,0.0,1.0,False,No Diff
precision,DESKL (SMOTE + MEC),DESKL (Balanced + STD),-0.31391603978200433,-10.901939329738838,1.191265108626669e-18,True,Worse
precision,DESKL (SMOTE + MEC),DESKL (Baseline),-0.6448160286885395,-6.575503969438234,2.3016169774910052e-09,True,Worse
precision,DESKL (SMOTE + MEC),DESKL (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff
precision,DESKL (SMOTE + MEC),DESKL (Cost-sensitive + STD),-0.14074924291247456,-8.343630235414967,4.3816146116498856e-13,True,Worse
precision,DESKL (SMOTE + MEC),DESKL (SMOTE + STD),-0.2919122865814331,-8.334479793939009,4.585296969011388e-13,True,Worse
precision,DESKL (SMOTE + STD),DESKL (Balanced + MEC),0.2919122865814331,8.322937686071807,4.855722745909994e-13,True,Better
precision,DESKL (SMOTE + STD),DESKL (Balanced + STD),-0.02200375320057124,-0.47783979420477996,0.6338176263596559,False,No Diff
precision,DESKL (SMOTE + STD),DESKL (Baseline),-0.3529037421071064,-3.356707399392556,0.0011200052313033685,True,Worse
precision,DESKL (SMOTE + STD),DESKL (Cost-sensitive + MEC),0.2919122865814331,8.349845898723006,4.24842566257591e-13,True,Better
precision,DESKL (SMOTE + STD),DESKL (Cost-sensitive + STD),0.1511630436689585,3.954883144613791,0.00014395232093528524,True,Better
precision,DESKL (SMOTE + STD),DESKL (SMOTE + MEC),0.2919122865814331,8.334479793939009,4.585296969011388e-13,True,Better
