Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,DESKL (Baseline),DESKL (Cost-sensitive + Minimum Expected Cost),0.5593791824558573,14.409797005218042,4.800819750241884e-26,True,Better,accuracy,DESKL (Baseline),DESKL (Cost-sensitive + Minimum Expected Cost),0.6972720309602516,176.0504741225892,1.999889789053977e-125,True,Better,precision,DESKL (Baseline),DESKL (Cost-sensitive + Minimum Expected Cost),0.6448160286885395,6.576468055750888,2.2912635574306897e-09,True,Better,recall,DESKL (Baseline),DESKL (Cost-sensitive + Minimum Expected Cost),-0.8744923076923077,-36.10134701511238,8.586231471813871e-59,True,Worse,f1,DESKL (Baseline),DESKL (Cost-sensitive + Minimum Expected Cost),-0.0632597473470074,-1.7010881250578036,0.09206544727401043,False,No Diff,roc_auc,DESKL (Baseline),DESKL (Cost-sensitive + Minimum Expected Cost),-0.03418357563489138,-1.0231399046220573,0.30873531674582744,False,No Diff
average_cost,DESKL (Baseline),DESKL (Cost-sensitive + Standard Threshold),0.8125102797710232,13.915549045366317,4.906398964977882e-25,True,Better,accuracy,DESKL (Baseline),DESKL (Cost-sensitive + Standard Threshold),0.20426550028218982,7.771619647024647,7.379008842418448e-12,True,Better,precision,DESKL (Baseline),DESKL (Cost-sensitive + Standard Threshold),0.5040667857760649,5.101031570063266,1.6298759336221848e-06,True,Better,recall,DESKL (Baseline),DESKL (Cost-sensitive + Standard Threshold),-0.7076769230769232,-19.272296523784018,2.8120858840018923e-35,True,Worse,f1,DESKL (Baseline),DESKL (Cost-sensitive + Standard Threshold),-0.2265678974727784,-5.356669060033302,5.520430995853855e-07,True,Worse,roc_auc,DESKL (Baseline),DESKL (Cost-sensitive + Standard Threshold),-0.03396532108242645,-1.070474179786354,0.2870088186808357,False,No Diff
average_cost,DESKL (Baseline),DESKL (SMOTE + Minimum Expected Cost),0.5593791824558572,14.419583405816317,4.586195265877706e-26,True,Better,accuracy,DESKL (Baseline),DESKL (SMOTE + Minimum Expected Cost),0.6972720309602516,175.8614599285583,2.223546750693333e-125,True,Better,precision,DESKL (Baseline),DESKL (SMOTE + Minimum Expected Cost),0.6448160286885395,6.570975538579353,2.350870411469868e-09,True,Better,recall,DESKL (Baseline),DESKL (SMOTE + Minimum Expected Cost),-0.8744923076923077,-36.10134701511238,8.586231471813871e-59,True,Worse,f1,DESKL (Baseline),DESKL (SMOTE + Minimum Expected Cost),-0.06325974734700734,-1.701660295488595,0.09195766327919941,False,No Diff,roc_auc,DESKL (Baseline),DESKL (SMOTE + Minimum Expected Cost),0.004034233748707483,0.11847852729058027,0.9059285733052711,False,No Diff
average_cost,DESKL (Baseline),DESKL (SMOTE + Standard Threshold),0.5053128275417239,8.188017139460698,9.479031701837403e-13,True,Better,accuracy,DESKL (Baseline),DESKL (SMOTE + Standard Threshold),0.04141014270740939,2.6966399625500848,0.008233112902206099,True,Better,precision,DESKL (Baseline),DESKL (SMOTE + Standard Threshold),0.3529037421071064,3.461593829455549,0.0007942187660098319,True,Better,recall,DESKL (Baseline),DESKL (SMOTE + Standard Threshold),-0.3802461538461539,-9.500791414770054,1.3432652311282862e-15,True,Worse,f1,DESKL (Baseline),DESKL (SMOTE + Standard Threshold),-0.25708987863509275,-5.67499858369419,1.3835047289285948e-07,True,Worse,roc_auc,DESKL (Baseline),DESKL (SMOTE + Standard Threshold),0.0020282471914050415,0.059182369361444644,0.952926151634711,False,No Diff
average_cost,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Baseline),-0.5593791824558573,-14.409797005218042,4.800819750241884e-26,True,Worse,accuracy,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Baseline),-0.6972720309602516,-176.0504741225892,1.999889789053977e-125,True,Worse,precision,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Baseline),-0.6448160286885395,-6.576468055750888,2.2912635574306897e-09,True,Worse,recall,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Baseline),0.8744923076923077,36.10134701511238,8.586231471813871e-59,True,Better,f1,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Baseline),0.0632597473470074,1.7010881250578036,0.09206544727401043,False,No Diff,roc_auc,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Baseline),0.03418357563489138,1.0231399046220573,0.30873531674582744,False,No Diff
average_cost,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Cost-sensitive + Standard Threshold),0.2531310973151659,5.5305062413766235,2.605010411969832e-07,True,Better,accuracy,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Cost-sensitive + Standard Threshold),-0.49300653067806177,-19.028578770250302,7.603986201354035e-35,True,Worse,precision,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Cost-sensitive + Standard Threshold),-0.14074924291247456,-8.360014580003767,4.0391753228318196e-13,True,Worse,recall,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Cost-sensitive + Standard Threshold),0.16681538461538448,5.616847581139413,1.7864068499304902e-07,True,Better,f1,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Cost-sensitive + Standard Threshold),-0.163308150125771,-8.713072635590729,6.95840786468499e-14,True,Worse,roc_auc,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Cost-sensitive + Standard Threshold),0.00021825455246493597,0.011274897527351599,0.9910268136712508,False,No Diff
average_cost,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Minimum Expected Cost),-1.1102230246251565e-16,0.0,1.0,False,No Diff,accuracy,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Minimum Expected Cost),0.0,0.0,1.0,False,No Diff,precision,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Minimum Expected Cost),0.0,0.0,1.0,False,No Diff,recall,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Minimum Expected Cost),0.0,0.0,1.0,False,No Diff,f1,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Minimum Expected Cost),5.551115123125783e-17,0.0,1.0,False,No Diff,roc_auc,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Minimum Expected Cost),0.038217809383598866,1.7198808361638702,0.08857880560115396,False,No Diff
average_cost,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Standard Threshold),-0.05406635491413336,-1.0594752930583236,0.29196145912753824,False,No Diff,accuracy,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Standard Threshold),-0.6558618882528422,-44.40117515620949,3.564820205930748e-67,True,Worse,precision,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Standard Threshold),-0.2919122865814331,-8.322156928648067,4.874579052499204e-13,True,Worse,recall,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Standard Threshold),0.4942461538461538,14.76009708231476,9.40613004430649e-27,True,Better,f1,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Standard Threshold),-0.19383013128808535,-7.223646238783113,1.0593156684575754e-10,True,Worse,roc_auc,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Standard Threshold),0.036211822826296425,1.834073075151686,0.06964698591689603,False,No Diff
average_cost,DESKL (Cost-sensitive + Standard Threshold),DESKL (Baseline),-0.8125102797710232,-13.915549045366317,4.906398964977882e-25,True,Worse,accuracy,DESKL (Cost-sensitive + Standard Threshold),DESKL (Baseline),-0.20426550028218982,-7.771619647024647,7.379008842418448e-12,True,Worse,precision,DESKL (Cost-sensitive + Standard Threshold),DESKL (Baseline),-0.5040667857760649,-5.101031570063266,1.6298759336221848e-06,True,Worse,recall,DESKL (Cost-sensitive + Standard Threshold),DESKL (Baseline),0.7076769230769232,19.272296523784018,2.8120858840018923e-35,True,Better,f1,DESKL (Cost-sensitive + Standard Threshold),DESKL (Baseline),0.2265678974727784,5.356669060033302,5.520430995853855e-07,True,Better,roc_auc,DESKL (Cost-sensitive + Standard Threshold),DESKL (Baseline),0.03396532108242645,1.070474179786354,0.2870088186808357,False,No Diff
average_cost,DESKL (Cost-sensitive + Standard Threshold),DESKL (Cost-sensitive + Minimum Expected Cost),-0.2531310973151659,-5.5305062413766235,2.605010411969832e-07,True,Worse,accuracy,DESKL (Cost-sensitive + Standard Threshold),DESKL (Cost-sensitive + Minimum Expected Cost),0.49300653067806177,19.028578770250302,7.603986201354035e-35,True,Better,precision,DESKL (Cost-sensitive + Standard Threshold),DESKL (Cost-sensitive + Minimum Expected Cost),0.14074924291247456,8.360014580003767,4.0391753228318196e-13,True,Better,recall,DESKL (Cost-sensitive + Standard Threshold),DESKL (Cost-sensitive + Minimum Expected Cost),-0.16681538461538448,-5.616847581139413,1.7864068499304902e-07,True,Worse,f1,DESKL (Cost-sensitive + Standard Threshold),DESKL (Cost-sensitive + Minimum Expected Cost),0.163308150125771,8.713072635590729,6.95840786468499e-14,True,Better,roc_auc,DESKL (Cost-sensitive + Standard Threshold),DESKL (Cost-sensitive + Minimum Expected Cost),-0.00021825455246493597,-0.011274897527351599,0.9910268136712508,False,No Diff
