Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,KNORAE (Balanced + MEC),KNORAE (Balanced + STD),-0.07293316133193584,-1.2167640487831215,0.22658681781746157,False,No Diff
average_cost,KNORAE (Balanced + MEC),KNORAE (Baseline),-0.37963597516729797,-6.8354002250929575,6.771520178198425e-10,True,Worse
average_cost,KNORAE (Balanced + MEC),KNORAE (Cost-sensitive + MEC),-0.002288156091268201,-0.11795291506362972,0.9063439515736771,False,No Diff
average_cost,KNORAE (Balanced + MEC),KNORAE (Cost-sensitive + STD),-0.013982907361122066,-0.23710744966735073,0.8130633900704082,False,No Diff
average_cost,KNORAE (Balanced + MEC),KNORAE (SMOTE + MEC),-0.004762557445779025,-0.3341816403721399,0.7389493847874651,False,No Diff
average_cost,KNORAE (Balanced + MEC),KNORAE (SMOTE + STD),-0.16047972264774613,-2.7341750150415853,0.007409874083176277,True,Worse
average_cost,KNORAE (Balanced + STD),KNORAE (Balanced + MEC),0.07293316133193584,1.2167640487831215,0.22658681781746157,False,No Diff
average_cost,KNORAE (Balanced + STD),KNORAE (Baseline),-0.30670281383536213,-4.192963189531693,5.9997918476593834e-05,True,Worse
average_cost,KNORAE (Balanced + STD),KNORAE (Cost-sensitive + MEC),0.07064500524066764,1.1834222570400568,0.2394757745818821,False,No Diff
average_cost,KNORAE (Balanced + STD),KNORAE (Cost-sensitive + STD),0.05895025397081377,0.7641421285389197,0.4465999926031402,False,No Diff
average_cost,KNORAE (Balanced + STD),KNORAE (SMOTE + MEC),0.06817060388615681,1.1349395969448548,0.25914102216261364,False,No Diff
average_cost,KNORAE (Balanced + STD),KNORAE (SMOTE + STD),-0.08754656131581029,-1.0627739216248926,0.2904700514272246,False,No Diff
average_cost,KNORAE (Baseline),KNORAE (Balanced + MEC),0.37963597516729797,6.8354002250929575,6.771520178198425e-10,True,Better
average_cost,KNORAE (Baseline),KNORAE (Balanced + STD),0.30670281383536213,4.192963189531693,5.9997918476593834e-05,True,Better
average_cost,KNORAE (Baseline),KNORAE (Cost-sensitive + MEC),0.37734781907602977,6.858382598046454,6.072596035651408e-10,True,Better
average_cost,KNORAE (Baseline),KNORAE (Cost-sensitive + STD),0.3656530678061759,4.807317112329667,5.462472432655205e-06,True,Better
average_cost,KNORAE (Baseline),KNORAE (SMOTE + MEC),0.37487341772151894,7.0548377324709906,2.3820296989486835e-10,True,Better
average_cost,KNORAE (Baseline),KNORAE (SMOTE + STD),0.21915625251955184,2.5117459170097844,0.013630747661915688,True,Better
average_cost,KNORAE (Cost-sensitive + MEC),KNORAE (Balanced + MEC),0.002288156091268201,0.11795291506362972,0.9063439515736771,False,No Diff
average_cost,KNORAE (Cost-sensitive + MEC),KNORAE (Balanced + STD),-0.07064500524066764,-1.1834222570400568,0.2394757745818821,False,No Diff
average_cost,KNORAE (Cost-sensitive + MEC),KNORAE (Baseline),-0.37734781907602977,-6.858382598046454,6.072596035651408e-10,True,Worse
average_cost,KNORAE (Cost-sensitive + MEC),KNORAE (Cost-sensitive + STD),-0.011694751269853865,-0.19355521803037154,0.8469207333669514,False,No Diff
average_cost,KNORAE (Cost-sensitive + MEC),KNORAE (SMOTE + MEC),-0.0024744013545108245,-0.13072260572846214,0.8962600149812774,False,No Diff
average_cost,KNORAE (Cost-sensitive + MEC),KNORAE (SMOTE + STD),-0.15819156655647792,-2.5507118750297777,0.01228201251249102,True,Worse
average_cost,KNORAE (Cost-sensitive + STD),KNORAE (Balanced + MEC),0.013982907361122066,0.23710744966735073,0.8130633900704082,False,No Diff
average_cost,KNORAE (Cost-sensitive + STD),KNORAE (Balanced + STD),-0.05895025397081377,-0.7641421285389197,0.4465999926031402,False,No Diff
average_cost,KNORAE (Cost-sensitive + STD),KNORAE (Baseline),-0.3656530678061759,-4.807317112329667,5.462472432655205e-06,True,Worse
average_cost,KNORAE (Cost-sensitive + STD),KNORAE (Cost-sensitive + MEC),0.011694751269853865,0.19355521803037154,0.8469207333669514,False,No Diff
average_cost,KNORAE (Cost-sensitive + STD),KNORAE (SMOTE + MEC),0.00922034991534304,0.15755904363870626,0.8751251879607516,False,No Diff
average_cost,KNORAE (Cost-sensitive + STD),KNORAE (SMOTE + STD),-0.14649681528662406,-1.7944071624752556,0.075800365032407,False,No Diff
average_cost,KNORAE (SMOTE + MEC),KNORAE (Balanced + MEC),0.004762557445779025,0.3341816403721399,0.7389493847874651,False,No Diff
average_cost,KNORAE (SMOTE + MEC),KNORAE (Balanced + STD),-0.06817060388615681,-1.1349395969448548,0.25914102216261364,False,No Diff
average_cost,KNORAE (SMOTE + MEC),KNORAE (Baseline),-0.37487341772151894,-7.0548377324709906,2.3820296989486835e-10,True,Worse
average_cost,KNORAE (SMOTE + MEC),KNORAE (Cost-sensitive + MEC),0.0024744013545108245,0.13072260572846214,0.8962600149812774,False,No Diff
average_cost,KNORAE (SMOTE + MEC),KNORAE (Cost-sensitive + STD),-0.00922034991534304,-0.15755904363870626,0.8751251879607516,False,No Diff
average_cost,KNORAE (SMOTE + MEC),KNORAE (SMOTE + STD),-0.1557171652019671,-2.5677917431616355,0.011729617503414695,True,Worse
average_cost,KNORAE (SMOTE + STD),KNORAE (Balanced + MEC),0.16047972264774613,2.7341750150415853,0.007409874083176277,True,Better
average_cost,KNORAE (SMOTE + STD),KNORAE (Balanced + STD),0.08754656131581029,1.0627739216248926,0.2904700514272246,False,No Diff
average_cost,KNORAE (SMOTE + STD),KNORAE (Baseline),-0.21915625251955184,-2.5117459170097844,0.013630747661915688,True,Worse
average_cost,KNORAE (SMOTE + STD),KNORAE (Cost-sensitive + MEC),0.15819156655647792,2.5507118750297777,0.01228201251249102,True,Better
average_cost,KNORAE (SMOTE + STD),KNORAE (Cost-sensitive + STD),0.14649681528662406,1.7944071624752556,0.075800365032407,False,No Diff
average_cost,KNORAE (SMOTE + STD),KNORAE (SMOTE + MEC),0.1557171652019671,2.5677917431616355,0.011729617503414695,True,Better
