Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,KNORAE (Baseline),KNORAE (Cost-sensitive + Minimum Expected Cost),0.3773478190760299,7.116109021181023,1.7761832529171154e-10,True,Better,accuracy,KNORAE (Baseline),KNORAE (Cost-sensitive + Minimum Expected Cost),0.6456937837619932,55.765123569845564,1.3490151997402621e-76,True,Better,precision,KNORAE (Baseline),KNORAE (Cost-sensitive + Minimum Expected Cost),0.3142200973370459,5.498557808280278,2.9931410562562305e-07,True,Better,recall,KNORAE (Baseline),KNORAE (Cost-sensitive + Minimum Expected Cost),-0.7119230769230769,-20.468370283091136,2.3691821116922123e-37,True,Worse,f1,KNORAE (Baseline),KNORAE (Cost-sensitive + Minimum Expected Cost),0.055371542091031845,1.5129935726954487,0.133467192923229,False,No Diff,roc_auc,KNORAE (Baseline),KNORAE (Cost-sensitive + Minimum Expected Cost),-0.023944631684105544,-0.8411747826575176,0.40227722967314017,False,No Diff
average_cost,KNORAE (Baseline),KNORAE (Cost-sensitive + Standard Threshold),0.3656530678061757,4.909349510416273,3.6043509200883515e-06,True,Better,accuracy,KNORAE (Baseline),KNORAE (Cost-sensitive + Standard Threshold),0.0968930903813594,5.793358319354428,8.193312469429779e-08,True,Better,precision,KNORAE (Baseline),KNORAE (Cost-sensitive + Standard Threshold),0.1494501146719157,2.444931441094671,0.016255021931461708,True,Better,recall,KNORAE (Baseline),KNORAE (Cost-sensitive + Standard Threshold),-0.3216615384615384,-6.688538045218187,1.354539765063633e-09,True,Worse,f1,KNORAE (Baseline),KNORAE (Cost-sensitive + Standard Threshold),-0.08406257544935364,-2.024124032428705,0.04565134667216001,True,Worse,roc_auc,KNORAE (Baseline),KNORAE (Cost-sensitive + Standard Threshold),-0.02301797588376553,-0.7555328766081297,0.451723166414555,False,No Diff
average_cost,KNORAE (Baseline),KNORAE (SMOTE + Minimum Expected Cost),0.3748734177215187,6.8036432134294955,7.870051216446894e-10,True,Better,accuracy,KNORAE (Baseline),KNORAE (SMOTE + Minimum Expected Cost),0.6687724744013547,64.90734591567426,5.963401996930875e-83,True,Better,precision,KNORAE (Baseline),KNORAE (SMOTE + Minimum Expected Cost),0.31650232725946104,5.485732730633831,3.164417885300828e-07,True,Better,recall,KNORAE (Baseline),KNORAE (SMOTE + Minimum Expected Cost),-0.726230769230769,-20.408149748250004,3.0008870610620077e-37,True,Worse,f1,KNORAE (Baseline),KNORAE (SMOTE + Minimum Expected Cost),0.058162475490286025,1.558720031038085,0.12225380332996705,False,No Diff,roc_auc,KNORAE (Baseline),KNORAE (SMOTE + Minimum Expected Cost),0.015270889636678997,0.5065951038450613,0.61356536119121,False,No Diff
average_cost,KNORAE (Baseline),KNORAE (SMOTE + Standard Threshold),0.21915625251955184,2.795675028059192,0.006221653884449524,True,Better,accuracy,KNORAE (Baseline),KNORAE (SMOTE + Standard Threshold),0.07621543175038314,5.2951431067050425,7.181075554898241e-07,True,Better,precision,KNORAE (Baseline),KNORAE (SMOTE + Standard Threshold),0.15020365652087203,2.355312201968447,0.020479252426189008,True,Better,recall,KNORAE (Baseline),KNORAE (SMOTE + Standard Threshold),-0.2054923076923077,-4.094423365825584,8.651986470937462e-05,True,Worse,f1,KNORAE (Baseline),KNORAE (SMOTE + Standard Threshold),-0.0500173471165799,-1.102049185292366,0.27311228425633205,False,No Diff,roc_auc,KNORAE (Baseline),KNORAE (SMOTE + Standard Threshold),0.012862540091487351,0.39963828515474525,0.6902838471754715,False,No Diff
average_cost,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Baseline),-0.3773478190760299,-7.116109021181023,1.7761832529171154e-10,True,Worse,accuracy,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Baseline),-0.6456937837619932,-55.765123569845564,1.3490151997402621e-76,True,Worse,precision,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Baseline),-0.3142200973370459,-5.498557808280278,2.9931410562562305e-07,True,Worse,recall,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Baseline),0.7119230769230769,20.468370283091136,2.3691821116922123e-37,True,Better,f1,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Baseline),-0.055371542091031845,-1.5129935726954487,0.133467192923229,False,No Diff,roc_auc,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Baseline),0.023944631684105544,0.8411747826575176,0.40227722967314017,False,No Diff
average_cost,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Cost-sensitive + Standard Threshold),-0.011694751269854198,-0.20118259446603606,0.8409685689957738,False,No Diff,accuracy,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Cost-sensitive + Standard Threshold),-0.5488006933806338,-34.09690889211565,1.617106870355925e-56,True,Worse,precision,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Cost-sensitive + Standard Threshold),-0.1647699826651302,-8.904117926187608,2.6775438662495806e-14,True,Worse,recall,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Cost-sensitive + Standard Threshold),0.39026153846153844,9.882195238634502,1.9770230882564532e-16,True,Better,f1,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Cost-sensitive + Standard Threshold),-0.13943411754038548,-6.286199683190768,8.80743534984345e-09,True,Worse,roc_auc,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (Cost-sensitive + Standard Threshold),0.0009266558003400149,0.03437441331414771,0.972647798470327,False,No Diff
average_cost,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Minimum Expected Cost),-0.0024744013545111576,-0.14141551325816784,0.8878290657858948,False,No Diff,accuracy,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Minimum Expected Cost),0.023078690639361493,2.124604448420931,0.03610989050723551,True,Better,precision,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Minimum Expected Cost),0.002282229922415141,1.0532688566339263,0.2947817114011629,False,No Diff,recall,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Minimum Expected Cost),-0.014307692307692244,-1.2171006190647329,0.22645932145225894,False,No Diff,f1,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Minimum Expected Cost),0.0027909333992541807,0.8255613244289794,0.4110379627624241,False,No Diff,roc_auc,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Minimum Expected Cost),0.03921552132078454,1.427412563731424,0.1566076828235039,False,No Diff
average_cost,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Standard Threshold),-0.15819156655647804,-2.5727682623578096,0.01157293098070964,True,Worse,accuracy,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Standard Threshold),-0.56947835201161,-36.36756132907316,4.363614291146245e-59,True,Worse,precision,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Standard Threshold),-0.1640164408161739,-7.339131056316202,6.066654075499335e-11,True,Worse,recall,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Standard Threshold),0.5064307692307691,13.14749890240384,1.918806328074499e-23,True,Better,f1,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Standard Threshold),-0.10538888920761175,-4.053502886765456,0.00010056546354126697,True,Worse,roc_auc,KNORAE (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Standard Threshold),0.036807171775592895,1.500756228901126,0.13660126606427356,False,No Diff
average_cost,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Baseline),-0.3656530678061757,-4.909349510416273,3.6043509200883515e-06,True,Worse,accuracy,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Baseline),-0.0968930903813594,-5.793358319354428,8.193312469429779e-08,True,Worse,precision,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Baseline),-0.1494501146719157,-2.444931441094671,0.016255021931461708,True,Worse,recall,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Baseline),0.3216615384615384,6.688538045218187,1.354539765063633e-09,True,Better,f1,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Baseline),0.08406257544935364,2.024124032428705,0.04565134667216001,True,Better,roc_auc,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Baseline),0.02301797588376553,0.7555328766081297,0.451723166414555,False,No Diff
average_cost,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Cost-sensitive + Minimum Expected Cost),0.011694751269854198,0.20118259446603606,0.8409685689957738,False,No Diff,accuracy,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Cost-sensitive + Minimum Expected Cost),0.5488006933806338,34.09690889211565,1.617106870355925e-56,True,Better,precision,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Cost-sensitive + Minimum Expected Cost),0.1647699826651302,8.904117926187608,2.6775438662495806e-14,True,Better,recall,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Cost-sensitive + Minimum Expected Cost),-0.39026153846153844,-9.882195238634502,1.9770230882564532e-16,True,Worse,f1,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Cost-sensitive + Minimum Expected Cost),0.13943411754038548,6.286199683190768,8.80743534984345e-09,True,Better,roc_auc,KNORAE (Cost-sensitive + Standard Threshold),KNORAE (Cost-sensitive + Minimum Expected Cost),-0.0009266558003400149,-0.03437441331414771,0.972647798470327,False,No Diff
