Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
f1,LogisticRegression (Balanced + MEC),LogisticRegression (Balanced + STD),-0.193370101113101,-8.688766441743374,7.85623610609813e-14,True,Worse
f1,LogisticRegression (Balanced + MEC),LogisticRegression (Baseline),-0.1630688911915063,-4.469309036008007,2.0904359777156026e-05,True,Worse
f1,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + MEC),0.010923369647775405,1.254121107608246,0.21275113191854095,False,No Diff
f1,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + STD),-0.14586383138370668,-7.6853557113967055,1.1257952559978219e-11,True,Worse
f1,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + MEC),-0.004563383438693558,-0.38579016446119463,0.7004798489023314,False,No Diff
f1,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + STD),-0.19039336201793472,-9.884410565154317,1.9551420029854742e-16,True,Worse
f1,LogisticRegression (Balanced + STD),LogisticRegression (Balanced + MEC),0.193370101113101,8.688766441743374,7.85623610609813e-14,True,Better
f1,LogisticRegression (Balanced + STD),LogisticRegression (Baseline),0.030301209921594685,0.7545469145367392,0.4523120363215538,False,No Diff
f1,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + MEC),0.2042934707608764,9.836478772048292,2.487478361450337e-16,True,Better
f1,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + STD),0.04750626972939431,1.7118095919817256,0.09006281193745413,False,No Diff
f1,LogisticRegression (Balanced + STD),LogisticRegression (SMOTE + MEC),0.18880671767440743,8.318461175103499,4.964831100304676e-13,True,Better
f1,LogisticRegression (Balanced + STD),LogisticRegression (SMOTE + STD),0.0029767390951662698,0.10674840510498891,0.9152045997157405,False,No Diff
f1,LogisticRegression (Baseline),LogisticRegression (Balanced + MEC),0.1630688911915063,4.469309036008007,2.0904359777156026e-05,True,Better
f1,LogisticRegression (Baseline),LogisticRegression (Balanced + STD),-0.030301209921594685,-0.7545469145367392,0.4523120363215538,False,No Diff
