Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,LogisticRegression (Balanced + MEC),LogisticRegression (Balanced + STD),0.10757155526888651,1.764667601537561,0.08070370380378677,False,No Diff,accuracy,LogisticRegression (Balanced + MEC),LogisticRegression (Balanced + STD),-0.47857211964847224,-16.861822617167952,7.311510632972107e-31,True,Worse,precision,LogisticRegression (Balanced + MEC),LogisticRegression (Balanced + STD),-0.20171293475444527,-10.95154346386365,9.299083005522758e-19,True,Worse,recall,LogisticRegression (Balanced + MEC),LogisticRegression (Balanced + STD),0.2582461538461539,7.544432695839436,2.2396174965370727e-11,True,Better,f1,LogisticRegression (Balanced + MEC),LogisticRegression (Balanced + STD),-0.193370101113101,-8.688766441743374,7.85623610609813e-14,True,Worse,roc_auc,LogisticRegression (Balanced + MEC),LogisticRegression (Balanced + STD),6.860683176468374e-05,0.003047994639600468,0.997574189360374,False,No Diff
average_cost,LogisticRegression (Balanced + MEC),LogisticRegression (Baseline),-0.2832951705232606,-4.573699813691782,1.3893669475440192e-05,True,Worse,accuracy,LogisticRegression (Balanced + MEC),LogisticRegression (Baseline),-0.5691106990244298,-19.402199863997684,1.659828353152331e-35,True,Worse,precision,LogisticRegression (Balanced + MEC),LogisticRegression (Baseline),-0.42924018603167957,-9.253330970009541,4.6525927056176004e-15,True,Worse,recall,LogisticRegression (Balanced + MEC),LogisticRegression (Baseline),0.5932153846153847,16.20244215357753,1.340748771796938e-29,True,Better,f1,LogisticRegression (Balanced + MEC),LogisticRegression (Baseline),-0.1630688911915063,-4.469309036008007,2.0904359777156026e-05,True,Worse,roc_auc,LogisticRegression (Balanced + MEC),LogisticRegression (Baseline),0.012658223355591747,0.4944131238820152,0.6221097864908908,False,No Diff
average_cost,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + MEC),-0.03280174151414983,-1.1436397051232838,0.2555309267636448,False,No Diff,accuracy,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + MEC),0.03853059743610415,1.2412530164769848,0.21744535111970464,False,No Diff,precision,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + MEC),0.007847927152556305,1.269406109866935,0.20727228946326495,False,No Diff,recall,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + MEC),-0.003969230769230725,-0.3160800466231475,0.752607183722273,False,No Diff,f1,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + MEC),0.010923369647775405,1.254121107608246,0.21275113191854095,False,No Diff,roc_auc,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + MEC),-0.0014314632735686894,-0.05731337196289007,0.9544110879924059,False,No Diff
average_cost,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + STD),0.16863500765943717,3.0265595608238405,0.003152677452841116,True,Better,accuracy,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + STD),-0.3879315488188343,-12.850738425874408,8.044607122683028e-23,True,Worse,precision,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + STD),-0.1302894460651364,-8.759788422052281,5.510221163198272e-14,True,Worse,recall,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + STD),0.1526153846153847,4.945414496905113,3.1082367324880155e-06,True,Better,f1,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + STD),-0.14586383138370668,-7.6853557113967055,1.1257952559978219e-11,True,Worse,roc_auc,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + STD),-0.00048677199993019116,-0.020257397726931956,0.9838788124791672,False,No Diff
average_cost,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + MEC),0.011779811335967283,0.33803061397053064,0.73605588223848,False,No Diff,accuracy,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + MEC),-0.01406192050310412,-0.35111328958682014,0.7262494612595819,False,No Diff,precision,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + MEC),-0.003405563573320558,-0.3960867833696425,0.6928933784768974,False,No Diff,recall,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + MEC),0.0015846153846154065,0.11715002774789392,0.9069785036187932,False,No Diff,f1,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + MEC),-0.004563383438693558,-0.38579016446119463,0.7004798489023314,False,No Diff,roc_auc,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + MEC),0.004582572690467135,0.20806760958880494,0.8356036239073696,False,No Diff
average_cost,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + STD),0.10533782149479953,2.069709725057959,0.041083693358199586,True,Better,accuracy,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + STD),-0.47462226880593394,-17.409954049893017,6.793024655573611e-32,True,Worse,precision,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + STD),-0.1984079694194619,-11.457946845338475,7.476542292578943e-20,True,Worse,recall,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + STD),0.2570461538461539,8.617681553890247,1.1201018247417407e-13,True,Better,f1,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + STD),-0.19039336201793472,-9.884410565154317,1.9551420029854742e-16,True,Worse,roc_auc,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + STD),0.0037130816551868007,0.1557430191550942,0.8765527111265246,False,No Diff
average_cost,LogisticRegression (Balanced + STD),LogisticRegression (Balanced + MEC),-0.10757155526888651,-1.764667601537561,0.08070370380378677,False,No Diff,accuracy,LogisticRegression (Balanced + STD),LogisticRegression (Balanced + MEC),0.47857211964847224,16.861822617167952,7.311510632972107e-31,True,Better,precision,LogisticRegression (Balanced + STD),LogisticRegression (Balanced + MEC),0.20171293475444527,10.95154346386365,9.299083005522758e-19,True,Better,recall,LogisticRegression (Balanced + STD),LogisticRegression (Balanced + MEC),-0.2582461538461539,-7.544432695839436,2.2396174965370727e-11,True,Worse,f1,LogisticRegression (Balanced + STD),LogisticRegression (Balanced + MEC),0.193370101113101,8.688766441743374,7.85623610609813e-14,True,Better,roc_auc,LogisticRegression (Balanced + STD),LogisticRegression (Balanced + MEC),-6.860683176468374e-05,-0.003047994639600468,0.997574189360374,False,No Diff
average_cost,LogisticRegression (Balanced + STD),LogisticRegression (Baseline),-0.3908667257921471,-5.137222676279343,1.4005642180959483e-06,True,Worse,accuracy,LogisticRegression (Balanced + STD),LogisticRegression (Baseline),-0.09053857937595755,-4.686339918305036,8.88700099045651e-06,True,Worse,precision,LogisticRegression (Balanced + STD),LogisticRegression (Baseline),-0.22752725127723433,-4.58177680965693,1.345833083393122e-05,True,Worse,recall,LogisticRegression (Balanced + STD),LogisticRegression (Baseline),0.3349692307692308,7.0950886295201645,1.9644975558251467e-10,True,Better,f1,LogisticRegression (Balanced + STD),LogisticRegression (Baseline),0.030301209921594685,0.7545469145367392,0.4523120363215538,False,No Diff,roc_auc,LogisticRegression (Balanced + STD),LogisticRegression (Baseline),0.012589616523827063,0.4703284518521471,0.6391548812599748,False,No Diff
average_cost,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + MEC),-0.14037329678303634,-2.4927063482601723,0.014336885094947667,True,Worse,accuracy,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + MEC),0.5171027170845763,22.181373326524433,3.402923359200754e-40,True,Better,precision,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + MEC),0.20956086190700157,11.923012476504868,7.496080785652995e-21,True,Better,recall,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + MEC),-0.26221538461538463,-7.572567077008578,1.952719418847082e-11,True,Worse,f1,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + MEC),0.2042934707608764,9.836478772048292,2.487478361450337e-16,True,Better,roc_auc,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + MEC),-0.0015000701053333731,-0.0669502468833846,0.946756334833279,False,No Diff
average_cost,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + STD),0.061063452390550665,0.7981729985154788,0.426680599382237,False,No Diff,accuracy,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + STD),0.09064057082963795,4.533762064929236,1.625450976243406e-05,True,Better,precision,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + STD),0.07142348868930887,3.1995541911797374,0.001849653394071243,True,Better,recall,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + STD),-0.1056307692307692,-2.278453282477228,0.024848184738454127,True,Worse,f1,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + STD),0.04750626972939431,1.7118095919817256,0.09006281193745413,False,No Diff,roc_auc,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + STD),-0.0005553788316948749,-0.025250146734594223,0.9799062650076471,False,No Diff
