Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,METADES (Balanced + MEC),METADES (Balanced + STD),-0.05714464242521955,-0.9723665921978302,0.33323801998264424,False,No Diff,accuracy,METADES (Balanced + MEC),METADES (Balanced + STD),-0.6751330323308878,-73.32881356629625,4.329712705290945e-88,True,Worse,precision,METADES (Balanced + MEC),METADES (Balanced + STD),-0.3257645871299436,-10.937666006911554,9.96617455444396e-19,True,Worse,recall,METADES (Balanced + MEC),METADES (Balanced + STD),0.5098307692307692,13.697330209429605,1.3813594629791616e-24,True,Better,f1,METADES (Balanced + MEC),METADES (Balanced + STD),-0.20856021354659432,-6.84432406085899,6.491147613442658e-10,True,Worse,roc_auc,METADES (Balanced + MEC),METADES (Balanced + STD),-0.0013256462835409266,-0.05696568721951824,0.9546873447368415,False,No Diff
average_cost,METADES (Balanced + MEC),METADES (Baseline),-0.5516947512698538,-11.292153518357782,1.7036288338148079e-19,True,Worse,accuracy,METADES (Balanced + MEC),METADES (Baseline),-0.6889417882770299,-135.51936227620854,3.194524077733867e-114,True,Worse,precision,METADES (Balanced + MEC),METADES (Baseline),-0.44654728354479434,-4.476730533841598,2.030963297049421e-05,True,Worse,recall,METADES (Balanced + MEC),METADES (Baseline),0.8634000000000001,27.23074516593065,8.884778713080427e-48,True,Better,f1,METADES (Balanced + MEC),METADES (Baseline),0.06363891436586158,1.4713208235436064,0.1443759609914288,False,No Diff,roc_auc,METADES (Balanced + MEC),METADES (Baseline),0.05597295204795216,1.8953441924772314,0.060963931048054275,False,No Diff
average_cost,METADES (Balanced + MEC),METADES (Cost-sensitive + MEC),1.1102230246251565e-16,0.0,1.0,False,No Diff,accuracy,METADES (Balanced + MEC),METADES (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff,precision,METADES (Balanced + MEC),METADES (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff,recall,METADES (Balanced + MEC),METADES (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff,f1,METADES (Balanced + MEC),METADES (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff,roc_auc,METADES (Balanced + MEC),METADES (Cost-sensitive + MEC),-0.009514202026044138,-0.4387272513523915,0.6618151482688518,False,No Diff
average_cost,METADES (Balanced + MEC),METADES (Cost-sensitive + STD),0.20511045714746468,4.1150580374722425,8.017097678797102e-05,True,Better,accuracy,METADES (Balanced + MEC),METADES (Cost-sensitive + STD),-0.572080141901153,-27.081434247367916,1.4366198502868109e-47,True,Worse,precision,METADES (Balanced + MEC),METADES (Cost-sensitive + STD),-0.19292378608580887,-9.494747825714908,1.3846635435376768e-15,True,Worse,recall,METADES (Balanced + MEC),METADES (Cost-sensitive + STD),0.2554461538461539,7.266958197422099,8.597202229548957e-11,True,Better,f1,METADES (Balanced + MEC),METADES (Cost-sensitive + STD),-0.19864569547633554,-9.905888200526736,1.755168405763782e-16,True,Worse,roc_auc,METADES (Balanced + MEC),METADES (Cost-sensitive + STD),-0.008713358571253327,-0.36958061825906086,0.7124843617067861,False,No Diff
average_cost,METADES (Balanced + MEC),METADES (SMOTE + MEC),0.00038176247682031317,0.33935711852921596,0.735059547390372,False,No Diff,accuracy,METADES (Balanced + MEC),METADES (SMOTE + MEC),-0.00038176247682014663,-0.3393571185292177,0.7350595473903707,False,No Diff,precision,METADES (Balanced + MEC),METADES (SMOTE + MEC),-6.165011706724122e-05,-0.06774932612501347,0.9461218250699808,False,No Diff,recall,METADES (Balanced + MEC),METADES (SMOTE + MEC),0.0,0.0,1.0,False,No Diff,f1,METADES (Balanced + MEC),METADES (SMOTE + MEC),-9.150270456942389e-05,-0.0678465191977865,0.9460446511606152,False,No Diff,roc_auc,METADES (Balanced + MEC),METADES (SMOTE + MEC),0.07869449059712219,2.9648330798858913,0.0037947038653080314,True,Better
average_cost,METADES (Balanced + MEC),METADES (SMOTE + STD),-0.16090341046520962,-2.9627824242890837,0.0038179713804180893,True,Worse,accuracy,METADES (Balanced + MEC),METADES (SMOTE + STD),-0.6560590179795212,-63.455107186846305,5.318406619083577e-82,True,Worse,precision,METADES (Balanced + MEC),METADES (SMOTE + STD),-0.2712742730815274,-9.357526596415516,2.7579514595131008e-15,True,Worse,recall,METADES (Balanced + MEC),METADES (SMOTE + STD),0.5684769230769231,16.70616035001128,1.445734105204864e-30,True,Better,f1,METADES (Balanced + MEC),METADES (SMOTE + STD),-0.15114046750387516,-5.535172390923384,2.552619484545931e-07,True,Worse,roc_auc,METADES (Balanced + MEC),METADES (SMOTE + STD),0.061544769265821864,2.5089725330879284,0.013731627109745218,True,Better
average_cost,METADES (Balanced + STD),METADES (Balanced + MEC),0.05714464242521955,0.9723665921978302,0.33323801998264424,False,No Diff,accuracy,METADES (Balanced + STD),METADES (Balanced + MEC),0.6751330323308878,73.32881356629625,4.329712705290945e-88,True,Better,precision,METADES (Balanced + STD),METADES (Balanced + MEC),0.3257645871299436,10.937666006911554,9.96617455444396e-19,True,Better,recall,METADES (Balanced + STD),METADES (Balanced + MEC),-0.5098307692307692,-13.697330209429605,1.3813594629791616e-24,True,Worse,f1,METADES (Balanced + STD),METADES (Balanced + MEC),0.20856021354659432,6.84432406085899,6.491147613442658e-10,True,Better,roc_auc,METADES (Balanced + STD),METADES (Balanced + MEC),0.0013256462835409266,0.05696568721951824,0.9546873447368415,False,No Diff
average_cost,METADES (Balanced + STD),METADES (Baseline),-0.49455010884463424,-6.889666815781898,5.234695293474177e-10,True,Worse,accuracy,METADES (Balanced + STD),METADES (Baseline),-0.01380875594614206,-1.3686421482192554,0.17420888306090518,False,No Diff,precision,METADES (Balanced + STD),METADES (Baseline),-0.12078269641485073,-1.2138351377210566,0.22769851504748945,False,No Diff,recall,METADES (Balanced + STD),METADES (Baseline),0.35356923076923086,7.788728030026144,6.785170037403262e-12,True,Better,f1,METADES (Balanced + STD),METADES (Baseline),0.27219912791245593,5.597710784208404,1.9426459285200297e-07,True,Better,roc_auc,METADES (Balanced + STD),METADES (Baseline),0.05729859833149309,2.006893507636438,0.04748759319425895,True,Better
average_cost,METADES (Balanced + STD),METADES (Cost-sensitive + MEC),0.05714464242521966,0.9752694666317676,0.3318036668545903,False,No Diff,accuracy,METADES (Balanced + STD),METADES (Cost-sensitive + MEC),0.6751330323308878,74.59663552488354,8.173688389808641e-89,True,Better,precision,METADES (Balanced + STD),METADES (Cost-sensitive + MEC),0.3257645871299436,10.979431700367735,8.0907207231731085e-19,True,Better,recall,METADES (Balanced + STD),METADES (Cost-sensitive + MEC),-0.5098307692307692,-13.697330209429605,1.3813594629791616e-24,True,Worse,f1,METADES (Balanced + STD),METADES (Cost-sensitive + MEC),0.20856021354659432,6.902374688853293,4.928010078614785e-10,True,Better,roc_auc,METADES (Balanced + STD),METADES (Cost-sensitive + MEC),-0.008188555742503212,-0.3572712752468986,0.7216492041389919,False,No Diff
average_cost,METADES (Balanced + STD),METADES (Cost-sensitive + STD),0.2622550995726842,3.126282743935262,0.0023240595245341304,True,Better,accuracy,METADES (Balanced + STD),METADES (Cost-sensitive + STD),0.10305289042973487,4.595673259526522,1.2740055805512296e-05,True,Better,precision,METADES (Balanced + STD),METADES (Cost-sensitive + STD),0.1328408010441347,3.7591275988222663,0.00028852378793862353,True,Better,recall,METADES (Balanced + STD),METADES (Cost-sensitive + STD),-0.2543846153846153,-4.451637315010944,2.2389025991374833e-05,True,Worse,f1,METADES (Balanced + STD),METADES (Cost-sensitive + STD),0.009914518070258782,0.2722659164650998,0.7859845975623063,False,No Diff,roc_auc,METADES (Balanced + STD),METADES (Cost-sensitive + STD),-0.0073877122877124,-0.30405071120199273,0.7617274041551021,False,No Diff
average_cost,METADES (Balanced + STD),METADES (SMOTE + MEC),0.05752640490203986,0.9780203849056406,0.3304481415139373,False,No Diff,accuracy,METADES (Balanced + STD),METADES (SMOTE + MEC),0.6747512698540676,73.21252758823623,5.052103927983503e-88,True,Better,precision,METADES (Balanced + STD),METADES (SMOTE + MEC),0.32570293701287634,10.895356306491081,1.2310846469244134e-18,True,Better,recall,METADES (Balanced + STD),METADES (SMOTE + MEC),-0.5098307692307692,-13.697330209429605,1.3813594629791616e-24,True,Worse,f1,METADES (Balanced + STD),METADES (SMOTE + MEC),0.2084687108420249,6.812071470171836,7.562387100471915e-10,True,Better,roc_auc,METADES (Balanced + STD),METADES (SMOTE + MEC),0.08002013688066312,3.044133357000282,0.002989195177953067,True,Better
average_cost,METADES (Balanced + STD),METADES (SMOTE + STD),-0.10375876803999007,-1.2266720214799651,0.22285529781447905,False,No Diff,accuracy,METADES (Balanced + STD),METADES (SMOTE + STD),0.019074014351366686,1.34992723245417,0.18011777800050777,False,No Diff,precision,METADES (Balanced + STD),METADES (SMOTE + STD),0.0544903140484162,1.2917910142885318,0.19943713726407575,False,No Diff,recall,METADES (Balanced + STD),METADES (SMOTE + STD),0.05864615384615385,1.0996747609161404,0.2741407676571241,False,No Diff,f1,METADES (Balanced + STD),METADES (SMOTE + STD),0.057419746042719155,1.3474326197161284,0.18091669289048906,False,No Diff,roc_auc,METADES (Balanced + STD),METADES (SMOTE + STD),0.06287041554936279,2.233106791229515,0.0277935739205729,True,Better
average_cost,METADES (Baseline),METADES (Balanced + MEC),0.5516947512698538,11.292153518357782,1.7036288338148079e-19,True,Better,accuracy,METADES (Baseline),METADES (Balanced + MEC),0.6889417882770299,135.51936227620854,3.194524077733867e-114,True,Better,precision,METADES (Baseline),METADES (Balanced + MEC),0.44654728354479434,4.476730533841598,2.030963297049421e-05,True,Better,recall,METADES (Baseline),METADES (Balanced + MEC),-0.8634000000000001,-27.23074516593065,8.884778713080427e-48,True,Worse,f1,METADES (Baseline),METADES (Balanced + MEC),-0.06363891436586158,-1.4713208235436064,0.1443759609914288,False,No Diff,roc_auc,METADES (Baseline),METADES (Balanced + MEC),-0.05597295204795216,-1.8953441924772314,0.060963931048054275,False,No Diff
average_cost,METADES (Baseline),METADES (Balanced + STD),0.49455010884463424,6.889666815781898,5.234695293474177e-10,True,Better,accuracy,METADES (Baseline),METADES (Balanced + STD),0.01380875594614206,1.3686421482192554,0.17420888306090518,False,No Diff,precision,METADES (Baseline),METADES (Balanced + STD),0.12078269641485073,1.2138351377210566,0.22769851504748945,False,No Diff,recall,METADES (Baseline),METADES (Balanced + STD),-0.35356923076923086,-7.788728030026144,6.785170037403262e-12,True,Worse,f1,METADES (Baseline),METADES (Balanced + STD),-0.27219912791245593,-5.597710784208404,1.9426459285200297e-07,True,Worse,roc_auc,METADES (Baseline),METADES (Balanced + STD),-0.05729859833149309,-2.006893507636438,0.04748759319425895,True,Worse
