Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,StackingClassifier (Balanced + MEC),StackingClassifier (Balanced + STD),0.2839256631460132,5.800254024750744,7.945834408662851e-08,True,Better,accuracy,StackingClassifier (Balanced + MEC),StackingClassifier (Balanced + STD),-0.6320035475288237,-44.452925600013415,3.193916158507176e-67,True,Worse,precision,StackingClassifier (Balanced + MEC),StackingClassifier (Balanced + STD),-0.26787030720835453,-13.970250837518142,3.788256092181584e-25,True,Worse,recall,StackingClassifier (Balanced + MEC),StackingClassifier (Balanced + STD),0.24227692307692306,8.086613526734162,1.5652741962459297e-12,True,Better,f1,StackingClassifier (Balanced + MEC),StackingClassifier (Balanced + STD),-0.2684585589455691,-13.241330149019403,1.2218833029004698e-23,True,Worse,roc_auc,StackingClassifier (Balanced + MEC),StackingClassifier (Balanced + STD),-0.0002206977233293328,-0.012177204235990375,0.9903087426690709,False,No Diff
average_cost,StackingClassifier (Balanced + MEC),StackingClassifier (Baseline),-0.148116181568975,-3.101609301050652,0.002507757767991994,True,Worse,accuracy,StackingClassifier (Balanced + MEC),StackingClassifier (Baseline),-0.7157800532129324,-66.91091793060308,3.142181202862623e-84,True,Worse,precision,StackingClassifier (Balanced + MEC),StackingClassifier (Baseline),-0.5835496409668579,-15.070160505201184,2.249937271171711e-27,True,Worse,recall,StackingClassifier (Balanced + MEC),StackingClassifier (Baseline),0.6012307692307692,19.999382016814796,1.5101524387494446e-36,True,Better,f1,StackingClassifier (Balanced + MEC),StackingClassifier (Baseline),-0.2363305285928406,-8.068753032087525,1.7096528896342649e-12,True,Worse,roc_auc,StackingClassifier (Balanced + MEC),StackingClassifier (Baseline),-0.000630484427852962,-0.03721420253641765,0.9703891517270199,False,No Diff
average_cost,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + MEC),-0.005410787712650134,-0.6220812854924227,0.5353184986680426,False,No Diff,accuracy,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + MEC),0.005410787712650161,0.6220812854924226,0.5353184986680426,False,No Diff,precision,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + MEC),0.0009861153624620422,0.5538538271699192,0.5809277159211736,False,No Diff,recall,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + MEC),0.0,0.0,1.0,False,No Diff,f1,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + MEC),0.0014379414845445693,0.5563726387885464,0.579211570898505,False,No Diff,roc_auc,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + MEC),-7.508719350812765e-05,-0.004141972759552007,0.9967035282301011,False,No Diff
average_cost,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + STD),0.33249092961380333,8.385402635932785,3.560492290001439e-13,True,Better,accuracy,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + STD),-0.5620333790212046,-28.407674239592918,2.156848254190337e-49,True,Worse,precision,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + STD),-0.19638145995975426,-11.803786850529288,1.3497089404141573e-20,True,Worse,recall,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + STD),0.15981538461538458,6.457139812837956,3.996181603281912e-09,True,Better,f1,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + STD),-0.22224135652517424,-12.412465695892486,6.7866337083198035e-22,True,Worse,roc_auc,StackingClassifier (Balanced + MEC),StackingClassifier (Cost-sensitive + STD),-0.00104983612878351,-0.055089235737972204,0.956178394493389,False,No Diff
average_cost,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + MEC),0.3033338708377008,8.213561902191431,8.352552841764834e-13,True,Better,accuracy,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + MEC),-0.44531081190034666,-15.607366717731143,1.94068296174164e-28,True,Worse,precision,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + MEC),-0.12387570525679603,-7.8541493602356445,4.921227045025381e-12,True,Worse,recall,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + MEC),0.09883076923076928,3.936765881654968,0.00015366425193841015,True,Better,f1,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + MEC),-0.15285310389322126,-9.113840964540344,9.365349252330953e-15,True,Worse,roc_auc,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + MEC),0.007145012005538187,0.3862975851272413,0.700105266134728,False,No Diff
average_cost,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + STD),0.07355438200435416,1.27655579548532,0.20474548697172795,False,No Diff,accuracy,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + STD),-0.6963778924453763,-61.591293217839386,9.46679309498365e-81,True,Worse,precision,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + STD),-0.41395107818014987,-14.3159045364174,7.449583080783642e-26,True,Worse,recall,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + STD),0.43346153846153845,11.341482078922516,1.3331407251073126e-19,True,Better,f1,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + STD),-0.2873062200312229,-10.863620448750465,1.4425810063885376e-18,True,Worse,roc_auc,StackingClassifier (Balanced + MEC),StackingClassifier (SMOTE + STD),0.004731369507685157,0.2520632085728791,0.8015147573862453,False,No Diff
average_cost,StackingClassifier (Balanced + STD),StackingClassifier (Balanced + MEC),-0.2839256631460132,-5.800254024750744,7.945834408662851e-08,True,Worse,accuracy,StackingClassifier (Balanced + STD),StackingClassifier (Balanced + MEC),0.6320035475288237,44.452925600013415,3.193916158507176e-67,True,Better,precision,StackingClassifier (Balanced + STD),StackingClassifier (Balanced + MEC),0.26787030720835453,13.970250837518142,3.788256092181584e-25,True,Better,recall,StackingClassifier (Balanced + STD),StackingClassifier (Balanced + MEC),-0.24227692307692306,-8.086613526734162,1.5652741962459297e-12,True,Worse,f1,StackingClassifier (Balanced + STD),StackingClassifier (Balanced + MEC),0.2684585589455691,13.241330149019403,1.2218833029004698e-23,True,Better,roc_auc,StackingClassifier (Balanced + STD),StackingClassifier (Balanced + MEC),0.0002206977233293328,0.012177204235990375,0.9903087426690709,False,No Diff
average_cost,StackingClassifier (Balanced + STD),StackingClassifier (Baseline),-0.4320418447149882,-5.977137436082121,3.5985123124303253e-08,True,Worse,accuracy,StackingClassifier (Balanced + STD),StackingClassifier (Baseline),-0.08377650568410877,-5.843036056497766,6.566659945211286e-08,True,Worse,precision,StackingClassifier (Balanced + STD),StackingClassifier (Baseline),-0.3156793337585034,-6.88885694258347,5.254868868541196e-10,True,Worse,recall,StackingClassifier (Balanced + STD),StackingClassifier (Baseline),0.3589538461538462,7.956367037752971,2.9762074805650446e-12,True,Better,f1,StackingClassifier (Balanced + STD),StackingClassifier (Baseline),0.03212803035272849,0.8576750731729664,0.39314349621516853,False,No Diff,roc_auc,StackingClassifier (Balanced + STD),StackingClassifier (Baseline),-0.0004097867045236292,-0.022152268352253333,0.982371080142224,False,No Diff
average_cost,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + MEC),-0.28933645085866333,-6.043392934909033,2.6677090440979305e-08,True,Worse,accuracy,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + MEC),0.6374143352414738,53.1454152026684,1.3569745712639263e-74,True,Better,precision,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + MEC),0.26885642257081654,14.113031678587873,1.9317690535326218e-25,True,Better,recall,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + MEC),-0.24227692307692306,-8.086613526734162,1.5652741962459297e-12,True,Worse,f1,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + MEC),0.26989650043011365,13.551734628382535,2.763890333156324e-24,True,Better,roc_auc,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + MEC),0.00014561052982120515,0.007835546761480093,0.993763970014202,False,No Diff
average_cost,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + STD),0.048565266467790136,0.8311298477521304,0.4079003422277502,False,No Diff,accuracy,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + STD),0.06997016850761906,3.7317356092151734,0.00031743158767247326,True,Better,precision,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + STD),0.07148884724860027,3.2483201965102784,0.0015857576299132192,True,Better,recall,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + STD),-0.08246153846153847,-2.1049898190822782,0.037823796373500224,True,Worse,f1,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + STD),0.04621720242039484,2.0050485286923965,0.04768789793658335,True,Better,roc_auc,StackingClassifier (Balanced + STD),StackingClassifier (Cost-sensitive + STD),-0.0008291384054541773,-0.04755264521406513,0.9621685701959568,False,No Diff
