Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Minimum Expected Cost),0.25353503184713344,3.3222092148748397,0.0012521244252131512,True,Better,accuracy,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Minimum Expected Cost),0.707131339192131,100.19749147161146,2.4733114988897986e-101,True,Better,precision,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Minimum Expected Cost),0.5415429362112532,10.166707440669285,4.7363910051536794e-17,True,Better,recall,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Minimum Expected Cost),-0.6685538461538462,-13.405988169318855,5.5469346429533694e-24,True,Worse,f1,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Minimum Expected Cost),0.15259773017471784,3.1944740207947615,0.0018793835820569537,True,Better,roc_auc,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Minimum Expected Cost),0.013539223933960898,0.5801246373777309,0.5631486175510309,False,No Diff
average_cost,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Standard Threshold),0.4638873659598485,4.85591807907332,4.483737243123955e-06,True,Better,accuracy,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Standard Threshold),0.30445779246956384,4.880846105655849,4.050194664623696e-06,True,Better,precision,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Standard Threshold),0.4294645707473359,7.047727051991448,2.4644398324075413e-10,True,Better,recall,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Standard Threshold),-0.5347692307692307,-9.153871980838513,7.662291101535384e-15,True,Worse,f1,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Standard Threshold),0.021525989941668877,0.381214058588289,0.7038613051843242,False,No Diff,roc_auc,VotingClassifier (Baseline),VotingClassifier (Cost-sensitive + Standard Threshold),0.017083395551816705,0.7172026117747624,0.474937869884019,False,No Diff
average_cost,VotingClassifier (Baseline),VotingClassifier (SMOTE + Minimum Expected Cost),0.26814843183100845,3.621724725815306,0.000463669300514008,True,Better,accuracy,VotingClassifier (Baseline),VotingClassifier (SMOTE + Minimum Expected Cost),0.6902285737321616,42.420216414758556,2.6141001332014895e-65,True,Better,precision,VotingClassifier (Baseline),VotingClassifier (SMOTE + Minimum Expected Cost),0.5386032236152818,10.080465599617074,7.303017680816306e-17,True,Better,recall,VotingClassifier (Baseline),VotingClassifier (SMOTE + Minimum Expected Cost),-0.6669692307692308,-13.391450182023728,5.946819058726936e-24,True,Worse,f1,VotingClassifier (Baseline),VotingClassifier (SMOTE + Minimum Expected Cost),0.14839030576491408,3.1613563795297233,0.002084381146775523,True,Better,roc_auc,VotingClassifier (Baseline),VotingClassifier (SMOTE + Minimum Expected Cost),0.01132740154582268,0.5966460302452683,0.5521056917933678,False,No Diff
average_cost,VotingClassifier (Baseline),VotingClassifier (SMOTE + Standard Threshold),0.3462271224703699,3.350863813688369,0.001141423080752418,True,Better,accuracy,VotingClassifier (Baseline),VotingClassifier (SMOTE + Standard Threshold),0.10327944852051929,3.0249835214405287,0.003167735945321403,True,Better,precision,VotingClassifier (Baseline),VotingClassifier (SMOTE + Standard Threshold),0.2934773291928818,4.625524356598608,1.1320471300904502e-05,True,Better,recall,VotingClassifier (Baseline),VotingClassifier (SMOTE + Standard Threshold),-0.31283076923076925,-4.092966207513335,8.698598321929792e-05,True,Worse,f1,VotingClassifier (Baseline),VotingClassifier (SMOTE + Standard Threshold),-0.04461604504323641,-0.7969751077851092,0.42737271555578327,False,No Diff,roc_auc,VotingClassifier (Baseline),VotingClassifier (SMOTE + Standard Threshold),0.013640406085142942,0.6748482142828001,0.5013452141629235,False,No Diff
average_cost,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Baseline),-0.25353503184713344,-3.3222092148748397,0.0012521244252131512,True,Worse,accuracy,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Baseline),-0.707131339192131,-100.19749147161146,2.4733114988897986e-101,True,Worse,precision,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Baseline),-0.5415429362112532,-10.166707440669285,4.7363910051536794e-17,True,Worse,recall,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Baseline),0.6685538461538462,13.405988169318855,5.5469346429533694e-24,True,Better,f1,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Baseline),-0.15259773017471784,-3.1944740207947615,0.0018793835820569537,True,Worse,roc_auc,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Baseline),-0.013539223933960898,-0.5801246373777309,0.5631486175510309,False,No Diff
average_cost,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Cost-sensitive + Standard Threshold),0.21035233411271503,3.8979664703465886,0.0001766113427532258,True,Better,accuracy,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Cost-sensitive + Standard Threshold),-0.40267354672256717,-6.581090691194469,2.24225674060669e-09,True,Worse,precision,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Cost-sensitive + Standard Threshold),-0.11207836546391728,-4.6665297791198395,9.617869120546075e-06,True,Worse,recall,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Cost-sensitive + Standard Threshold),0.1337846153846155,4.24850863178966,4.869765866680442e-05,True,Better,f1,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Cost-sensitive + Standard Threshold),-0.13107174023304896,-4.7892101060126215,5.8778032735631255e-06,True,Worse,roc_auc,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (Cost-sensitive + Standard Threshold),0.003544171617855807,0.16104148613998498,0.8723889005358095,False,No Diff
average_cost,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Minimum Expected Cost),0.014613399983875008,0.984885778485882,0.32708108716441986,False,No Diff,accuracy,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Minimum Expected Cost),-0.016902765459969382,-1.0666756545844545,0.28871269136626715,False,No Diff,precision,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Minimum Expected Cost),-0.0029397125959713666,-0.9785946546912229,0.33016562761640533,False,No Diff,recall,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Minimum Expected Cost),0.0015846153846154065,0.5835203795478742,0.5608700916396052,False,No Diff,f1,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Minimum Expected Cost),-0.004207424409803762,-0.9733956652476423,0.3327290756311644,False,No Diff,roc_auc,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Minimum Expected Cost),-0.002211822388138218,-0.10338146728324027,0.917869354070646,False,No Diff
average_cost,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Standard Threshold),0.09269209062323647,1.2961301311049023,0.197944114500086,False,No Diff,accuracy,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Standard Threshold),-0.6038518906716117,-18.93214793609459,1.1294219487741098e-34,True,Worse,precision,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Standard Threshold),-0.2480656070183714,-6.447373747564202,4.181624393949483e-09,True,Worse,recall,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Standard Threshold),0.3557230769230769,5.897526467104161,5.146445977041219e-08,True,Better,f1,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Standard Threshold),-0.19721377521795425,-7.474213108832393,3.151594105735517e-11,True,Worse,roc_auc,VotingClassifier (Cost-sensitive + Minimum Expected Cost),VotingClassifier (SMOTE + Standard Threshold),0.00010118215118204432,0.005426450494491007,0.9956812598990468,False,No Diff
average_cost,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Baseline),-0.4638873659598485,-4.85591807907332,4.483737243123955e-06,True,Worse,accuracy,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Baseline),-0.30445779246956384,-4.880846105655849,4.050194664623696e-06,True,Worse,precision,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Baseline),-0.4294645707473359,-7.047727051991448,2.4644398324075413e-10,True,Worse,recall,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Baseline),0.5347692307692307,9.153871980838513,7.662291101535384e-15,True,Better,f1,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Baseline),-0.021525989941668877,-0.381214058588289,0.7038613051843242,False,No Diff,roc_auc,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Baseline),-0.017083395551816705,-0.7172026117747624,0.474937869884019,False,No Diff
average_cost,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Cost-sensitive + Minimum Expected Cost),-0.21035233411271503,-3.8979664703465886,0.0001766113427532258,True,Worse,accuracy,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Cost-sensitive + Minimum Expected Cost),0.40267354672256717,6.581090691194469,2.24225674060669e-09,True,Better,precision,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Cost-sensitive + Minimum Expected Cost),0.11207836546391728,4.6665297791198395,9.617869120546075e-06,True,Better,recall,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Cost-sensitive + Minimum Expected Cost),-0.1337846153846155,-4.24850863178966,4.869765866680442e-05,True,Worse,f1,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Cost-sensitive + Minimum Expected Cost),0.13107174023304896,4.7892101060126215,5.8778032735631255e-06,True,Better,roc_auc,VotingClassifier (Cost-sensitive + Standard Threshold),VotingClassifier (Cost-sensitive + Minimum Expected Cost),-0.003544171617855807,-0.16104148613998498,0.8723889005358095,False,No Diff
