Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
accuracy,LogisticRegression (Baseline),LogisticRegression (Cost-sensitive + Minimum Expected Cost),0.6076412964605338,25.374486763576478,4.048918606749358e-45,True,Better
accuracy,LogisticRegression (Baseline),LogisticRegression (Cost-sensitive + Standard Threshold),0.18117915020559539,8.607086712053905,1.180875920353334e-13,True,Better
accuracy,LogisticRegression (Baseline),LogisticRegression (SMOTE + Minimum Expected Cost),0.5550487785213256,17.218627997797167,1.550177122121818e-31,True,Better
accuracy,LogisticRegression (Baseline),LogisticRegression (SMOTE + Standard Threshold),0.09448843021849562,4.4044183010812175,2.6873015553725644e-05,True,Better
accuracy,LogisticRegression (Baseline),RandomForestClassifier (Baseline),0.003322180117713347,0.2392147021314345,0.8114336352327152,False,No Diff
accuracy,LogisticRegression (Baseline),RandomForestClassifier (Cost-sensitive + Minimum Expected Cost),0.6995730871563333,51.34077240688301,3.684752029333685e-73,True,Better
accuracy,LogisticRegression (Baseline),RandomForestClassifier (Cost-sensitive + Standard Threshold),0.3215609126824156,7.142295808892619,1.5664472987465158e-10,True,Better
accuracy,LogisticRegression (Baseline),RandomForestClassifier (SMOTE + Minimum Expected Cost),0.6995730871563333,50.71675973441193,1.1833659942791768e-72,True,Better
accuracy,LogisticRegression (Baseline),RandomForestClassifier (SMOTE + Standard Threshold),0.06483270176570188,3.111229660687768,0.0024345845956561156,True,Better
accuracy,LogisticRegression (Baseline),StackingClassifier (Baseline),-0.02161775376924946,-1.4582854914482177,0.1479271078052327,False,No Diff
accuracy,LogisticRegression (Baseline),StackingClassifier (Cost-sensitive + Minimum Expected Cost),0.6995730871563333,51.310938274223666,3.894967073410554e-73,True,Better
accuracy,LogisticRegression (Baseline),StackingClassifier (Cost-sensitive + Standard Threshold),0.1321289204224786,6.54505952683152,2.6534562542445616e-09,True,Better
accuracy,LogisticRegression (Baseline),StackingClassifier (SMOTE + Minimum Expected Cost),0.2488514875433364,7.946611315553883,3.1227138698824043e-12,True,Better
accuracy,LogisticRegression (Baseline),StackingClassifier (SMOTE + Standard Threshold),-0.0022155930016931613,-0.1403645256527161,0.888657174732341,False,No Diff
accuracy,LogisticRegression (Baseline),VotingClassifier (Baseline),-0.008956704023219908,-0.5852410718531177,0.559717247912089,False,No Diff
accuracy,LogisticRegression (Baseline),VotingClassifier (Cost-sensitive + Minimum Expected Cost),0.6981746351689109,46.91275884350166,1.9615802099162158e-69,True,Better
accuracy,LogisticRegression (Baseline),VotingClassifier (Cost-sensitive + Standard Threshold),0.2955010884463437,4.661153424722451,9.826071870729685e-06,True,Better
accuracy,LogisticRegression (Baseline),VotingClassifier (SMOTE + Minimum Expected Cost),0.6812718697089415,31.80730386738699,8.906185100127657e-54,True,Better
accuracy,LogisticRegression (Baseline),VotingClassifier (SMOTE + Standard Threshold),0.09432274449729916,2.6665037419140654,0.008953279591806085,True,Better
accuracy,LogisticRegression (Baseline),XGBClassifier (Baseline),-0.0173538660001612,-1.1075004721447892,0.2707612006377737,False,No Diff
