Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
f1,LogisticRegression (Balanced + MEC),LogisticRegression (Balanced + STD),-0.19337010111310104,-8.986175613869735,1.775551009345007e-14,True,Worse
f1,LogisticRegression (Balanced + MEC),LogisticRegression (Baseline),-0.16306889119150653,-4.514844310486131,1.7504027804619e-05,True,Worse
f1,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + MEC),0.01092336964777535,1.1287395406846588,0.2617355179839166,False,No Diff
f1,LogisticRegression (Balanced + MEC),LogisticRegression (Cost-sensitive + STD),-0.14586383138370673,-7.798833242760796,6.4570005464962034e-12,True,Worse
f1,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + MEC),-0.004563383438693669,-0.38025599809460703,0.7045700079272059,False,No Diff
f1,LogisticRegression (Balanced + MEC),LogisticRegression (SMOTE + STD),-0.19039336201793483,-9.182090989777679,6.65118809482056e-15,True,Worse
f1,LogisticRegression (Balanced + MEC),RandomForestClassifier (Balanced + MEC),0.03357867725835051,4.4517778079249934,2.2376830468435452e-05,True,Better
f1,LogisticRegression (Balanced + MEC),RandomForestClassifier (Balanced + STD),-0.20351256559235165,-8.20353106071416,8.7780511815767e-13,True,Worse
f1,LogisticRegression (Balanced + MEC),RandomForestClassifier (Baseline),0.11510826676007219,2.8267173656350812,0.0056905184324465095,True,Better
f1,LogisticRegression (Balanced + MEC),RandomForestClassifier (Cost-sensitive + MEC),0.033578677258350564,4.556193433485146,1.4884537072332332e-05,True,Better
f1,LogisticRegression (Balanced + MEC),RandomForestClassifier (Cost-sensitive + STD),-0.0912703179469459,-4.7400492829027145,7.166166296741637e-06,True,Worse
f1,LogisticRegression (Balanced + MEC),RandomForestClassifier (SMOTE + MEC),0.03357867725835062,4.502286220474222,1.8384266586553673e-05,True,Better
f1,LogisticRegression (Balanced + MEC),RandomForestClassifier (SMOTE + STD),-0.15143657401440586,-4.919162075690612,3.46221376750337e-06,True,Worse
f1,LogisticRegression (Balanced + MEC),StackingClassifier (Balanced + MEC),0.032140735773805995,4.197992870109674,5.8878886502800775e-05,True,Better
f1,LogisticRegression (Balanced + MEC),StackingClassifier (Balanced + STD),-0.2363178231717631,-11.063784473440778,5.311835668932059e-19,True,Worse
f1,LogisticRegression (Balanced + MEC),StackingClassifier (Baseline),-0.2041897928190346,-6.599647121718563,2.0557459811843063e-09,True,Worse
f1,LogisticRegression (Balanced + MEC),StackingClassifier (Cost-sensitive + MEC),0.033578677258350564,4.496968972185057,1.876973425646732e-05,True,Better
f1,LogisticRegression (Balanced + MEC),StackingClassifier (Cost-sensitive + STD),-0.19010062075136824,-10.093846287002952,6.828438906935156e-17,True,Worse
f1,LogisticRegression (Balanced + MEC),StackingClassifier (SMOTE + MEC),-0.12071236811941516,-6.504323037256585,3.2086050925368463e-09,True,Worse
f1,LogisticRegression (Balanced + MEC),StackingClassifier (SMOTE + STD),-0.25516548425741714,-9.214731550740616,5.646720190193406e-15,True,Worse
f1,LogisticRegression (Balanced + MEC),VotingClassifier (Balanced + MEC),0.03201924512887627,4.190397785922477,6.057652847406942e-05,True,Better
f1,LogisticRegression (Balanced + MEC),VotingClassifier (Balanced + STD),-0.19988305751160773,-7.38768721730007,4.795844512510886e-11,True,Worse
f1,LogisticRegression (Balanced + MEC),VotingClassifier (Baseline),-0.11936312563640467,-2.450048377213246,0.016039160174455065,True,Worse
f1,LogisticRegression (Balanced + MEC),VotingClassifier (Cost-sensitive + MEC),0.03323460453831317,4.475287752009563,2.042395577919254e-05,True,Better
f1,LogisticRegression (Balanced + MEC),VotingClassifier (Cost-sensitive + STD),-0.09783713569473584,-3.6431709375685104,0.0004309033642076405,True,Worse
f1,LogisticRegression (Balanced + MEC),VotingClassifier (SMOTE + MEC),0.02902718012850941,3.450685398307681,0.0008233942064145042,True,Better
f1,LogisticRegression (Balanced + MEC),VotingClassifier (SMOTE + STD),-0.16397917067964107,-5.7905527309214175,8.29615571149666e-08,True,Worse
f1,LogisticRegression (Balanced + MEC),XGBClassifier (Balanced + MEC),-0.05415301612637785,-3.0020498074525963,0.003394523725494705,True,Worse
f1,LogisticRegression (Balanced + MEC),XGBClassifier (Balanced + STD),-0.26091272883920735,-11.04356661933419,5.875295639883582e-19,True,Worse
f1,LogisticRegression (Balanced + MEC),XGBClassifier (Baseline),-0.21247557779577397,-7.247575812418076,9.439522830970495e-11,True,Worse
f1,LogisticRegression (Balanced + MEC),XGBClassifier (Cost-sensitive + MEC),-0.014939087723549738,-1.003060296235305,0.3182771730869727,False,No Diff
f1,LogisticRegression (Balanced + MEC),XGBClassifier (Cost-sensitive + STD),-0.2075948795198711,-10.069009618417198,7.735471693957999e-17,True,Worse
f1,LogisticRegression (Balanced + MEC),XGBClassifier (SMOTE + MEC),-0.10483101794208621,-3.2375835678901677,0.001640643811909566,True,Worse
f1,LogisticRegression (Balanced + MEC),XGBClassifier (SMOTE + STD),-0.1902580416882877,-5.7877834035723374,8.398913632407133e-08,True,Worse
f1,LogisticRegression (Balanced + STD),LogisticRegression (Balanced + MEC),0.19337010111310104,8.986175613869735,1.775551009345007e-14,True,Better
f1,LogisticRegression (Balanced + STD),LogisticRegression (Baseline),0.03030120992159452,0.7094057165692265,0.4797401689961114,False,No Diff
f1,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + MEC),0.2042934707608764,9.665268859855102,5.879402510206985e-16,True,Better
f1,LogisticRegression (Balanced + STD),LogisticRegression (Cost-sensitive + STD),0.04750626972939431,1.7012427416013334,0.09203631085303524,False,No Diff
f1,LogisticRegression (Balanced + STD),LogisticRegression (SMOTE + MEC),0.18880671767440738,8.510926713946963,1.9068365282303128e-13,True,Better
f1,LogisticRegression (Balanced + STD),LogisticRegression (SMOTE + STD),0.0029767390951662143,0.10791483273425091,0.9142816575736801,False,No Diff
f1,LogisticRegression (Balanced + STD),RandomForestClassifier (Balanced + MEC),0.22694877837145155,11.137274416871616,3.682752873154229e-19,True,Better
f1,LogisticRegression (Balanced + STD),RandomForestClassifier (Balanced + STD),-0.010142464479250601,-0.3547487828655054,0.723532380511386,False,No Diff
f1,LogisticRegression (Balanced + STD),RandomForestClassifier (Baseline),0.30847836787317323,6.9878658595257575,3.2801366658365256e-10,True,Better
f1,LogisticRegression (Balanced + STD),RandomForestClassifier (Cost-sensitive + MEC),0.2269487783714516,11.220515584707337,2.43307467715345e-19,True,Better
f1,LogisticRegression (Balanced + STD),RandomForestClassifier (Cost-sensitive + STD),0.10209978316615514,3.5627751426985306,0.0005663189469423051,True,Better
f1,LogisticRegression (Balanced + STD),RandomForestClassifier (SMOTE + MEC),0.22694877837145166,11.177410304941914,3.0154552062708095e-19,True,Better
f1,LogisticRegression (Balanced + STD),RandomForestClassifier (SMOTE + STD),0.04193352709869519,1.1385036579281982,0.25765780669222443,False,No Diff
f1,LogisticRegression (Balanced + STD),StackingClassifier (Balanced + MEC),0.22551083688690704,11.007787816763592,7.023247858735668e-19,True,Better
f1,LogisticRegression (Balanced + STD),StackingClassifier (Balanced + STD),-0.04294772205866204,-1.5372971221368061,0.12741061384907948,False,No Diff
f1,LogisticRegression (Balanced + STD),StackingClassifier (Baseline),-0.010819691705933554,-0.31046705582335216,0.7568584831254264,False,No Diff
f1,LogisticRegression (Balanced + STD),StackingClassifier (Cost-sensitive + MEC),0.2269487783714516,11.102164440265202,4.386854703235503e-19,True,Better
f1,LogisticRegression (Balanced + STD),StackingClassifier (Cost-sensitive + STD),0.0032694803617328017,0.1239311514041435,0.9016210623359454,False,No Diff
f1,LogisticRegression (Balanced + STD),StackingClassifier (SMOTE + MEC),0.07265773299368589,2.868700668147612,0.0050381527968380215,True,Better
f1,LogisticRegression (Balanced + STD),StackingClassifier (SMOTE + STD),-0.061795383144316096,-1.8717756260691516,0.06418978062912882,False,No Diff
f1,LogisticRegression (Balanced + STD),VotingClassifier (Balanced + MEC),0.22538934624197732,10.978865220853528,8.113626036140857e-19,True,Better
f1,LogisticRegression (Balanced + STD),VotingClassifier (Balanced + STD),-0.006512956398506686,-0.20065984169617873,0.8413762184670073,False,No Diff
f1,LogisticRegression (Balanced + STD),VotingClassifier (Baseline),0.07400697547669638,1.4309918909339698,0.15558161746590796,False,No Diff
f1,LogisticRegression (Balanced + STD),VotingClassifier (Cost-sensitive + MEC),0.22660470565141422,11.14323232510342,3.5750508320622943e-19,True,Better
f1,LogisticRegression (Balanced + STD),VotingClassifier (Cost-sensitive + STD),0.0955329654183652,2.622821567125145,0.010098741454226965,True,Better
f1,LogisticRegression (Balanced + STD),VotingClassifier (SMOTE + MEC),0.22239728124161046,10.601720966489736,5.3467642997632965e-18,True,Better
f1,LogisticRegression (Balanced + STD),VotingClassifier (SMOTE + STD),0.029390930433459972,0.8333577053841771,0.4066491100227426,False,No Diff
f1,LogisticRegression (Balanced + STD),XGBClassifier (Balanced + MEC),0.1392170849867232,5.607567597982358,1.860567422146225e-07,True,Better
f1,LogisticRegression (Balanced + STD),XGBClassifier (Balanced + STD),-0.06754262772610631,-2.2962840555832353,0.023767420614320293,True,Worse
f1,LogisticRegression (Balanced + STD),XGBClassifier (Baseline),-0.01910547668267293,-0.5597421369503903,0.5769196118885629,False,No Diff
f1,LogisticRegression (Balanced + STD),XGBClassifier (Cost-sensitive + MEC),0.1784310133895513,7.255812451430377,9.072009267637905e-11,True,Better
f1,LogisticRegression (Balanced + STD),XGBClassifier (Cost-sensitive + STD),-0.014224778406770056,-0.5217367975655822,0.6030189250279103,False,No Diff
f1,LogisticRegression (Balanced + STD),XGBClassifier (SMOTE + MEC),0.08853908317101483,2.201762946358355,0.03000405686752719,True,Better
f1,LogisticRegression (Balanced + STD),XGBClassifier (SMOTE + STD),0.0031120594248133515,0.08786417766797171,0.9301621135906847,False,No Diff
f1,LogisticRegression (Baseline),LogisticRegression (Balanced + MEC),0.16306889119150653,4.514844310486131,1.7504027804619e-05,True,Better
f1,LogisticRegression (Baseline),LogisticRegression (Balanced + STD),-0.03030120992159452,-0.7094057165692265,0.4797401689961114,False,No Diff
f1,LogisticRegression (Baseline),LogisticRegression (Cost-sensitive + MEC),0.17399226083928188,4.875163313726583,4.145288422005752e-06,True,Better
f1,LogisticRegression (Baseline),LogisticRegression (Cost-sensitive + STD),0.017205059807799794,0.43601530084818496,0.6637749270171625,False,No Diff
f1,LogisticRegression (Baseline),LogisticRegression (SMOTE + MEC),0.15850550775281286,4.23332709180598,5.156441624195218e-05,True,Better
f1,LogisticRegression (Baseline),LogisticRegression (SMOTE + STD),-0.027324470826428304,-0.660024817401336,0.5107705777092499,False,No Diff
f1,LogisticRegression (Baseline),RandomForestClassifier (Balanced + MEC),0.19664756844985704,5.550353217371502,2.3892185906951874e-07,True,Better
f1,LogisticRegression (Baseline),RandomForestClassifier (Balanced + STD),-0.04044367440084512,-0.9028614530934127,0.368790974113557,False,No Diff
f1,LogisticRegression (Baseline),RandomForestClassifier (Baseline),0.2781771579515787,5.433386164703514,3.9687275329212315e-07,True,Better
f1,LogisticRegression (Baseline),RandomForestClassifier (Cost-sensitive + MEC),0.1966475684498571,5.55755908642424,2.3152911316452238e-07,True,Better
f1,LogisticRegression (Baseline),RandomForestClassifier (Cost-sensitive + STD),0.07179857324456063,1.8255796358850425,0.07092832931075677,False,No Diff
f1,LogisticRegression (Baseline),RandomForestClassifier (SMOTE + MEC),0.19664756844985715,5.564345619239234,2.2477194205722692e-07,True,Better
f1,LogisticRegression (Baseline),RandomForestClassifier (SMOTE + STD),0.01163231717710067,0.2466075191140921,0.8057226126506813,False,No Diff
f1,LogisticRegression (Baseline),StackingClassifier (Balanced + MEC),0.19520962696531252,5.506871079047785,2.8870075602859713e-07,True,Better
f1,LogisticRegression (Baseline),StackingClassifier (Balanced + STD),-0.07324893198025656,-1.8021135100774492,0.07457082817866621,False,No Diff
f1,LogisticRegression (Baseline),StackingClassifier (Baseline),-0.04112090162752807,-0.9020739536851498,0.36920705990263003,False,No Diff
f1,LogisticRegression (Baseline),StackingClassifier (Cost-sensitive + MEC),0.1966475684498571,5.565164246799635,2.2397004442205046e-07,True,Better
f1,LogisticRegression (Baseline),StackingClassifier (Cost-sensitive + STD),-0.027031729559861717,-0.6706383678713339,0.5040124763596296,False,No Diff
f1,LogisticRegression (Baseline),StackingClassifier (SMOTE + MEC),0.04235652307209137,1.0134628518563458,0.31330964024509356,False,No Diff
f1,LogisticRegression (Baseline),StackingClassifier (SMOTE + STD),-0.09209659306591061,-1.8898201016216303,0.06170752407674587,False,No Diff
f1,LogisticRegression (Baseline),VotingClassifier (Balanced + MEC),0.1950881363203828,5.5595807000674275,2.294956812097133e-07,True,Better
f1,LogisticRegression (Baseline),VotingClassifier (Balanced + STD),-0.036814166320101205,-0.8135717317955832,0.4178427690766944,False,No Diff
f1,LogisticRegression (Baseline),VotingClassifier (Baseline),0.04370576555510186,0.6753980083493559,0.5009974383976048,False,No Diff
f1,LogisticRegression (Baseline),VotingClassifier (Cost-sensitive + MEC),0.1963034957298197,5.540018148481798,2.499305564552917e-07,True,Better
f1,LogisticRegression (Baseline),VotingClassifier (Cost-sensitive + STD),0.06523175549677068,1.414757475986807,0.16027724499515292,False,No Diff
f1,LogisticRegression (Baseline),VotingClassifier (SMOTE + MEC),0.19209607132001594,5.354312588943847,5.576471911333025e-07,True,Better
f1,LogisticRegression (Baseline),VotingClassifier (SMOTE + STD),-0.0009102794881345466,-0.02048071002785201,0.9837011216481404,False,No Diff
f1,LogisticRegression (Baseline),XGBClassifier (Balanced + MEC),0.10891587506512868,2.74503995369062,0.007185975481058873,True,Better
f1,LogisticRegression (Baseline),XGBClassifier (Balanced + STD),-0.09784383764770083,-2.506380541334778,0.013826513172293704,True,Worse
f1,LogisticRegression (Baseline),XGBClassifier (Baseline),-0.04940668660426745,-1.0025878552266203,0.31850401459059213,False,No Diff
f1,LogisticRegression (Baseline),XGBClassifier (Cost-sensitive + MEC),0.1481298034679568,4.168895586785306,6.564162972915351e-05,True,Better
f1,LogisticRegression (Baseline),XGBClassifier (Cost-sensitive + STD),-0.044525988328364574,-1.1328195041898723,0.2600261605944654,False,No Diff
f1,LogisticRegression (Baseline),XGBClassifier (SMOTE + MEC),0.05823787324942031,1.3044980264383363,0.19508831922072664,False,No Diff
f1,LogisticRegression (Baseline),XGBClassifier (SMOTE + STD),-0.027189150496781167,-0.5299814951675741,0.5973113979926719,False,No Diff
f1,LogisticRegression (Cost-sensitive + MEC),LogisticRegression (Balanced + MEC),-0.01092336964777535,-1.1287395406846588,0.2617355179839166,False,No Diff
f1,LogisticRegression (Cost-sensitive + MEC),LogisticRegression (Balanced + STD),-0.2042934707608764,-9.665268859855102,5.879402510206985e-16,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),LogisticRegression (Baseline),-0.17399226083928188,-4.875163313726583,4.145288422005752e-06,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),LogisticRegression (Cost-sensitive + STD),-0.15678720103148208,-9.014994212206592,1.5369043282322615e-14,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),LogisticRegression (SMOTE + MEC),-0.015486753086469018,-1.4765832621961157,0.1429612776882332,False,No Diff
f1,LogisticRegression (Cost-sensitive + MEC),LogisticRegression (SMOTE + STD),-0.20131673166571018,-10.966586191227059,8.626409651652752e-19,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),RandomForestClassifier (Balanced + MEC),0.02265530761057516,4.084744491762865,8.966142581354684e-05,True,Better
f1,LogisticRegression (Cost-sensitive + MEC),RandomForestClassifier (Balanced + STD),-0.214435935240127,-9.644517269368258,6.525451909425601e-16,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),RandomForestClassifier (Baseline),0.10418489711229684,2.63883764960192,0.00966420481188861,True,Better
f1,LogisticRegression (Cost-sensitive + MEC),RandomForestClassifier (Cost-sensitive + MEC),0.022655307610575215,4.162811261658237,6.7147180238548e-05,True,Better
f1,LogisticRegression (Cost-sensitive + MEC),RandomForestClassifier (Cost-sensitive + STD),-0.10219368759472125,-5.484260993081708,3.1846766591482387e-07,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),RandomForestClassifier (SMOTE + MEC),0.02265530761057527,4.126233551755575,7.692164059961166e-05,True,Better
f1,LogisticRegression (Cost-sensitive + MEC),RandomForestClassifier (SMOTE + STD),-0.1623599436621812,-5.5948471397600334,1.9671505620317066e-07,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),StackingClassifier (Balanced + MEC),0.021217366126030646,3.6792539162004365,0.00038067383693166047,True,Better
f1,LogisticRegression (Cost-sensitive + MEC),StackingClassifier (Balanced + STD),-0.24724119281953844,-11.66620684133687,2.6640983184457087e-20,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),StackingClassifier (Baseline),-0.21511316246680995,-7.102367512446719,1.8971485956553103e-10,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),StackingClassifier (Cost-sensitive + MEC),0.022655307610575215,4.126092992987899,7.696171254217763e-05,True,Better
f1,LogisticRegression (Cost-sensitive + MEC),StackingClassifier (Cost-sensitive + STD),-0.2010239903991436,-10.710716520091783,3.0985243801103684e-18,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),StackingClassifier (SMOTE + MEC),-0.1316357377671905,-7.33606234321864,6.157366258100213e-11,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),StackingClassifier (SMOTE + STD),-0.2660888539051925,-10.04553662249894,8.703259389131501e-17,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),VotingClassifier (Balanced + MEC),0.021095875481100923,3.672996490544599,0.0003889665689711258,True,Better
f1,LogisticRegression (Cost-sensitive + MEC),VotingClassifier (Balanced + STD),-0.21080642715938308,-7.9520885790631874,3.03959756715803e-12,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),VotingClassifier (Baseline),-0.13028649528418002,-2.761942511426217,0.006849889126318249,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),VotingClassifier (Cost-sensitive + MEC),0.022311234890537823,3.988170865147964,0.00012761718278568097,True,Better
f1,LogisticRegression (Cost-sensitive + MEC),VotingClassifier (Cost-sensitive + STD),-0.1087605053425112,-3.8787194755679515,0.0001891745783843789,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),VotingClassifier (SMOTE + MEC),0.01810381048073406,2.9740196412125655,0.0036920666080495963,True,Better
f1,LogisticRegression (Cost-sensitive + MEC),VotingClassifier (SMOTE + STD),-0.17490254032741642,-6.674957990748908,1.443857127369758e-09,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),XGBClassifier (Balanced + MEC),-0.0650763857741532,-4.561316322004198,1.4587711018736123e-05,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),XGBClassifier (Balanced + STD),-0.2718360984869827,-12.679290014493173,1.8486801912630868e-22,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),XGBClassifier (Baseline),-0.22339894744354932,-7.973172483755653,2.7396956790580193e-12,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),XGBClassifier (Cost-sensitive + MEC),-0.025862457371325087,-1.6503516651762642,0.10204021972402624,False,No Diff
f1,LogisticRegression (Cost-sensitive + MEC),XGBClassifier (Cost-sensitive + STD),-0.21851824916764645,-10.936031747562943,1.0047825435081978e-18,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),XGBClassifier (SMOTE + MEC),-0.11575438758986156,-3.589119538192182,0.0005180388047988082,True,Worse
f1,LogisticRegression (Cost-sensitive + MEC),XGBClassifier (SMOTE + STD),-0.20118141133606304,-6.270506062760047,9.466355520999835e-09,True,Worse
f1,LogisticRegression (Cost-sensitive + STD),LogisticRegression (Balanced + MEC),0.14586383138370673,7.798833242760796,6.4570005464962034e-12,True,Better
f1,LogisticRegression (Cost-sensitive + STD),LogisticRegression (Balanced + STD),-0.04750626972939431,-1.7012427416013334,0.09203631085303524,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),LogisticRegression (Baseline),-0.017205059807799794,-0.43601530084818496,0.6637749270171625,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),LogisticRegression (Cost-sensitive + MEC),0.15678720103148208,9.014994212206592,1.5369043282322615e-14,True,Better
f1,LogisticRegression (Cost-sensitive + STD),LogisticRegression (SMOTE + MEC),0.14130044794501306,7.349608213032406,5.7668268983004206e-11,True,Better
f1,LogisticRegression (Cost-sensitive + STD),LogisticRegression (SMOTE + STD),-0.0445295306342281,-1.719086498222422,0.08872396196717827,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),RandomForestClassifier (Balanced + MEC),0.17944250864205724,10.494015937838558,9.170934696048421e-18,True,Better
f1,LogisticRegression (Cost-sensitive + STD),RandomForestClassifier (Balanced + STD),-0.057648734208644914,-1.9966498545733393,0.0486088563506884,True,Worse
f1,LogisticRegression (Cost-sensitive + STD),RandomForestClassifier (Baseline),0.2609720981437789,6.510095392764442,3.123464832885979e-09,True,Better
f1,LogisticRegression (Cost-sensitive + STD),RandomForestClassifier (Cost-sensitive + MEC),0.1794425086420573,10.438530836268113,1.2111392401572355e-17,True,Better
f1,LogisticRegression (Cost-sensitive + STD),RandomForestClassifier (Cost-sensitive + STD),0.05459351343676083,2.0378906090407463,0.04422822124660533,True,Better
f1,LogisticRegression (Cost-sensitive + STD),RandomForestClassifier (SMOTE + MEC),0.17944250864205735,10.395089633919971,1.505867055443777e-17,True,Better
f1,LogisticRegression (Cost-sensitive + STD),RandomForestClassifier (SMOTE + STD),-0.0055727426306991235,-0.17670741897291556,0.860099211304211,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),StackingClassifier (Balanced + MEC),0.17800456715751273,10.159248832020243,4.9171007756202914e-17,True,Better
f1,LogisticRegression (Cost-sensitive + STD),StackingClassifier (Balanced + STD),-0.09045399178805635,-3.1563878040305324,0.0021168750980657914,True,Worse
f1,LogisticRegression (Cost-sensitive + STD),StackingClassifier (Baseline),-0.05832596143532787,-1.682652844327992,0.09559373033897486,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),StackingClassifier (Cost-sensitive + MEC),0.1794425086420573,10.353839219457134,1.8519581766800746e-17,True,Better
f1,LogisticRegression (Cost-sensitive + STD),StackingClassifier (Cost-sensitive + STD),-0.04423678936766151,-1.7987719476070656,0.07510192358057163,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),StackingClassifier (SMOTE + MEC),0.025151463264291574,1.1283163247386718,0.26191328047281925,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),StackingClassifier (SMOTE + STD),-0.10930165287371041,-3.892037278285057,0.0001803940944950943,True,Worse
f1,LogisticRegression (Cost-sensitive + STD),VotingClassifier (Balanced + MEC),0.177883076512583,10.249926279676536,3.119208592264527e-17,True,Better
f1,LogisticRegression (Cost-sensitive + STD),VotingClassifier (Balanced + STD),-0.054019226127901,-1.684425171948588,0.09524982230033542,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),VotingClassifier (Baseline),0.026500705747302067,0.5061298713647595,0.6138907079698797,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),VotingClassifier (Cost-sensitive + MEC),0.1790984359220199,10.34104636635249,1.974688464410378e-17,True,Better
f1,LogisticRegression (Cost-sensitive + STD),VotingClassifier (Cost-sensitive + STD),0.04802669568897089,1.5217153242287478,0.13126817137092867,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),VotingClassifier (SMOTE + MEC),0.17489101151221614,9.716141048308513,4.553371434266342e-16,True,Better
f1,LogisticRegression (Cost-sensitive + STD),VotingClassifier (SMOTE + STD),-0.01811533929593434,-0.5566903177016922,0.5789952980353298,False,No Diff
f1,LogisticRegression (Cost-sensitive + STD),XGBClassifier (Balanced + MEC),0.09171081525732888,3.8951474555587104,0.0001784002996593419,True,Better
f1,LogisticRegression (Cost-sensitive + STD),XGBClassifier (Balanced + STD),-0.11504889745550062,-4.1175737932665255,7.942821700583022e-05,True,Worse
f1,LogisticRegression (Cost-sensitive + STD),XGBClassifier (Baseline),-0.06661174641206724,-2.0660950338610675,0.041430956183110414,True,Worse
f1,LogisticRegression (Cost-sensitive + STD),XGBClassifier (Cost-sensitive + MEC),0.130924743660157,5.681574821062816,1.3439865041884272e-07,True,Better
f1,LogisticRegression (Cost-sensitive + STD),XGBClassifier (Cost-sensitive + STD),-0.06173104813616437,-2.425504206481167,0.017098361164204295,True,Worse
f1,LogisticRegression (Cost-sensitive + STD),XGBClassifier (SMOTE + MEC),0.04103281344162052,1.133123929896298,0.2598989324369344,False,No Diff
