model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
LogisticRegression (Baseline),100.0,0.47201106216687877,0.10154256623010488,0.1269841269841269,0.4,0.48237367802585196,0.5465909090909091,0.6829268292682927
LogisticRegression (Cost-sensitive + Minimum Expected Cost),100.0,0.298018801327597,0.015499754020612719,0.2747252747252747,0.2868981846882399,0.2958579881656805,0.30722184352041204,0.3546099290780142
LogisticRegression (Cost-sensitive + Standard Threshold),100.0,0.454806002359079,0.049486493707407334,0.3043478260869565,0.4219298245614035,0.45346320346320346,0.4938997821350762,0.6
LogisticRegression (SMOTE + Minimum Expected Cost),100.0,0.31350555441406597,0.025057063378760708,0.2747252747252747,0.2954229028889662,0.3081671415004748,0.3289473684210526,0.396551724137931
LogisticRegression (SMOTE + Standard Threshold),100.0,0.49933553299330713,0.05246563119087739,0.3855421686746988,0.461018711018711,0.4931506849315068,0.5333333333333333,0.6060606060606061
RandomForestClassifier (Baseline),100.0,0.1938339042153002,0.11238194172275934,0.0,0.1383928571428571,0.2142857142857142,0.2758620689655172,0.4
RandomForestClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
RandomForestClassifier (Cost-sensitive + Standard Threshold),100.0,0.4002124889223183,0.052623329091771504,0.2857142857142857,0.35927483974358976,0.39819819819819824,0.4449838187702265,0.5054945054945055
RandomForestClassifier (SMOTE + Minimum Expected Cost),100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
RandomForestClassifier (SMOTE + Standard Threshold),100.0,0.46037874498977827,0.08291716786417648,0.0,0.4072504708097928,0.46291208791208793,0.5120109814687714,0.6153846153846154
StackingClassifier (Baseline),100.0,0.513131963794407,0.08423456446924989,0.303030303030303,0.4571428571428571,0.5122242098986285,0.5714285714285714,0.7142857142857143
StackingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.2753634937170218,0.002468565715332763,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
StackingClassifier (Cost-sensitive + Standard Threshold),100.0,0.4990427917267406,0.05149749289783351,0.3838383838383838,0.4638694638694638,0.5,0.5309236947791165,0.6133333333333333
StackingClassifier (SMOTE + Minimum Expected Cost),100.0,0.42965453909478746,0.04661706020921835,0.3410852713178294,0.3953203012608953,0.4210526315789473,0.4603846153846154,0.5901639344262295
StackingClassifier (SMOTE + Standard Threshold),100.0,0.5641076552327893,0.07704214209765348,0.3720930232558139,0.5,0.5714285714285714,0.6229166666666667,0.7169811320754716
VotingClassifier (Baseline),100.0,0.42830529661177713,0.1369721371339109,0.0,0.33108108108108103,0.4324324324324324,0.5405405405405406,0.7391304347826086
VotingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.27570756643705924,0.0032018188400639116,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2937853107344633
VotingClassifier (Cost-sensitive + Standard Threshold),100.0,0.4067793066701082,0.07845728556717617,0.2463768115942029,0.3518270944741533,0.419047619047619,0.4631578947368421,0.5822784810126582
VotingClassifier (SMOTE + Minimum Expected Cost),100.0,0.279914990846863,0.011941714227465946,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2823861748089066,0.3311258278145695
VotingClassifier (SMOTE + Standard Threshold),100.0,0.47292134165501354,0.07579207735544126,0.303030303030303,0.4225708502024291,0.4724075197089145,0.5244360902255639,0.6551724137931034
XGBClassifier (Baseline),100.0,0.5214177487711462,0.07986805571865119,0.2702702702702703,0.4604395604395604,0.5135531135531135,0.5853658536585366,0.7111111111111111
XGBClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.3238812586989221,0.03901476588276567,0.273224043715847,0.2906976744186046,0.3189578910120311,0.35915882678472605,0.417391304347826
XGBClassifier (Cost-sensitive + Standard Threshold),100.0,0.5165370504952435,0.05605991573629928,0.4,0.4773397199705232,0.516016016016016,0.5533625730994153,0.6567164179104478
XGBClassifier (SMOTE + Minimum Expected Cost),100.0,0.41377318891745857,0.09106030240700402,0.273224043715847,0.33727099582804276,0.4158805031446541,0.48950957251508,0.6470588235294118
XGBClassifier (SMOTE + Standard Threshold),100.0,0.49920021266366005,0.0913799553143994,0.2439024390243902,0.4363636363636363,0.4952830188679245,0.573015873015873,0.6956521739130435
