model,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max
LogisticRegression (Baseline),100.0,0.6125935718573345,0.13101204749307704,0.1052631578947368,0.5323529411764706,0.6190476190476191,0.6923076923076923,0.9090909090909092
LogisticRegression (Cost-sensitive + Minimum Expected Cost),100.0,0.17550545867309864,0.010946938597166162,0.1592356687898089,0.16777441004546434,0.1736111111111111,0.1819840743198407,0.2155172413793103
LogisticRegression (Cost-sensitive + Standard Threshold),100.0,0.3136428318907914,0.03979077509341079,0.208955223880597,0.2871819960861057,0.31400560224089635,0.3426702105908812,0.4363636363636363
LogisticRegression (SMOTE + Minimum Expected Cost),100.0,0.1867589493989755,0.01835029383984284,0.1592356687898089,0.17331178160919541,0.1824817518248175,0.1968503937007874,0.2527472527472527
LogisticRegression (SMOTE + Standard Threshold),100.0,0.381761355245117,0.04855503435665554,0.2758620689655172,0.3476042590949423,0.3801313628899835,0.4230769230769231,0.4878048780487805
RandomForestClassifier (Baseline),100.0,0.7944285714285714,0.328005804495966,0.0,0.6666666666666666,1.0,1.0,1.0
RandomForestClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
RandomForestClassifier (Cost-sensitive + Standard Threshold),100.0,0.25685814456946743,0.04383073119961355,0.1666666666666666,0.2222222222222222,0.2574186113511956,0.2943061840120663,0.35
RandomForestClassifier (SMOTE + Minimum Expected Cost),100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
RandomForestClassifier (SMOTE + Standard Threshold),100.0,0.4049607976483521,0.08525845999576377,0.0,0.3543643263757116,0.4,0.45892857142857135,0.6153846153846154
StackingClassifier (Baseline),100.0,0.744202772373825,0.11092315039240304,0.4117647058823529,0.6666666666666666,0.7416666666666667,0.8045454545454546,1.0
StackingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
StackingClassifier (Cost-sensitive + Standard Threshold),100.0,0.3570345913667216,0.04772895310455869,0.2567567567567567,0.3181818181818182,0.35889929742388754,0.39019896831245393,0.4693877551020408
StackingClassifier (SMOTE + Minimum Expected Cost),100.0,0.28452883666376344,0.04442452836071345,0.2115384615384615,0.2528130671506352,0.2763157894736842,0.3053252032520325,0.5
StackingClassifier (SMOTE + Standard Threshold),100.0,0.5746042095871172,0.08375713082697776,0.3529411764705882,0.5185185185185185,0.5714285714285714,0.635,0.75
VotingClassifier (Baseline),100.0,0.7014429772863948,0.15306311628010247,0.0,0.6143162393162394,0.6923076923076923,0.7797619047619048,1.0
VotingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.15990004107514166,0.0021656110170826578,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1721854304635761
VotingClassifier (Cost-sensitive + Standard Threshold),100.0,0.2719784065390589,0.06896115645546436,0.1476510067114094,0.2173746813933729,0.28291753291753285,0.3172101449275362,0.4259259259259259
VotingClassifier (SMOTE + Minimum Expected Cost),100.0,0.162839753671113,0.00831174866517396,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.16449450366422383,0.1984126984126984
VotingClassifier (SMOTE + Standard Threshold),100.0,0.40796564809351304,0.11088833092673946,0.1900826446280991,0.3223076923076923,0.40212765957446805,0.4666666666666667,0.7692307692307693
XGBClassifier (Baseline),100.0,0.6896005694530565,0.10381768723303836,0.4166666666666667,0.6143162393162394,0.6923076923076923,0.75,1.0
XGBClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.19474880157136545,0.028915480142610844,0.1582278481012658,0.1700680272108843,0.19125318066157754,0.221077935222672,0.2666666666666666
XGBClassifier (Cost-sensitive + Standard Threshold),100.0,0.3878206125208401,0.060645404813779086,0.273972602739726,0.33914170506912444,0.38686000716075897,0.4251329787234043,0.5555555555555556
XGBClassifier (SMOTE + Minimum Expected Cost),100.0,0.2768024605575144,0.08365847411270591,0.1582278481012658,0.2028422501966955,0.27664753955833765,0.34542624521072796,0.5116279069767442
XGBClassifier (SMOTE + Standard Threshold),100.0,0.5669165037044293,0.14582344618677567,0.25,0.4635989010989011,0.5669642857142857,0.6704545454545454,0.9090909090909092
