model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
LogisticRegression (Baseline),100.0,0.8240910589410589,0.06389017017254053,0.4569924812030075,0.7998484848484848,0.8340734265734266,0.8669924812030075,0.9193939393939394
LogisticRegression (Cost-sensitive + Minimum Expected Cost),100.0,0.838180745570219,0.04627762556178634,0.7175757575757575,0.8143181818181818,0.845434039644566,0.8699096736596736,0.9227272727272728
LogisticRegression (Cost-sensitive + Standard Threshold),100.0,0.8372360542965807,0.044871082209013376,0.7033799533799534,0.8104545454545454,0.8428787878787878,0.8640821678321678,0.9366666666666668
LogisticRegression (SMOTE + Minimum Expected Cost),100.0,0.8321667096061833,0.0465778659848524,0.7209090909090909,0.7927272727272727,0.8333333333333334,0.868345864661654,0.9290909090909092
LogisticRegression (SMOTE + Standard Threshold),100.0,0.8330362006414638,0.04649943285942482,0.7025058275058276,0.8012121212121213,0.8322727272727273,0.8669172932330828,0.9354545454545456
RandomForestClassifier (Baseline),100.0,0.789018655905498,0.08094135404832391,0.5,0.7481060606060607,0.8018181818181818,0.843409090909091,0.935897435897436
RandomForestClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.8431302706065864,0.04226587124158028,0.6622556390977444,0.8187878787878788,0.8493939393939394,0.866993006993007,0.932983682983683
RandomForestClassifier (Cost-sensitive + Standard Threshold),100.0,0.8424284811679549,0.0412878135174043,0.7217365967365968,0.8135606060606061,0.8483333333333334,0.8683566433566433,0.9254545454545456
RandomForestClassifier (SMOTE + Minimum Expected Cost),100.0,0.790784381846224,0.049162665892233705,0.6654545454545455,0.756284965034965,0.7953030303030303,0.8226076555023923,0.9084848484848485
RandomForestClassifier (SMOTE + Standard Threshold),100.0,0.7908413582032003,0.05491411720437461,0.5,0.7584090909090909,0.7962121212121211,0.8240601503759398,0.9075757575757576
StackingClassifier (Baseline),100.0,0.8692765707976234,0.03469158759887508,0.7674825174825174,0.8498397435897436,0.8722989291410344,0.8898484848484849,0.9387878787878788
StackingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.868721173563279,0.03700352317521273,0.7628205128205129,0.8470003023292496,0.8704545454545454,0.8975757575757575,0.9469696969696968
StackingClassifier (Cost-sensitive + Standard Threshold),100.0,0.869695922498554,0.03893847149173461,0.74504662004662,0.8434090909090909,0.8745454545454545,0.8976136363636363,0.9424242424242424
StackingClassifier (SMOTE + Minimum Expected Cost),100.0,0.8615010743642324,0.04120097594167498,0.7424242424242425,0.8387878787878789,0.865,0.8881818181818181,0.937878787878788
StackingClassifier (SMOTE + Standard Threshold),100.0,0.8639147168620853,0.03831972028640017,0.7424242424242424,0.8392628205128205,0.8660606060606061,0.8891287878787879,0.942121212121212
VotingClassifier (Baseline),100.0,0.8556649753755019,0.039367215935669525,0.7581954887218045,0.8298484848484848,0.8627067669172932,0.8784951013898382,0.948181818181818
VotingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.8421257514415409,0.0460924910739542,0.6854545454545455,0.8090151515151516,0.845,0.8765151515151515,0.923030303030303
VotingClassifier (Cost-sensitive + Standard Threshold),100.0,0.8385815798236851,0.047223242797792775,0.6854545454545455,0.8140151515151516,0.8448484848484847,0.8711363636363637,0.9136363636363636
VotingClassifier (SMOTE + Minimum Expected Cost),100.0,0.8443375738296791,0.04102369036930875,0.7236363636363636,0.8155332167832168,0.8498251748251748,0.8731249671381249,0.94
VotingClassifier (SMOTE + Standard Threshold),100.0,0.8420245692903586,0.041371710354379435,0.7121212121212122,0.8149096736596737,0.8437529137529138,0.8762183868762816,0.9287878787878788
XGBClassifier (Baseline),100.0,0.8657038522880629,0.036839519154091574,0.7496969696969698,0.8445454545454546,0.8648484848484849,0.8959848484848485,0.9212121212121211
XGBClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.8639434092223566,0.03799278964047622,0.7322261072261073,0.8387878787878787,0.8696969696969697,0.8884090909090909,0.932121212121212
XGBClassifier (Cost-sensitive + Standard Threshold),100.0,0.8631003408871831,0.03608046926527803,0.7473776223776224,0.8359848484848484,0.8652680652680653,0.8883333333333333,0.9336363636363636
XGBClassifier (SMOTE + Minimum Expected Cost),100.0,0.8333937575582314,0.05807620804521761,0.6357894736842105,0.8046853146853147,0.8409090909090909,0.876439393939394,0.9454545454545454
XGBClassifier (SMOTE + Standard Threshold),100.0,0.8321682567432567,0.05654726001449041,0.6263636363636363,0.7957575757575758,0.8418181818181818,0.8721037296037296,0.93
