Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,DESKL (Cost-sensitive + STD),LogisticRegression (Baseline),-0.4242896879787148,-5.790379625649088,8.302542546159162e-08,True,Worse
average_cost,DESKL (Cost-sensitive + STD),LogisticRegression (Cost-sensitive + STD),0.02764049020398296,0.5095653653825994,0.6114900184175238,False,No Diff
average_cost,DESKL (Cost-sensitive + STD),RandomForestClassifier (Cost-sensitive + STD),0.030998951866483937,0.5652868633936144,0.5731575193642879,False,No Diff
average_cost,DESKL (Cost-sensitive + STD),StackingClassifier (Balanced + STD),0.03620535354349763,0.5739850681987433,0.5672797073472342,False,No Diff
average_cost,DESKL (Cost-sensitive + STD),StackingClassifier (Cost-sensitive + STD),0.08477062001128777,1.3873864187862732,0.16843921486564783,False,No Diff
average_cost,DESKL (Cost-sensitive + STD),StackingClassifier (SMOTE + MEC),0.05561356123518513,0.9186513367886987,0.36051076111030467,False,No Diff
average_cost,DESKL (Cost-sensitive + STD),XGBClassifier (Balanced + MEC),-0.010740546641941351,-0.19647557518932612,0.8446407112880399,False,No Diff
average_cost,DESKL (Cost-sensitive + STD),XGBClassifier (Balanced + STD),-0.009574699669434694,-0.1441619399305364,0.8856656516786685,False,No Diff
average_cost,DESKL (Cost-sensitive + STD),XGBClassifier (Cost-sensitive + STD),0.05052809804079672,0.7416885185494496,0.4600319775262268,False,No Diff
average_cost,DESKL (Cost-sensitive + STD),XGBClassifier (SMOTE + MEC),-0.003861565750221785,-0.05316298501604233,0.9577091771920585,False,No Diff
average_cost,LogisticRegression (Baseline),DESKL (Cost-sensitive + STD),0.4242896879787148,5.790379625649088,8.302542546159162e-08,True,Better
average_cost,LogisticRegression (Baseline),LogisticRegression (Cost-sensitive + STD),0.45193017818269776,5.730495615313149,1.0828347776790169e-07,True,Better
average_cost,LogisticRegression (Baseline),RandomForestClassifier (Cost-sensitive + STD),0.45528863984519874,6.816500166726304,7.405525754261813e-10,True,Better
average_cost,LogisticRegression (Baseline),StackingClassifier (Balanced + STD),0.46049504152221243,6.242667854896688,1.0756944212550698e-08,True,Better
average_cost,LogisticRegression (Baseline),StackingClassifier (Cost-sensitive + STD),0.5090603079900026,7.245038571585262,9.555681185269197e-11,True,Better
average_cost,LogisticRegression (Baseline),StackingClassifier (SMOTE + MEC),0.47990324921389993,8.154865713474324,1.1169346707179538e-12,True,Better
average_cost,LogisticRegression (Baseline),XGBClassifier (Balanced + MEC),0.41354914133677345,6.709180901326262,1.2291350919620226e-09,True,Better
average_cost,LogisticRegression (Baseline),XGBClassifier (Balanced + STD),0.4147149883092801,5.669289812517533,1.418733508056565e-07,True,Better
average_cost,LogisticRegression (Baseline),XGBClassifier (Cost-sensitive + STD),0.4748177860195115,6.322410007422017,7.454843428868689e-09,True,Better
average_cost,LogisticRegression (Baseline),XGBClassifier (SMOTE + MEC),0.420428122228493,5.152739898855927,1.3121851576577183e-06,True,Better
average_cost,LogisticRegression (Cost-sensitive + STD),DESKL (Cost-sensitive + STD),-0.02764049020398296,-0.5095653653825994,0.6114900184175238,False,No Diff
average_cost,LogisticRegression (Cost-sensitive + STD),LogisticRegression (Baseline),-0.45193017818269776,-5.730495615313149,1.0828347776790169e-07,True,Worse
average_cost,LogisticRegression (Cost-sensitive + STD),RandomForestClassifier (Cost-sensitive + STD),0.0033584616625009778,0.05399729488014853,0.9570461351581184,False,No Diff
average_cost,LogisticRegression (Cost-sensitive + STD),StackingClassifier (Balanced + STD),0.008564863339514672,0.12153513647851819,0.9035135324190551,False,No Diff
average_cost,LogisticRegression (Cost-sensitive + STD),StackingClassifier (Cost-sensitive + STD),0.05713012980730481,0.9049466420735282,0.3676906677796544,False,No Diff
average_cost,LogisticRegression (Cost-sensitive + STD),StackingClassifier (SMOTE + MEC),0.027973071031202168,0.4346835043182549,0.6647382003467257,False,No Diff
average_cost,LogisticRegression (Cost-sensitive + STD),XGBClassifier (Balanced + MEC),-0.03838103684592431,-0.757390673884575,0.4506147862150297,False,No Diff
average_cost,LogisticRegression (Cost-sensitive + STD),XGBClassifier (Balanced + STD),-0.03721518987341765,-0.5246483198547666,0.6010005306785098,False,No Diff
average_cost,LogisticRegression (Cost-sensitive + STD),XGBClassifier (Cost-sensitive + STD),0.02288760783681376,0.3332300647099579,0.7396653216587259,False,No Diff
average_cost,LogisticRegression (Cost-sensitive + STD),XGBClassifier (SMOTE + MEC),-0.031502055954204744,-0.45747272257662797,0.6483336842157077,False,No Diff
average_cost,RandomForestClassifier (Cost-sensitive + STD),DESKL (Cost-sensitive + STD),-0.030998951866483937,-0.5652868633936144,0.5731575193642879,False,No Diff
average_cost,RandomForestClassifier (Cost-sensitive + STD),LogisticRegression (Baseline),-0.45528863984519874,-6.816500166726304,7.405525754261813e-10,True,Worse
average_cost,RandomForestClassifier (Cost-sensitive + STD),LogisticRegression (Cost-sensitive + STD),-0.0033584616625009778,-0.05399729488014853,0.9570461351581184,False,No Diff
average_cost,RandomForestClassifier (Cost-sensitive + STD),StackingClassifier (Balanced + STD),0.0052064016770136945,0.0873104692872693,0.9306010906784543,False,No Diff
average_cost,RandomForestClassifier (Cost-sensitive + STD),StackingClassifier (Cost-sensitive + STD),0.05377166814480383,0.9913812705703314,0.3239163420818121,False,No Diff
