Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
accuracy,DESKL,DecisionTreeClassifier,-0.07125735709102637,-0.9234913246076776,0.3579965726891694,False,No Diff
accuracy,DESKL,Exponential,-0.010105216479883827,-0.2575848612109265,0.7972619701085726,False,No Diff
accuracy,DESKL,KNORAE,-0.062433282270418444,-1.3301549390718928,0.18652343155238257,False,No Diff
accuracy,DESKL,LogisticRegression,-0.4823204063533014,-13.663502158916419,1.6225612975661197e-24,True,Worse
accuracy,DESKL,METADES,-0.04035999354994757,-0.9256185135268,0.3568951311289543,False,No Diff
accuracy,DESKL,MLA,-0.11033338708377,-2.21700406238031,0.028910728405368288,True,Worse
accuracy,DESKL,RandomForestClassifier,0.00047972264774653883,0.011904925439135891,0.9905254259469918,False,No Diff
accuracy,DESKL,SGDClassifier,-0.6055599451745544,-17.14952681967265,2.0906983304754997e-31,True,Worse
accuracy,DESKL,StackingClassifier,-0.5207554623881321,-14.959693821733525,3.740404968920791e-27,True,Worse
accuracy,DESKL,VotingClassifier,-0.5094356204144158,-15.819837994072884,7.436079942397715e-29,True,Worse
accuracy,DESKL,XGBClassifier,-0.555591389180037,-18.491433337703743,6.990339269084595e-34,True,Worse
accuracy,DecisionTreeClassifier,DESKL,0.07125735709102637,0.9234913246076776,0.3579965726891694,False,No Diff
accuracy,DecisionTreeClassifier,Exponential,0.06115214061114255,0.8020641450018167,0.4244369587242246,False,No Diff
accuracy,DecisionTreeClassifier,KNORAE,0.00882407482060793,0.10642901103062023,0.9154573422931286,False,No Diff
accuracy,DecisionTreeClassifier,LogisticRegression,-0.41106304926227505,-5.516823053941868,2.764796658952216e-07,True,Worse
accuracy,DecisionTreeClassifier,METADES,0.030897363541078804,0.3807065958412632,0.7042366563527154,False,No Diff
accuracy,DecisionTreeClassifier,MLA,-0.03907602999274362,-0.4070859940658916,0.6848236594438523,False,No Diff
accuracy,DecisionTreeClassifier,RandomForestClassifier,0.07173707973877291,0.9292655491520299,0.3550117740989973,False,No Diff
accuracy,DecisionTreeClassifier,SGDClassifier,-0.5343025880835279,-7.094612730918383,1.9689825319833835e-10,True,Worse
accuracy,DecisionTreeClassifier,StackingClassifier,-0.4494981052971057,-5.718767205257104,1.1404887829294478e-07,True,Worse
accuracy,DecisionTreeClassifier,VotingClassifier,-0.43817826332338944,-5.828233546717991,7.014902535291186e-08,True,Worse
accuracy,DecisionTreeClassifier,XGBClassifier,-0.48433403208901066,-6.606361717056145,1.9921082629966125e-09,True,Worse
accuracy,Exponential,DESKL,0.010105216479883827,0.2575848612109265,0.7972619701085726,False,No Diff
accuracy,Exponential,DecisionTreeClassifier,-0.06115214061114255,-0.8020641450018167,0.4244369587242246,False,No Diff
accuracy,Exponential,KNORAE,-0.05232806579053462,-1.10999512234283,0.2696899940559626,False,No Diff
accuracy,Exponential,LogisticRegression,-0.4722151898734176,-12.8356121472132,8.65637215453434e-23,True,Worse
accuracy,Exponential,METADES,-0.030254777070063743,-0.8579499504749958,0.3929924259484183,False,No Diff
accuracy,Exponential,MLA,-0.10022817060388617,-1.6685601678730633,0.09836437491600583,False,No Diff
accuracy,Exponential,RandomForestClassifier,0.010584939127630366,0.2736449202141599,0.7849276023080258,False,No Diff
accuracy,Exponential,SGDClassifier,-0.5954547286946705,-15.464970959709301,3.702811838317296e-28,True,Worse
accuracy,Exponential,StackingClassifier,-0.5106502459082483,-15.17873341063257,1.3672198573745924e-27,True,Worse
accuracy,Exponential,VotingClassifier,-0.499330403934532,-13.225688048269413,1.3172746833166813e-23,True,Worse
accuracy,Exponential,XGBClassifier,-0.5454861727001532,-16.462730723107878,4.224621446766449e-30,True,Worse
accuracy,KNORAE,DESKL,0.062433282270418444,1.3301549390718928,0.18652343155238257,False,No Diff
accuracy,KNORAE,DecisionTreeClassifier,-0.00882407482060793,-0.10642901103062023,0.9154573422931286,False,No Diff
accuracy,KNORAE,Exponential,0.05232806579053462,1.10999512234283,0.2696899940559626,False,No Diff
accuracy,KNORAE,LogisticRegression,-0.419887124082883,-9.034971193212803,1.3905413498724497e-14,True,Worse
accuracy,KNORAE,METADES,0.022073288720470874,0.3907090204802777,0.696851831640501,False,No Diff
accuracy,KNORAE,MLA,-0.04790010481335155,-0.758577361805674,0.44990761556418435,False,No Diff
accuracy,KNORAE,RandomForestClassifier,0.06291300491816498,1.3209902358840717,0.1895498608428294,False,No Diff
accuracy,KNORAE,SGDClassifier,-0.5431266629041359,-11.731043453704368,1.9333235960632882e-20,True,Worse
accuracy,KNORAE,StackingClassifier,-0.45832218011771364,-9.864121343505008,2.1649413552370243e-16,True,Worse
accuracy,KNORAE,VotingClassifier,-0.44700233814399737,-9.670976246869996,5.713210418327585e-16,True,Worse
accuracy,KNORAE,XGBClassifier,-0.4931581069096186,-11.212671176999086,2.529951471574528e-19,True,Worse
accuracy,LogisticRegression,DESKL,0.4823204063533014,13.663502158916419,1.6225612975661197e-24,True,Better
accuracy,LogisticRegression,DecisionTreeClassifier,0.41106304926227505,5.516823053941868,2.764796658952216e-07,True,Better
accuracy,LogisticRegression,Exponential,0.4722151898734176,12.8356121472132,8.65637215453434e-23,True,Better
accuracy,LogisticRegression,KNORAE,0.419887124082883,9.034971193212803,1.3905413498724497e-14,True,Better
accuracy,LogisticRegression,METADES,0.44196041280335385,9.731039800711109,4.224976617228175e-16,True,Better
accuracy,LogisticRegression,MLA,0.3719870192695314,6.91019733972937,4.748143152984612e-10,True,Better
accuracy,LogisticRegression,RandomForestClassifier,0.48280012900104796,12.823364575988315,9.185786451967764e-23,True,Better
accuracy,LogisticRegression,SGDClassifier,-0.12323953882125294,-3.715070578207875,0.00033634372014198203,True,Worse
accuracy,LogisticRegression,StackingClassifier,-0.03843505603483066,-1.3335228603403737,0.1854204086218552,False,No Diff
accuracy,LogisticRegression,VotingClassifier,-0.02711521406111439,-0.8249033853466353,0.41140964143521164,False,No Diff
accuracy,LogisticRegression,XGBClassifier,-0.07327098282673561,-2.7100863983418617,0.007929097089602306,True,Worse
accuracy,METADES,DESKL,0.04035999354994757,0.9256185135268,0.3568951311289543,False,No Diff
accuracy,METADES,DecisionTreeClassifier,-0.030897363541078804,-0.3807065958412632,0.7042366563527154,False,No Diff
accuracy,METADES,Exponential,0.030254777070063743,0.8579499504749958,0.3929924259484183,False,No Diff
accuracy,METADES,KNORAE,-0.022073288720470874,-0.3907090204802777,0.696851831640501,False,No Diff
accuracy,METADES,LogisticRegression,-0.44196041280335385,-9.731039800711109,4.224976617228175e-16,True,Worse
accuracy,METADES,MLA,-0.06997339353382243,-1.1737404845374981,0.24331497317440234,False,No Diff
accuracy,METADES,RandomForestClassifier,0.04083971619769411,0.9218633892702272,0.35884096990105174,False,No Diff
accuracy,METADES,SGDClassifier,-0.5651999516246068,-12.9159177799342,5.867550255922577e-23,True,Worse
accuracy,METADES,StackingClassifier,-0.4803954688381845,-11.23003781053872,2.3204595374672603e-19,True,Worse
accuracy,METADES,VotingClassifier,-0.46907562686446824,-10.586446565973159,5.771794360183912e-18,True,Worse
accuracy,METADES,XGBClassifier,-0.5152313956300895,-13.025445755709926,3.456018026808264e-23,True,Worse
accuracy,MLA,DESKL,0.11033338708377,2.21700406238031,0.028910728405368288,True,Better
accuracy,MLA,DecisionTreeClassifier,0.03907602999274362,0.4070859940658916,0.6848236594438523,False,No Diff
accuracy,MLA,Exponential,0.10022817060388617,1.6685601678730633,0.09836437491600583,False,No Diff
accuracy,MLA,KNORAE,0.04790010481335155,0.758577361805674,0.44990761556418435,False,No Diff
accuracy,MLA,LogisticRegression,-0.3719870192695314,-6.91019733972937,4.748143152984612e-10,True,Worse
accuracy,MLA,METADES,0.06997339353382243,1.1737404845374981,0.24331497317440234,False,No Diff
accuracy,MLA,RandomForestClassifier,0.11081310973151653,1.8508976119250082,0.06716572084951614,False,No Diff
accuracy,MLA,SGDClassifier,-0.49522655809078436,-8.957328868856038,2.05146863169045e-14,True,Worse
accuracy,MLA,StackingClassifier,-0.4104220753043621,-7.394067317591937,4.649847728838547e-11,True,Worse
accuracy,MLA,VotingClassifier,-0.3991022333306458,-7.592961825428104,1.7678720223050504e-11,True,Worse
accuracy,MLA,XGBClassifier,-0.44525800209626704,-8.606203318673016,1.1860893508275402e-13,True,Worse
accuracy,RandomForestClassifier,DESKL,-0.00047972264774653883,-0.011904925439135891,0.9905254259469918,False,No Diff
accuracy,RandomForestClassifier,DecisionTreeClassifier,-0.07173707973877291,-0.9292655491520299,0.3550117740989973,False,No Diff
accuracy,RandomForestClassifier,Exponential,-0.010584939127630366,-0.2736449202141599,0.7849276023080258,False,No Diff
accuracy,RandomForestClassifier,KNORAE,-0.06291300491816498,-1.3209902358840717,0.1895498608428294,False,No Diff
accuracy,RandomForestClassifier,LogisticRegression,-0.48280012900104796,-12.823364575988315,9.185786451967764e-23,True,Worse
accuracy,RandomForestClassifier,METADES,-0.04083971619769411,-0.9218633892702272,0.35884096990105174,False,No Diff
accuracy,RandomForestClassifier,MLA,-0.11081310973151653,-1.8508976119250082,0.06716572084951614,False,No Diff
accuracy,RandomForestClassifier,SGDClassifier,-0.6060396678223009,-16.914770327001094,5.8023147921094325e-31,True,Worse
accuracy,RandomForestClassifier,StackingClassifier,-0.5212351850358786,-16.307298316304,8.411014265943383e-30,True,Worse
accuracy,RandomForestClassifier,VotingClassifier,-0.5099153430621624,-16.121943916222538,1.9196215110595468e-29,True,Worse
accuracy,RandomForestClassifier,XGBClassifier,-0.5560711118277836,-18.40824539899181,9.888026620975167e-34,True,Worse
accuracy,SGDClassifier,DESKL,0.6055599451745544,17.14952681967265,2.0906983304754997e-31,True,Better
accuracy,SGDClassifier,DecisionTreeClassifier,0.5343025880835279,7.094612730918383,1.9689825319833835e-10,True,Better
accuracy,SGDClassifier,Exponential,0.5954547286946705,15.464970959709301,3.702811838317296e-28,True,Better
accuracy,SGDClassifier,KNORAE,0.5431266629041359,11.731043453704368,1.9333235960632882e-20,True,Better
