model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max
DESKL,100.0,0.20896033217769894,0.07982578174945411,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.24522292993630568,0.4394904458598726
DecisionTreeClassifier,100.0,0.2802176892687253,0.2045462260628395,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.5008264129646054,0.7961783439490446
Exponential,100.0,0.21906554865758282,0.08075105709774817,0.1528662420382165,0.1592356687898089,0.1783439490445859,0.2484076433121019,0.4620253164556962
KNORAE,100.0,0.2713936144481173,0.11539955006078573,0.1464968152866242,0.1719745222929936,0.2165605095541401,0.3694267515923566,0.5506329113924051
LogisticRegression,100.0,0.6912807385310006,0.06910747141722612,0.1592356687898089,0.6671974522292994,0.7006369426751592,0.7213375796178343,0.7898089171974523
METADES,100.0,0.24932032572764654,0.10583492732961725,0.1582278481012658,0.16534306216238,0.2038216560509554,0.3200636942675159,0.5923566878980892
MLA,100.0,0.31929371926146893,0.14811970620099305,0.1528662420382165,0.1949225993711199,0.28980891719745216,0.3949044585987261,0.7133757961783439
RandomForestClassifier,100.0,0.2084806095299524,0.07644355658675311,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.2484076433121019,0.4522292993630573
SGDClassifier,100.0,0.8145202773522534,0.06359962067712609,0.5477707006369427,0.7885592195436588,0.8285697008788196,0.8557909376763686,0.9044585987261148
StackingClassifier,100.0,0.7297157945658307,0.05126875414595622,0.554140127388535,0.7054140127388535,0.732484076433121,0.7670422478432637,0.8417721518987342
VotingClassifier,100.0,0.718395952592115,0.05669212447330948,0.5477707006369427,0.6863057324840764,0.7197452229299363,0.7579617834394905,0.821656050955414
XGBClassifier,100.0,0.7645517213577361,0.041173215462448336,0.6624203821656051,0.7388535031847133,0.7707006369426752,0.7898089171974523,0.8662420382165605
