model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
DESKL,100.0,0.28788112653477615,0.020979987603032508,0.273224043715847,0.2747252747252747,0.2747252747252747,0.29596756519833445,0.3571428571428571
DecisionTreeClassifier,100.0,0.30005456387911844,0.05279961991971723,0.2142857142857142,0.2747252747252747,0.2747252747252747,0.28338509316770183,0.5294117647058824
Exponential,100.0,0.28983616702256365,0.02342374548288178,0.2569832402234637,0.2747252747252747,0.2801142426715209,0.2951183431952663,0.3703703703703703
KNORAE,100.0,0.2923673058859226,0.03183477830031615,0.2456140350877192,0.2736631537861046,0.2807017543859649,0.3048126990546484,0.3931623931623931
LogisticRegression,100.0,0.46236718325890386,0.051304874082372,0.2747252747252747,0.4329896907216495,0.4650406504065041,0.5,0.5822784810126582
METADES,100.0,0.2932646405986333,0.02872291345369954,0.2545454545454545,0.2747252747252747,0.2826086956521739,0.3076923076923077,0.4181818181818181
MLA,100.0,0.2835624045887669,0.03143182788978579,0.1911764705882352,0.2666666666666666,0.27548418432396327,0.2931717963565097,0.4
RandomForestClassifier,100.0,0.28779851255551353,0.020237947608258682,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2976190476190476,0.3582089552238806
SGDClassifier,100.0,0.44577941157290424,0.08697862319705546,0.2580645161290322,0.3818286371477861,0.45090489025798997,0.5026595744680851,0.6666666666666666
StackingClassifier,100.0,0.4988609160442553,0.05083813522310355,0.3495145631067961,0.4680851063829787,0.5,0.5324551074477479,0.647887323943662
VotingClassifier,100.0,0.4923363301717166,0.048698300245577766,0.3669724770642202,0.45563353803734796,0.4856950067476383,0.5244360902255639,0.631578947368421
XGBClassifier,100.0,0.5213680859147759,0.049885851720167386,0.4225352112676056,0.4871794871794871,0.5185185185185185,0.5512013729977117,0.6557377049180327
