model,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max
DESKL,100.0,0.16855325387730738,0.014976257701240166,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.17400395377128952,0.217391304347826
DecisionTreeClassifier,100.0,0.18486451624198758,0.05145313043149289,0.1525423728813559,0.1592356687898089,0.1592356687898089,0.18913246268656714,0.4186046511627907
Exponential,100.0,0.1700096773519379,0.016462901898902208,0.1493506493506493,0.1592356687898089,0.1628681775740599,0.17465867465867463,0.2272727272727272
KNORAE,100.0,0.1742742408226301,0.023655568846330854,0.1438356164383561,0.15898371361767313,0.1643835616438356,0.18589215888042798,0.2527472527472527
LogisticRegression,100.0,0.32366155665816715,0.04292686976489257,0.1592356687898089,0.29599271402550087,0.3228287841191067,0.34962406015037595,0.4259259259259259
METADES,100.0,0.17357246574396903,0.021327933200500148,0.15,0.1592356687898089,0.1645569620253164,0.183206106870229,0.2705882352941176
MLA,100.0,0.17372692870610437,0.02759563004022248,0.1171171171171171,0.15805444771978494,0.1652892561983471,0.1818181818181818,0.2653061224489796
RandomForestClassifier,100.0,0.16845864846336714,0.014464044438216491,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1748251748251748,0.2201834862385321
SGDClassifier,100.0,0.4886236714485574,0.14371872866737168,0.2289156626506024,0.3785714285714285,0.46770833333333334,0.5733082706766917,0.8571428571428571
StackingClassifier,100.0,0.35859083612449266,0.0474302901687096,0.2289156626506024,0.3279119318181818,0.35707057930685554,0.38993385696568833,0.5111111111111111
VotingClassifier,100.0,0.35083342838412607,0.048124471410907484,0.2409638554216867,0.3157894736842105,0.3442622950819672,0.3870967741935484,0.4705882352941176
XGBClassifier,100.0,0.3908564775469357,0.05144432319418154,0.3,0.3553763440860215,0.3907741251325557,0.4175,0.5555555555555556
