Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
roc_auc,DESKL,DecisionTreeClassifier,0.1794788413341044,4.846558779113665,4.657897412679561e-06,True,Better
roc_auc,DESKL,Exponential,0.017106501831501864,0.4225849690515299,0.673514521086385,False,No Diff
roc_auc,DESKL,KNORAE,0.07624910396620932,1.9189767863755194,0.05786731383587719,False,No Diff
roc_auc,DESKL,LogisticRegression,-0.03128783716283712,-0.8273422950412894,0.41003288438040764,False,No Diff
roc_auc,DESKL,METADES,0.030218718123981247,0.744658730649763,0.4582420969432892,False,No Diff
roc_auc,DESKL,MLA,0.1727028261212471,4.527742003347721,1.6642465719517703e-05,True,Better
roc_auc,DESKL,RandomForestClassifier,0.0037845658727237996,0.09285196923737359,0.9262088072218146,False,No Diff
roc_auc,DESKL,SGDClassifier,0.10803969276337688,2.6505841691470247,0.009356339933280795,True,Better
roc_auc,DESKL,StackingClassifier,-0.07647334901940173,-2.5880069050293137,0.011104797749984956,True,Worse
roc_auc,DESKL,VotingClassifier,-0.06286175359727986,-1.9138580640008087,0.05852652737761902,False,No Diff
roc_auc,DESKL,XGBClassifier,-0.07290063050984086,-2.2449187326058984,0.02699830214838468,True,Worse
roc_auc,DecisionTreeClassifier,DESKL,-0.1794788413341044,-4.846558779113665,4.657897412679561e-06,True,Worse
roc_auc,DecisionTreeClassifier,Exponential,-0.16237233950260255,-4.419318318819979,2.5371889998320936e-05,True,Worse
roc_auc,DecisionTreeClassifier,KNORAE,-0.10322973736789509,-3.2000260658061332,0.001846914267002238,True,Worse
roc_auc,DecisionTreeClassifier,LogisticRegression,-0.21076667849694153,-6.260739665248817,9.900719906010057e-09,True,Worse
roc_auc,DecisionTreeClassifier,METADES,-0.14926012321012316,-4.127628724838608,7.65249746301203e-05,True,Worse
roc_auc,DecisionTreeClassifier,MLA,-0.0067760152128573115,-0.18807083447376255,0.8512060807067855,False,No Diff
roc_auc,DecisionTreeClassifier,RandomForestClassifier,-0.1756942754613806,-4.807393889273549,5.460773587596612e-06,True,Worse
roc_auc,DecisionTreeClassifier,SGDClassifier,-0.07143914857072753,-1.8412856208867443,0.0685740839566708,False,No Diff
