model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max
DESKL,100.0,0.8569390470047569,0.011343204582145067,0.8280254777070064,0.8471337579617835,0.8571514956059019,0.8662420382165605,0.879746835443038
DecisionTreeClassifier,100.0,0.8524171571394018,0.015504287426953466,0.7961783439490446,0.8417721518987342,0.8535031847133758,0.8598726114649682,0.8980891719745223
KNORAE,100.0,0.8351229541240022,0.023343098587899208,0.7515923566878981,0.821656050955414,0.8343949044585988,0.8471337579617835,0.89171974522293
LogisticRegression,100.0,0.8592401032008385,0.039301890789280265,0.6178343949044586,0.8471337579617835,0.8662420382165605,0.8791723776505684,0.9171974522292994
METADES,100.0,0.8486088043215354,0.014569068352110102,0.8037974683544303,0.8407643312101911,0.8471337579617835,0.8598726114649682,0.8853503184713376
MLA,100.0,0.8431931790695799,0.0126766258633747,0.7834394904458599,0.8407643312101911,0.8417721518987342,0.8473756349270338,0.8726114649681529
RandomForestClassifier,100.0,0.8559179230831249,0.01105383867397127,0.8227848101265823,0.8471337579617835,0.8571514956059019,0.8662420382165605,0.8789808917197452
StackingClassifier,100.0,0.880857856970088,0.018020278291442347,0.821656050955414,0.8726114649681529,0.8789808917197452,0.89171974522293,0.9235668789808916
VotingClassifier,100.0,0.8681968072240587,0.018703579712129416,0.821656050955414,0.858512053535435,0.8662420382165605,0.8789808917197452,0.9235668789808916
XGBClassifier,100.0,0.8765939692009997,0.018460607833009797,0.8280254777070064,0.8607594936708861,0.8789808917197452,0.89171974522293,0.9171974522292994
