Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
accuracy,DESKL,DecisionTreeClassifier,-0.006687898089171973,-0.7061030273419364,0.48178245575949175,False,No Diff
accuracy,DESKL,Exponential,0.0,0.0,1.0,False,No Diff
accuracy,DESKL,KNORAE,-0.012596146093686977,-2.6663146791876176,0.00895797255232732,True,Worse
accuracy,DESKL,LogisticRegression,-0.1304623881319036,-5.1769282179437255,1.185171687696837e-06,True,Worse
accuracy,DESKL,METADES,0.0,0.0,1.0,False,No Diff
accuracy,DESKL,MLA,-0.024992340562767112,-1.6181930590177627,0.10880275176635529,False,No Diff
accuracy,DESKL,RandomForestClassifier,0.0,0.0,1.0,False,No Diff
accuracy,DESKL,SGDClassifier,-0.39560549866967676,-5.0903689335560225,1.7041572391520864e-06,True,Worse
accuracy,DESKL,StackingClassifier,-0.005410787712650161,-0.6226944108107644,0.5349170840644337,False,No Diff
accuracy,DESKL,VotingClassifier,-0.007251068289929857,-0.7502482698966874,0.4548845591409997,False,No Diff
accuracy,DESKL,XGBClassifier,-0.284741997903733,-7.519994378497478,2.5225740810211612e-11,True,Worse
accuracy,DecisionTreeClassifier,DESKL,0.006687898089171973,0.7061030273419364,0.48178245575949175,False,No Diff
accuracy,DecisionTreeClassifier,Exponential,0.006687898089171973,0.7016470788284067,0.4845454770172263,False,No Diff
accuracy,DecisionTreeClassifier,KNORAE,-0.005908248004515004,-0.5676355961520186,0.5715674756309703,False,No Diff
accuracy,DecisionTreeClassifier,LogisticRegression,-0.12377449004273164,-4.373540390853689,3.0261523710833025e-05,True,Worse
accuracy,DecisionTreeClassifier,METADES,0.006687898089171973,0.708306482531577,0.4804193705382902,False,No Diff
accuracy,DecisionTreeClassifier,MLA,-0.01830444247359514,-0.9614672878282011,0.33865973284782047,False,No Diff
accuracy,DecisionTreeClassifier,RandomForestClassifier,0.006687898089171973,0.6974401297467396,0.4871620814453619,False,No Diff
accuracy,DecisionTreeClassifier,SGDClassifier,-0.38891760058050473,-4.965780556493423,2.858148628954502e-06,True,Worse
accuracy,DecisionTreeClassifier,StackingClassifier,0.0012771103765218117,0.09675087013133056,0.9231198342740634,False,No Diff
accuracy,DecisionTreeClassifier,VotingClassifier,-0.0005631702007578843,-0.04065254640061892,0.9676547646479025,False,No Diff
accuracy,DecisionTreeClassifier,XGBClassifier,-0.2780540998145611,-6.659951095540427,1.549345348999358e-09,True,Worse
accuracy,Exponential,DESKL,0.0,0.0,1.0,False,No Diff
accuracy,Exponential,DecisionTreeClassifier,-0.006687898089171973,-0.7016470788284067,0.4845454770172263,False,No Diff
accuracy,Exponential,KNORAE,-0.012596146093686977,-2.695723966056788,0.008254203367014589,True,Worse
accuracy,Exponential,LogisticRegression,-0.1304623881319036,-5.188317860170031,1.1296020270169904e-06,True,Worse
