Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
specificity,DESKL,DecisionTreeClassifier,-0.008257575757575755,-0.7020985009646956,0.48426516520623053,False,No Diff
specificity,DESKL,Exponential,0.0,0.0,1.0,False,No Diff
specificity,DESKL,KNORAE,-0.01627192982456137,-2.75770122075443,0.006932847115563685,True,Worse
specificity,DESKL,LogisticRegression,-0.1577022100706311,-5.1660687558736065,1.2406361080102236e-06,True,Worse
specificity,DESKL,METADES,0.0,0.0,1.0,False,No Diff
specificity,DESKL,MLA,-0.0327728411938938,-1.6761181049526204,0.09687048238436417,False,No Diff
specificity,DESKL,RandomForestClassifier,0.0,0.0,1.0,False,No Diff
specificity,DESKL,SGDClassifier,-0.5051389838231942,-4.9179439535559855,3.4795574052015134e-06,True,Worse
specificity,DESKL,StackingClassifier,-0.006434837092731826,-0.6180568598985993,0.5379571202347746,False,No Diff
specificity,DESKL,VotingClassifier,-0.008933128275233536,-0.7502735376294859,0.45486941326645214,False,No Diff
specificity,DESKL,XGBClassifier,-0.34444520391888817,-7.4475983960725465,3.586507123927451e-11,True,Worse
specificity,DecisionTreeClassifier,DESKL,0.008257575757575755,0.7020985009646956,0.48426516520623053,False,No Diff
specificity,DecisionTreeClassifier,Exponential,0.008257575757575755,0.7020985009646956,0.48426516520623053,False,No Diff
specificity,DecisionTreeClassifier,KNORAE,-0.008014354066985616,-0.6333887445252764,0.5279403548836054,False,No Diff
specificity,DecisionTreeClassifier,LogisticRegression,-0.14944463431305532,-4.498780573877699,1.8637534812035242e-05,True,Worse
specificity,DecisionTreeClassifier,METADES,0.008257575757575755,0.7020985009646956,0.48426516520623053,False,No Diff
specificity,DecisionTreeClassifier,MLA,-0.024515265436318046,-1.0565268384862554,0.29329895661324384,False,No Diff
specificity,DecisionTreeClassifier,RandomForestClassifier,0.008257575757575755,0.7020985009646956,0.48426516520623053,False,No Diff
specificity,DecisionTreeClassifier,SGDClassifier,-0.4968814080656185,-4.719396576667149,7.785715427503854e-06,True,Worse
specificity,DecisionTreeClassifier,StackingClassifier,0.001822738664843929,0.11310113518914192,0.9101794058526913,False,No Diff
specificity,DecisionTreeClassifier,VotingClassifier,-0.0006755525176577806,-0.040533022290776266,0.9677498114422074,False,No Diff
specificity,DecisionTreeClassifier,XGBClassifier,-0.3361876281613124,-7.241774817092344,9.707188044799833e-11,True,Worse
specificity,Exponential,DESKL,0.0,0.0,1.0,False,No Diff
specificity,Exponential,DecisionTreeClassifier,-0.008257575757575755,-0.7020985009646956,0.48426516520623053,False,No Diff
specificity,Exponential,KNORAE,-0.01627192982456137,-2.75770122075443,0.006932847115563685,True,Worse
specificity,Exponential,LogisticRegression,-0.1577022100706311,-5.1660687558736065,1.2406361080102236e-06,True,Worse
specificity,Exponential,METADES,0.0,0.0,1.0,False,No Diff
specificity,Exponential,MLA,-0.0327728411938938,-1.6761181049526204,0.09687048238436417,False,No Diff
specificity,Exponential,RandomForestClassifier,0.0,0.0,1.0,False,No Diff
specificity,Exponential,SGDClassifier,-0.5051389838231942,-4.9179439535559855,3.4795574052015134e-06,True,Worse
specificity,Exponential,StackingClassifier,-0.006434837092731826,-0.6180568598985993,0.5379571202347746,False,No Diff
specificity,Exponential,VotingClassifier,-0.008933128275233536,-0.7502735376294859,0.45486941326645214,False,No Diff
specificity,Exponential,XGBClassifier,-0.34444520391888817,-7.4475983960725465,3.586507123927451e-11,True,Worse
specificity,KNORAE,DESKL,0.01627192982456137,2.75770122075443,0.006932847115563685,True,Better
specificity,KNORAE,DecisionTreeClassifier,0.008014354066985616,0.6333887445252764,0.5279403548836054,False,No Diff
specificity,KNORAE,Exponential,0.01627192982456137,2.75770122075443,0.006932847115563685,True,Better
specificity,KNORAE,LogisticRegression,-0.1414302802460697,-4.6047509750966915,1.229104987372069e-05,True,Worse
specificity,KNORAE,METADES,0.01627192982456137,2.75770122075443,0.006932847115563685,True,Better
specificity,KNORAE,MLA,-0.01650091136933243,-0.7617547670249074,0.4480172846056435,False,No Diff
specificity,KNORAE,RandomForestClassifier,0.01627192982456137,2.75770122075443,0.006932847115563685,True,Better
specificity,KNORAE,SGDClassifier,-0.48886705399863284,-4.7278509976561445,7.526054565288335e-06,True,Worse
specificity,KNORAE,StackingClassifier,0.009837092731829545,0.8918545299715083,0.37463347802874924,False,No Diff
specificity,KNORAE,VotingClassifier,0.007338801549327836,0.5581338447772863,0.5780130434547412,False,No Diff
specificity,KNORAE,XGBClassifier,-0.3281732740943268,-7.089330511711933,2.0194502030238164e-10,True,Worse
specificity,LogisticRegression,DESKL,0.1577022100706311,5.1660687558736065,1.2406361080102236e-06,True,Better
specificity,LogisticRegression,DecisionTreeClassifier,0.14944463431305532,4.498780573877699,1.8637534812035242e-05,True,Better
specificity,LogisticRegression,Exponential,0.1577022100706311,5.1660687558736065,1.2406361080102236e-06,True,Better
specificity,LogisticRegression,KNORAE,0.1414302802460697,4.6047509750966915,1.229104987372069e-05,True,Better
specificity,LogisticRegression,METADES,0.1577022100706311,5.1660687558736065,1.2406361080102236e-06,True,Better
specificity,LogisticRegression,MLA,0.12492936887673729,3.5791036135715633,0.0005359167129511497,True,Better
specificity,LogisticRegression,RandomForestClassifier,0.1577022100706311,5.1660687558736065,1.2406361080102236e-06,True,Better
specificity,LogisticRegression,SGDClassifier,-0.3474367737525631,-3.225861481530677,0.0017025913351362838,True,Worse
specificity,LogisticRegression,StackingClassifier,0.15126737297789927,4.562414166281218,1.4524850295930859e-05,True,Better
specificity,LogisticRegression,VotingClassifier,0.14876908179539755,4.614152131999417,1.1842214926685322e-05,True,Better
specificity,LogisticRegression,XGBClassifier,-0.18674299384825707,-3.2349905211678305,0.0016541630925248595,True,Worse
specificity,METADES,DESKL,0.0,0.0,1.0,False,No Diff
specificity,METADES,DecisionTreeClassifier,-0.008257575757575755,-0.7020985009646956,0.48426516520623053,False,No Diff
specificity,METADES,Exponential,0.0,0.0,1.0,False,No Diff
specificity,METADES,KNORAE,-0.01627192982456137,-2.75770122075443,0.006932847115563685,True,Worse
specificity,METADES,LogisticRegression,-0.1577022100706311,-5.1660687558736065,1.2406361080102236e-06,True,Worse
specificity,METADES,MLA,-0.0327728411938938,-1.6761181049526204,0.09687048238436417,False,No Diff
specificity,METADES,RandomForestClassifier,0.0,0.0,1.0,False,No Diff
specificity,METADES,SGDClassifier,-0.5051389838231942,-4.9179439535559855,3.4795574052015134e-06,True,Worse
specificity,METADES,StackingClassifier,-0.006434837092731826,-0.6180568598985993,0.5379571202347746,False,No Diff
