model,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max
DESKL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DecisionTreeClassifier,100.0,0.008257575757575755,0.03379578407563955,0.0,0.0,0.0,0.0,0.1893939393939394
Exponential,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNORAE,100.0,0.01627192982456137,0.01695508053585487,0.0,0.0,0.0151515151515151,0.0227272727272727,0.0833333333333333
LogisticRegression,100.0,0.1577022100706311,0.08771737031454281,0.0,0.08850250626566412,0.1735873775347459,0.2196969696969697,0.3712121212121212
METADES,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA,100.0,0.03277284119389381,0.05618462442020579,0.0,0.0,0.0075757575757575,0.041666666666666595,0.2954545454545454
RandomForestClassifier,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGDClassifier,100.0,0.5051389838231944,0.2951449229383229,0.0151515151515151,0.2121212121212121,0.6060606060606061,0.7613636363636364,0.9393939393939394
StackingClassifier,100.0,0.006434837092731826,0.029916937300295304,0.0,0.0,0.0,0.0,0.2424242424242424
VotingClassifier,100.0,0.008933128275233536,0.03421306220517314,0.0,0.0,0.0,0.0,0.2196969696969697
XGBClassifier,100.0,0.34444520391888817,0.1328959965023832,0.0225563909774436,0.25,0.36226930963773063,0.4412878787878788,0.6060606060606061
