model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DESKL,100.0,0.8403329839554948,0.0016657955207305922,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.8290393518761943,0.04342949540177458,0.696969696969697,0.8008333333333334,0.8327557530189109,0.8586363636363636,0.9290909090909092,100.0,0.5651953518269971,0.08363592739421853,0.369363469893159,0.5071907146490396,0.568562046395303,0.6231985138882359,0.7586527778693908
DecisionTreeClassifier,100.0,0.835938079496896,0.021791642135533387,0.6942675159235668,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8853503184713376,100.0,0.1663549141336773,0.02737948041927926,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.3121019108280254,100.0,0.16068940063292733,0.0046308343442211354,0.1568627450980392,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1865671641791045,100.0,0.9984000000000001,0.009715134501582486,0.92,1.0,1.0,1.0,1.0,100.0,0.008257575757575755,0.03379578407563955,0.0,0.0,0.0,0.0,0.1893939393939394,100.0,0.27678648688125307,0.006589897784872004,0.2696629213483146,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.3144654088050314,100.0,0.6579909047093259,0.07586275391040397,0.5,0.6078044981334455,0.6553987240829346,0.7140530303030304,0.8283333333333334,100.0,0.2670844392309707,0.08131185812140851,0.1592356687898089,0.20160063826989622,0.2463286543246064,0.3133650079082091,0.4937805542016462
Exponential,100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.8086060658639606,0.04760298873511883,0.6793939393939394,0.775733082706767,0.8102620186830714,0.8387878787878787,0.9155011655011654,100.0,0.5256940359172225,0.08646655420947925,0.3289126304230131,0.47066098137828394,0.5247391820701861,0.5877670135068304,0.7609858130532656
KNORAE,100.0,0.8374820607917441,0.033665404499107036,0.7961783439490446,0.821656050955414,0.8343949044585988,0.8407643312101911,1.0764331210191085,100.0,0.17226316213819234,0.013411207318062633,0.1528662420382165,0.1592356687898089,0.170886075949367,0.1783439490445859,0.2229299363057325,100.0,0.16096760674751387,0.003563679957943659,0.14,0.1592356687898089,0.1612903225806451,0.1632653061224489,0.1688311688311688,100.0,0.9932000000000001,0.022059607036986464,0.84,1.0,1.0,1.0,1.0,100.0,0.01627192982456137,0.01695508053585487,0.0,0.0,0.0151515151515151,0.0227272727272727,0.0833333333333333,100.0,0.2770259922286434,0.005903133915767663,0.24,0.2747252747252747,0.2777777777777778,0.2793296089385474,0.2888888888888888,100.0,0.7249589327339327,0.0531301225910812,0.5875757575757576,0.6925797448165869,0.7251165501165501,0.7534877622377623,0.8633333333333333,100.0,0.4017076791091454,0.08393887895114209,0.241755220166844,0.3425176226521345,0.3929959250429491,0.4432690973915703,0.6119045506176997
LogisticRegression,100.0,0.7281964040957832,0.06911132968004932,0.5923566878980892,0.6740909457389341,0.732484076433121,0.7770700636942676,0.910828025477707,100.0,0.29012940417640887,0.07239660872099636,0.1582278481012658,0.2292993630573248,0.30476497621543175,0.3386277513504797,0.4585987261146497,100.0,0.18335338582565494,0.0149796304066327,0.1582278481012658,0.1712328767123287,0.18217893217893216,0.19435051305970147,0.2169811320754717,100.0,0.9872615384615383,0.026485921438135985,0.84,1.0,1.0,1.0,1.0,100.0,0.1577022100706311,0.08771737031454281,0.0,0.08850250626566412,0.1735873775347459,0.2196969696969697,0.3712121212121212,100.0,0.30894217097537235,0.02110650869449804,0.273224043715847,0.2923976608187134,0.3062404751670509,0.325,0.3511450381679389,100.0,0.8367492822966507,0.04481594529602495,0.7194055944055944,0.8027272727272727,0.8366666666666667,0.8685514923672819,0.9381818181818182,100.0,0.5731382528331166,0.08622607448293294,0.3758447964459959,0.5189584001025509,0.5671547630735174,0.6320841556120962,0.7475739152504253
METADES,100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.8185574557021924,0.0439886173832886,0.6990909090909091,0.781439393939394,0.8216200466200466,0.8508770396270396,0.9054545454545456,100.0,0.5463227172909694,0.08805570809190644,0.3450571049122954,0.4871226079210532,0.5364486893053417,0.6061578273752825,0.7351021291748098
MLA,100.0,0.8382342981536727,0.04773226010982301,0.6815286624203821,0.8267153108119004,0.8407643312101911,0.8407643312101911,0.981012658227848,100.0,0.18465935660727237,0.044435598674595504,0.1464968152866242,0.1592356687898089,0.16508102878335879,0.19017576392808194,0.3924050632911392,100.0,0.16229438086771922,0.007744756042350163,0.1483870967741935,0.1592356687898089,0.1592356687898089,0.1645569620253164,0.1983471074380165,100.0,0.9840615384615384,0.03396216608405643,0.8,0.9903846153846154,1.0,1.0,1.0,100.0,0.03277284119389381,0.05618462442020579,0.0,0.0,0.0075757575757575,0.041666666666666595,0.2954545454545454,100.0,0.27851538599733283,0.011220906955851085,0.2555555555555555,0.2747252747252747,0.2747252747252747,0.2826086956521739,0.3287671232876712,100.0,0.6610417744536166,0.06841794195885906,0.4551515151515152,0.6191296422875371,0.6603787878787879,0.707310606060606,0.8237878787878788,100.0,0.3214168325259781,0.07431865352075039,0.1548639464327544,0.269533455516171,0.3117617098458985,0.3633481529793705,0.5456512718677187
RandomForestClassifier,100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.8448003443924496,0.04019377402087559,0.738030303030303,0.8221969696969698,0.8487878787878788,0.8755827505827506,0.936969696969697,100.0,0.5938915975547238,0.08446402702228491,0.3654131918272435,0.5435943052865871,0.5921839472544678,0.6495749094523035,0.782757178925409
SGDClassifier,100.0,0.7046738692251873,0.15914947920675526,0.360759493670886,0.6162420382165605,0.7133757961783439,0.7834394904458599,1.1910828025477709,100.0,0.555272514714182,0.22324703754498848,0.1719745222929936,0.33704547286946707,0.6496815286624203,0.7579617834394905,0.8417721518987342,100.0,0.2855877308921313,0.10085815977569879,0.1612903225806451,0.1903778040141676,0.2761485826001955,0.3715135356849877,0.5294117647058824,100.0,0.8190615384615384,0.18730887950367975,0.32,0.71,0.84,1.0,1.0,100.0,0.5051389838231944,0.2951449229383229,0.0151515151515151,0.2121212121212121,0.6060606060606061,0.7613636363636364,0.9393939393939394,100.0,0.39779272340337846,0.08754848850267412,0.2777777777777778,0.31461462287506187,0.38278388278388276,0.47169117647058817,0.59375,100.0,0.7546247024904921,0.07534370766603904,0.579090909090909,0.7003409090909092,0.7584227614490773,0.8126515151515152,0.932121212121212,100.0,0.38311827034425283,0.1350110878005971,0.1892265696087351,0.27314334203011825,0.3409829602501737,0.47509399927256396,0.6906732585540767
StackingClassifier,100.0,0.8349221962428447,0.02509506829775289,0.6369426751592356,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.16507780375715547,0.025095068297752876,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.3630573248407643,100.0,0.16065313140696735,0.004995366987844085,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.2,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.006434837092731826,0.029916937300295304,0.0,0.0,0.0,0.0,0.2424242424242424,100.0,0.27680143520156636,0.007241647625041102,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.3333333333333333,100.0,0.8686460863697707,0.034020570842635614,0.7485431235431236,0.8465909090909092,0.8703522792996478,0.8906060606060606,0.936969696969697,100.0,0.6459866550923234,0.07551234427798284,0.4645551918257407,0.5922609093852083,0.6530459734425758,0.688661620801171,0.8203076163942139
