Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
precision,DESKL,DecisionTreeClassifier,0.21605350975900095,5.659909648729565,1.4785398303440326e-07,True,Better
precision,DESKL,Exponential,0.049207572100622876,1.2266485720150064,0.22286407627665036,False,No Diff
precision,DESKL,KNORAE,0.12602434969983223,3.458554649094865,0.0008022478901148861,True,Better
precision,DESKL,LogisticRegression,0.0885167352464093,2.7391105165337666,0.007307390110896496,True,Better
precision,DESKL,METADES,-0.011848547347939276,-0.323914129288379,0.7466863609949154,False,No Diff
precision,DESKL,MLA,0.15018147129778459,3.091739192789085,0.0025849490172743183,True,Better
precision,DESKL,RandomForestClassifier,0.04489634814969845,1.1917439623479849,0.23621071473258742,False,No Diff
precision,DESKL,SGDClassifier,0.1286649258246373,3.0849538478899334,0.0026392882590602273,True,Better
precision,DESKL,StackingClassifier,0.04505961721118751,1.2425519499020174,0.21696810267927913,False,No Diff
precision,DESKL,VotingClassifier,0.061483436200504504,1.4424350032167812,0.1523360220536825,False,No Diff
precision,DESKL,XGBClassifier,-0.00972334419397164,-0.268038009831045,0.7892277429876373,False,No Diff
precision,DecisionTreeClassifier,DESKL,-0.21605350975900095,-5.659909648729565,1.4785398303440326e-07,True,Worse
precision,DecisionTreeClassifier,Exponential,-0.16684593765837807,-5.019399100937422,2.289788470239833e-06,True,Worse
precision,DecisionTreeClassifier,KNORAE,-0.09002916005916872,-2.8326036208215775,0.005594613484662185,True,Worse
precision,DecisionTreeClassifier,LogisticRegression,-0.12753677451259166,-4.359352020993385,3.195339757949416e-05,True,Worse
precision,DecisionTreeClassifier,METADES,-0.22790205710694023,-6.053962416811627,2.5430069962337043e-08,True,Worse
precision,DecisionTreeClassifier,MLA,-0.06587203846121636,-1.511123641758342,0.13394240653660572,False,No Diff
precision,DecisionTreeClassifier,RandomForestClassifier,-0.1711571616093025,-5.171764193111455,1.2112380319749859e-06,True,Worse
precision,DecisionTreeClassifier,SGDClassifier,-0.08738858393436366,-2.236212534925349,0.027582508511450714,True,Worse
precision,DecisionTreeClassifier,StackingClassifier,-0.17099389254781344,-5.489124897665138,3.118203773946423e-07,True,Worse
precision,DecisionTreeClassifier,VotingClassifier,-0.15457007355849645,-3.8111265000643875,0.00024039496192939262,True,Worse
precision,DecisionTreeClassifier,XGBClassifier,-0.2257768539529726,-7.2243664125451925,1.0556477188040148e-10,True,Worse
precision,Exponential,DESKL,-0.049207572100622876,-1.2266485720150064,0.22286407627665036,False,No Diff
precision,Exponential,DecisionTreeClassifier,0.16684593765837807,5.019399100937422,2.289788470239833e-06,True,Better
precision,Exponential,KNORAE,0.07681677759920935,2.324129500575481,0.022162383074027875,True,Better
precision,Exponential,LogisticRegression,0.03930916314578642,1.257064503693642,0.21168791196240358,False,No Diff
precision,Exponential,METADES,-0.06105611944856215,-1.6159560063845444,0.10928625939244357,False,No Diff
precision,Exponential,MLA,0.10097389919716171,2.5219195835131503,0.013266355745110401,True,Better
precision,Exponential,RandomForestClassifier,-0.0043112239509244255,-0.12768748994578916,0.898655299583115,False,No Diff
precision,Exponential,SGDClassifier,0.07945735372401441,2.0279720817359244,0.045249661845557544,True,Better
precision,Exponential,StackingClassifier,-0.004147954889435368,-0.12831262123622486,0.8981618744980926,False,No Diff
precision,Exponential,VotingClassifier,0.012275864099881628,0.29405755602273786,0.7693295611346129,False,No Diff
precision,Exponential,XGBClassifier,-0.058930916294594515,-1.8122623869486572,0.07297686985535708,False,No Diff
precision,KNORAE,DESKL,-0.12602434969983223,-3.458554649094865,0.0008022478901148861,True,Worse
precision,KNORAE,DecisionTreeClassifier,0.09002916005916872,2.8326036208215775,0.005594613484662185,True,Better
precision,KNORAE,Exponential,-0.07681677759920935,-2.324129500575481,0.022162383074027875,True,Worse
precision,KNORAE,LogisticRegression,-0.03750761445342293,-1.499154795964773,0.13701563667901445,False,No Diff
precision,KNORAE,METADES,-0.1378728970477715,-3.681263099979819,0.00037804691135741184,True,Worse
precision,KNORAE,MLA,0.024157121597952358,0.5748378353204996,0.5667050313907331,False,No Diff
precision,KNORAE,RandomForestClassifier,-0.08112800155013378,-2.5915808206388085,0.01099750889948021,True,Worse
precision,KNORAE,SGDClassifier,0.0026405761248050608,0.0735533903053931,0.9415141681549974,False,No Diff
precision,KNORAE,StackingClassifier,-0.08096473248864472,-2.7064684201203257,0.008009877546868013,True,Worse
precision,KNORAE,VotingClassifier,-0.06454091349932772,-1.5576044536627902,0.12251818884720844,False,No Diff
