model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max
DESKL,100.0,0.8264718213335484,0.034072477448701226,0.7025316455696202,0.803485043940982,0.8280254777070064,0.841016286382327,0.929936305732484
DecisionTreeClassifier,100.0,0.6177791663307265,0.1136560806372761,0.3694267515923566,0.5414012738853503,0.6222486495202774,0.7085987261146496,0.8535031847133758
Exponential,100.0,0.8043029912118036,0.03543613441470325,0.7197452229299363,0.7818471337579618,0.8031726195275337,0.8240949770216883,0.89171974522293
KNORAE,100.0,0.7651979359832299,0.0317527618609248,0.6878980891719745,0.7452229299363057,0.7658227848101266,0.7898089171974523,0.8291139240506329
LogisticRegression,100.0,0.768701523824881,0.0350117084051807,0.6708860759493671,0.7388535031847133,0.7770700636942676,0.7961783439490446,0.8343949044585988
METADES,100.0,0.8348000483753931,0.026488677189409476,0.7770700636942676,0.821656050955414,0.8349189712166412,0.8481012658227848,0.9044585987261148
MLA,100.0,0.749629928243167,0.06866005619886525,0.554140127388535,0.7006369426751592,0.7643312101910829,0.8028601951140854,0.8726114649681529
RandomForestClassifier,100.0,0.8033004111908411,0.03413019991051846,0.7261146496815286,0.7834394904458599,0.802547770700637,0.828297589292913,0.8924050632911392
SGDClassifier,100.0,0.7058042409094573,0.11563844325940416,0.3312101910828025,0.6560912682415544,0.732484076433121,0.7898089171974523,0.8789808917197452
StackingClassifier,100.0,0.7970813512859791,0.034765575603804645,0.7088607594936709,0.7770700636942676,0.7961783439490446,0.821656050955414,0.8726114649681529
VotingClassifier,100.0,0.7727235346287189,0.0825944301870587,0.464968152866242,0.7388535031847133,0.7848101265822784,0.8280254777070064,0.8853503184713376
XGBClassifier,100.0,0.8308522131742322,0.027173188139149717,0.7643312101910829,0.8152866242038217,0.8317544142546158,0.8481012658227848,0.8853503184713376
