model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max
DESKL,100.0,0.7860948963960331,0.14231389147667306,0.379746835443038,0.7070063694267515,0.7898089171974523,0.8996815286624205,1.0443037974683544
DecisionTreeClassifier,100.0,0.855756671772958,0.20811661771044818,0.4777070063694267,0.702057969846005,0.8254253003305652,0.9729299363057324,1.5822784810126582
Exponential,100.0,0.7997339353382248,0.15592114565042733,0.3987341772151899,0.6958598726114649,0.8285898572925905,0.9187898089171974,1.197452229299363
KNORAE,100.0,0.9104152221236798,0.16776970701405114,0.5569620253164557,0.7770700636942676,0.910828025477707,1.03343949044586,1.286624203821656
LogisticRegression,100.0,0.6206248488268966,0.15267382969491974,0.3248407643312102,0.5222929936305732,0.6114649681528662,0.7197452229299363,1.1265822784810129
METADES,100.0,0.8974776263807145,0.16887652191279554,0.4493670886075949,0.7945859872611465,0.8980891719745223,0.9761146496815286,1.3860759493670889
MLA,100.0,1.0696182375231797,0.20134798466446552,0.6496815286624203,0.9347133757961783,1.0414012738853502,1.2213375796178343,1.5414012738853504
RandomForestClassifier,100.0,0.7085559945174554,0.13918948298162573,0.4113924050632911,0.6162420382165605,0.7047488510844151,0.8152866242038217,1.0
SGDClassifier,100.0,0.6801261791502056,0.1670587511203139,0.3184713375796178,0.5499173587035395,0.6751592356687898,0.7595541401273886,1.3630573248407645
StackingClassifier,100.0,0.5509965330968314,0.13803311253374584,0.2420382165605095,0.445859872611465,0.5477707006369427,0.6418507619124405,0.929936305732484
VotingClassifier,100.0,0.6441042489720229,0.15496970613374583,0.3503184713375796,0.515107232121261,0.6412763041199709,0.7579617834394905,1.1019108280254777
XGBClassifier,100.0,0.5967765863097637,0.14587221742418327,0.2292993630573248,0.4936708860759494,0.5936466983794243,0.6942675159235668,0.9620253164556962
