model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL,100.0,0.5736769230769232,0.08741060684624935,0.4,0.52,0.56,0.64,0.84
DecisionTreeClassifier,100.0,0.6704153846153846,0.17796125991149578,0.0,0.6,0.6861538461538461,0.8,1.0
Exponential,100.0,0.5794307692307693,0.09728995449660068,0.32,0.52,0.56,0.64,0.8076923076923077
KNORAE,100.0,0.5296923076923076,0.10562710660333996,0.28,0.44,0.52,0.6,0.76
LogisticRegression,100.0,0.7290153846153845,0.09490795505677274,0.44,0.64,0.7453846153846153,0.8,0.92
METADES,100.0,0.4901692307692307,0.1069542686751257,0.16,0.44,0.48,0.56,0.7692307692307693
MLA,100.0,0.42992307692307696,0.14086328862030595,0.1538461538461538,0.32,0.44,0.53,0.6923076923076923
RandomForestClassifier,100.0,0.6438307692307691,0.08377801241551286,0.48,0.6,0.64,0.72,0.8461538461538461
SGDClassifier,100.0,0.7314153846153846,0.14499976689957952,0.2,0.64,0.7453846153846153,0.84,1.0
StackingClassifier,100.0,0.7577230769230769,0.0860901307296549,0.52,0.68,0.76,0.801923076923077,0.92
VotingClassifier,100.0,0.7096923076923077,0.11919289069219093,0.32,0.64,0.72,0.8,1.0
XGBClassifier,100.0,0.7023384615384615,0.09338467298762063,0.44,0.64,0.72,0.76,0.92
