model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL,100.0,0.8308605263157895,0.04399938039979247,0.7266666666666667,0.8017278554778555,0.8333333333333333,0.8615909090909091,0.9251515151515152
DecisionTreeClassifier,100.0,0.6660087863890496,0.07193812597707197,0.5,0.6205681818181817,0.6699242424242424,0.7186078833447255,0.8286363636363636
Exponential,100.0,0.8052036963036965,0.05114628466462118,0.6421212121212121,0.7730128205128205,0.803924584187742,0.8391626794258373,0.9172494172494172
KNORAE,100.0,0.7336712033580455,0.0574708880682698,0.5800000000000001,0.7009469696969697,0.7341666666666666,0.769090909090909,0.8615151515151516
LogisticRegression,100.0,0.836680675464886,0.04456775193402393,0.7234848484848485,0.8071969696969696,0.8390931875142401,0.865,0.926969696969697
METADES,100.0,0.8198831019857334,0.04625452993662469,0.6657142857142857,0.7983333333333335,0.822946001367054,0.851152312599681,0.9268648018648018
MLA,100.0,0.6611515291725819,0.07344261065307468,0.469988344988345,0.6184848484848485,0.6736363636363636,0.7132196969696969,0.8096969696969698
RandomForestClassifier,100.0,0.8417149508386349,0.04007329947578798,0.736013986013986,0.8168939393939394,0.842717019822283,0.8696969696969696,0.9345454545454543
SGDClassifier,100.0,0.7501422761449077,0.08026663255880002,0.5412121212121213,0.7009848484848484,0.7463840326340325,0.807781954887218,0.9163636363636364
StackingClassifier,100.0,0.8688667840930998,0.0375179980875342,0.7497086247086248,0.8446212121212121,0.8693939393939394,0.8941666666666666,0.9448484848484848
VotingClassifier,100.0,0.8532606971975393,0.04175797885743851,0.7054545454545454,0.8284848484848485,0.8618865345181135,0.8850757575757575,0.9263636363636364
XGBClassifier,100.0,0.8688233433233434,0.036330364648306884,0.7633082706766918,0.844848484848485,0.875168603326498,0.8941579254079255,0.9409090909090908
