Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_precision,DESKL,DecisionTreeClassifier,0.29130652010891883,7.278501761056731,8.131437277826233e-11,True,Better
average_precision,DESKL,Exponential,0.030326999951564515,0.6917814079288817,0.4906938325887099,False,No Diff
average_precision,DESKL,KNORAE,0.15202383072176479,3.755486210983976,0.00029221705251509513,True,Better
average_precision,DESKL,LogisticRegression,-0.005462117164459768,-0.12411572843272228,0.9014752992911382,False,No Diff
average_precision,DESKL,METADES,0.010251817472508029,0.2183650448546827,0.8275941977822849,False,No Diff
average_precision,DESKL,MLA,0.23293208296758505,6.094458617208593,2.1161709534393223e-08,True,Better
average_precision,DESKL,RandomForestClassifier,-0.021571374825683276,-0.5561225274720745,0.5793818714524579,False,No Diff
average_precision,DESKL,SGDClassifier,0.27579225515285455,7.236563724116673,9.954047739297563e-11,True,Better
average_precision,DESKL,StackingClassifier,-0.07855441647244998,-1.9703905160460986,0.05158672277349938,False,No Diff
average_precision,DESKL,VotingClassifier,-0.04381173942121197,-1.070661498308764,0.28692497344114115,False,No Diff
average_precision,DESKL,XGBClassifier,-0.06858516967546024,-1.721691766863645,0.08824860468575382,False,No Diff
average_precision,DecisionTreeClassifier,DESKL,-0.29130652010891883,-7.278501761056731,8.131437277826233e-11,True,Worse
average_precision,DecisionTreeClassifier,Exponential,-0.2609795201573543,-6.799887746984754,8.011100390177401e-10,True,Worse
average_precision,DecisionTreeClassifier,KNORAE,-0.13928268938715405,-3.7128378209442827,0.0003389573879611725,True,Worse
average_precision,DecisionTreeClassifier,LogisticRegression,-0.2967686372733786,-7.098592409871673,1.9317874723107418e-10,True,Worse
average_precision,DecisionTreeClassifier,METADES,-0.2810547026364108,-7.244600238008221,9.57589187611082e-11,True,Worse
average_precision,DecisionTreeClassifier,MLA,-0.05837443714133378,-1.7435804051306558,0.08433660704754145,False,No Diff
average_precision,DecisionTreeClassifier,RandomForestClassifier,-0.3128778949346021,-7.558609650732503,2.0901676848703266e-11,True,Worse
average_precision,DecisionTreeClassifier,SGDClassifier,-0.015514264956064283,-0.40889384040302373,0.6835007656357688,False,No Diff
average_precision,DecisionTreeClassifier,StackingClassifier,-0.3698609365813688,-10.062658891247885,7.986151258316507e-17,True,Worse
average_precision,DecisionTreeClassifier,VotingClassifier,-0.3351182595301308,-9.225473880424811,5.350477288963839e-15,True,Worse
average_precision,DecisionTreeClassifier,XGBClassifier,-0.3598916897843791,-9.604463301740042,7.9799496895829e-16,True,Worse
average_precision,Exponential,DESKL,-0.030326999951564515,-0.6917814079288817,0.4906938325887099,False,No Diff
average_precision,Exponential,DecisionTreeClassifier,0.2609795201573543,6.799887746984754,8.011100390177401e-10,True,Better
average_precision,Exponential,KNORAE,0.12169683077020027,2.895743592560699,0.0046550654830404175,True,Better
average_precision,Exponential,LogisticRegression,-0.03578911711602428,-0.774976890835733,0.44020042561083517,False,No Diff
average_precision,Exponential,METADES,-0.020075182479056486,-0.4567080146910858,0.6488814060235766,False,No Diff
average_precision,Exponential,MLA,0.20260508301602054,4.678387829077908,9.173669666749715e-06,True,Better
average_precision,Exponential,RandomForestClassifier,-0.05189837477724779,-1.1574378108880357,0.24987845778999906,False,No Diff
average_precision,Exponential,SGDClassifier,0.24546525520129003,5.727580012114045,1.0968939663746367e-07,True,Better
average_precision,Exponential,StackingClassifier,-0.1088814164240145,-2.559591846794422,0.011991963309737336,True,Worse
average_precision,Exponential,VotingClassifier,-0.07413873937277649,-1.728601584550115,0.08699792866245828,False,No Diff
average_precision,Exponential,XGBClassifier,-0.09891216962702476,-2.4610743434699534,0.01558269587425285,True,Worse
average_precision,KNORAE,DESKL,-0.15202383072176479,-3.755486210983976,0.00029221705251509513,True,Worse
average_precision,KNORAE,DecisionTreeClassifier,0.13928268938715405,3.7128378209442827,0.0003389573879611725,True,Better
average_precision,KNORAE,Exponential,-0.12169683077020027,-2.895743592560699,0.0046550654830404175,True,Worse
average_precision,KNORAE,LogisticRegression,-0.15748594788622455,-4.0711816377848935,9.424820737618954e-05,True,Worse
average_precision,KNORAE,METADES,-0.14177201324925676,-3.5865535021297656,0.0005225645081053106,True,Worse
average_precision,KNORAE,MLA,0.08090825224582027,2.0007617235772126,0.04815609109781484,True,Better
average_precision,KNORAE,RandomForestClassifier,-0.17359520554744806,-4.28847400790819,4.186540506533361e-05,True,Worse
average_precision,KNORAE,SGDClassifier,0.12376842443108976,3.1022954398190654,0.0025024720536572487,True,Better
average_precision,KNORAE,StackingClassifier,-0.23057824719421477,-6.110212395036532,1.9699249597539657e-08,True,Worse
average_precision,KNORAE,VotingClassifier,-0.19583557014297676,-5.364821793612711,5.330764397863725e-07,True,Worse
average_precision,KNORAE,XGBClassifier,-0.22060900039722503,-5.705797387396698,1.2077587464504604e-07,True,Worse
average_precision,LogisticRegression,DESKL,0.005462117164459768,0.12411572843272228,0.9014752992911382,False,No Diff
average_precision,LogisticRegression,DecisionTreeClassifier,0.2967686372733786,7.098592409871673,1.9317874723107418e-10,True,Better
average_precision,LogisticRegression,Exponential,0.03578911711602428,0.774976890835733,0.44020042561083517,False,No Diff
average_precision,LogisticRegression,KNORAE,0.15748594788622455,4.0711816377848935,9.424820737618954e-05,True,Better
average_precision,LogisticRegression,METADES,0.015713934636967797,0.39804520868204224,0.6914539294703551,False,No Diff
average_precision,LogisticRegression,MLA,0.23839420013204482,5.827421380697008,7.04034822973151e-08,True,Better
average_precision,LogisticRegression,RandomForestClassifier,-0.01610925766122351,-0.4177875177681256,0.6770072275269312,False,No Diff
average_precision,LogisticRegression,SGDClassifier,0.2812543723173143,6.317783232264525,7.615522278448554e-09,True,Better
average_precision,LogisticRegression,StackingClassifier,-0.07309229930799022,-1.8269803402739815,0.07071567380937283,False,No Diff
average_precision,LogisticRegression,VotingClassifier,-0.0383496222567522,-0.9845482200074671,0.3272461083603815,False,No Diff
average_precision,LogisticRegression,XGBClassifier,-0.06312305251100048,-1.528595877834151,0.12955357717185256,False,No Diff
average_precision,METADES,DESKL,-0.010251817472508029,-0.2183650448546827,0.8275941977822849,False,No Diff
average_precision,METADES,DecisionTreeClassifier,0.2810547026364108,7.244600238008221,9.57589187611082e-11,True,Better
average_precision,METADES,Exponential,0.020075182479056486,0.4567080146910858,0.6488814060235766,False,No Diff
average_precision,METADES,KNORAE,0.14177201324925676,3.5865535021297656,0.0005225645081053106,True,Better
average_precision,METADES,LogisticRegression,-0.015713934636967797,-0.39804520868204224,0.6914539294703551,False,No Diff
average_precision,METADES,MLA,0.22268026549507702,5.257540165940874,8.426972372795057e-07,True,Better
average_precision,METADES,RandomForestClassifier,-0.031823192298191305,-0.718288375778726,0.47427125261036107,False,No Diff
average_precision,METADES,SGDClassifier,0.2655404376803465,5.946221825329442,4.135891847220573e-08,True,Better
average_precision,METADES,StackingClassifier,-0.08880623394495801,-2.3709146049540353,0.019680361297627836,True,Worse
average_precision,METADES,VotingClassifier,-0.05406355689372,-1.3840319783811061,0.1694609078394655,False,No Diff
average_precision,METADES,XGBClassifier,-0.07883698714796827,-1.8690933684266557,0.06456581113765235,False,No Diff
average_precision,MLA,DESKL,-0.23293208296758505,-6.094458617208593,2.1161709534393223e-08,True,Worse
average_precision,MLA,DecisionTreeClassifier,0.05837443714133378,1.7435804051306558,0.08433660704754145,False,No Diff
average_precision,MLA,Exponential,-0.20260508301602054,-4.678387829077908,9.173669666749715e-06,True,Worse
average_precision,MLA,KNORAE,-0.08090825224582027,-2.0007617235772126,0.04815609109781484,True,Worse
average_precision,MLA,LogisticRegression,-0.23839420013204482,-5.827421380697008,7.04034822973151e-08,True,Worse
average_precision,MLA,METADES,-0.22268026549507702,-5.257540165940874,8.426972372795057e-07,True,Worse
average_precision,MLA,RandomForestClassifier,-0.25450345779326833,-6.61789647101222,1.887303167041403e-09,True,Worse
average_precision,MLA,SGDClassifier,0.042860172185269496,1.0135414978496056,0.31327228281409364,False,No Diff
average_precision,MLA,StackingClassifier,-0.31148649944003504,-8.32167342746093,4.88629279662317e-13,True,Worse
average_precision,MLA,VotingClassifier,-0.276743822388797,-7.315182567996787,6.811356524488628e-11,True,Worse
average_precision,MLA,XGBClassifier,-0.3015172526430453,-7.873315063417726,4.4788279773853084e-12,True,Worse
average_precision,RandomForestClassifier,DESKL,0.021571374825683276,0.5561225274720745,0.5793818714524579,False,No Diff
average_precision,RandomForestClassifier,DecisionTreeClassifier,0.3128778949346021,7.558609650732503,2.0901676848703266e-11,True,Better
average_precision,RandomForestClassifier,Exponential,0.05189837477724779,1.1574378108880357,0.24987845778999906,False,No Diff
average_precision,RandomForestClassifier,KNORAE,0.17359520554744806,4.28847400790819,4.186540506533361e-05,True,Better
average_precision,RandomForestClassifier,LogisticRegression,0.01610925766122351,0.4177875177681256,0.6770072275269312,False,No Diff
average_precision,RandomForestClassifier,METADES,0.031823192298191305,0.718288375778726,0.47427125261036107,False,No Diff
average_precision,RandomForestClassifier,MLA,0.25450345779326833,6.61789647101222,1.887303167041403e-09,True,Better
average_precision,RandomForestClassifier,SGDClassifier,0.2973636299785378,7.107849688194384,1.8479400315975637e-10,True,Better
average_precision,RandomForestClassifier,StackingClassifier,-0.05698304164676671,-1.4544760866563653,0.14897757640357268,False,No Diff
average_precision,RandomForestClassifier,VotingClassifier,-0.022240364595528694,-0.553374027625443,0.5812548921112394,False,No Diff
average_precision,RandomForestClassifier,XGBClassifier,-0.04701379484977697,-1.1519871629878484,0.2521006591545402,False,No Diff
average_precision,SGDClassifier,DESKL,-0.27579225515285455,-7.236563724116673,9.954047739297563e-11,True,Worse
average_precision,SGDClassifier,DecisionTreeClassifier,0.015514264956064283,0.40889384040302373,0.6835007656357688,False,No Diff
average_precision,SGDClassifier,Exponential,-0.24546525520129003,-5.727580012114045,1.0968939663746367e-07,True,Worse
average_precision,SGDClassifier,KNORAE,-0.12376842443108976,-3.1022954398190654,0.0025024720536572487,True,Worse
average_precision,SGDClassifier,LogisticRegression,-0.2812543723173143,-6.317783232264525,7.615522278448554e-09,True,Worse
average_precision,SGDClassifier,METADES,-0.2655404376803465,-5.946221825329442,4.135891847220573e-08,True,Worse
average_precision,SGDClassifier,MLA,-0.042860172185269496,-1.0135414978496056,0.31327228281409364,False,No Diff
average_precision,SGDClassifier,RandomForestClassifier,-0.2973636299785378,-7.107849688194384,1.8479400315975637e-10,True,Worse
average_precision,SGDClassifier,StackingClassifier,-0.35434667162530453,-9.166492125268004,7.19240402341807e-15,True,Worse
average_precision,SGDClassifier,VotingClassifier,-0.3196039945740665,-7.744412474210497,8.431571940968112e-12,True,Worse
average_precision,SGDClassifier,XGBClassifier,-0.3443774248283148,-9.07329152161064,1.1476057082542236e-14,True,Worse
average_precision,StackingClassifier,DESKL,0.07855441647244998,1.9703905160460986,0.05158672277349938,False,No Diff
average_precision,StackingClassifier,DecisionTreeClassifier,0.3698609365813688,10.062658891247885,7.986151258316507e-17,True,Better
average_precision,StackingClassifier,Exponential,0.1088814164240145,2.559591846794422,0.011991963309737336,True,Better
average_precision,StackingClassifier,KNORAE,0.23057824719421477,6.110212395036532,1.9699249597539657e-08,True,Better
average_precision,StackingClassifier,LogisticRegression,0.07309229930799022,1.8269803402739815,0.07071567380937283,False,No Diff
average_precision,StackingClassifier,METADES,0.08880623394495801,2.3709146049540353,0.019680361297627836,True,Better
average_precision,StackingClassifier,MLA,0.31148649944003504,8.32167342746093,4.88629279662317e-13,True,Better
average_precision,StackingClassifier,RandomForestClassifier,0.05698304164676671,1.4544760866563653,0.14897757640357268,False,No Diff
average_precision,StackingClassifier,SGDClassifier,0.35434667162530453,9.166492125268004,7.19240402341807e-15,True,Better
average_precision,StackingClassifier,VotingClassifier,0.03474267705123801,0.9476088922062293,0.3456359414220955,False,No Diff
average_precision,StackingClassifier,XGBClassifier,0.00996924679698974,0.2657286243954908,0.7910007988342184,False,No Diff
average_precision,VotingClassifier,DESKL,0.04381173942121197,1.070661498308764,0.28692497344114115,False,No Diff
average_precision,VotingClassifier,DecisionTreeClassifier,0.3351182595301308,9.225473880424811,5.350477288963839e-15,True,Better
average_precision,VotingClassifier,Exponential,0.07413873937277649,1.728601584550115,0.08699792866245828,False,No Diff
average_precision,VotingClassifier,KNORAE,0.19583557014297676,5.364821793612711,5.330764397863725e-07,True,Better
average_precision,VotingClassifier,LogisticRegression,0.0383496222567522,0.9845482200074671,0.3272461083603815,False,No Diff
average_precision,VotingClassifier,METADES,0.05406355689372,1.3840319783811061,0.1694609078394655,False,No Diff
average_precision,VotingClassifier,MLA,0.276743822388797,7.315182567996787,6.811356524488628e-11,True,Better
average_precision,VotingClassifier,RandomForestClassifier,0.022240364595528694,0.553374027625443,0.5812548921112394,False,No Diff
average_precision,VotingClassifier,SGDClassifier,0.3196039945740665,7.744412474210497,8.431571940968112e-12,True,Better
average_precision,VotingClassifier,StackingClassifier,-0.03474267705123801,-0.9476088922062293,0.3456359414220955,False,No Diff
average_precision,VotingClassifier,XGBClassifier,-0.024773430254248274,-0.6162094793355319,0.5391705743553534,False,No Diff
average_precision,XGBClassifier,DESKL,0.06858516967546024,1.721691766863645,0.08824860468575382,False,No Diff
average_precision,XGBClassifier,DecisionTreeClassifier,0.3598916897843791,9.604463301740042,7.9799496895829e-16,True,Better
average_precision,XGBClassifier,Exponential,0.09891216962702476,2.4610743434699534,0.01558269587425285,True,Better
average_precision,XGBClassifier,KNORAE,0.22060900039722503,5.705797387396698,1.2077587464504604e-07,True,Better
average_precision,XGBClassifier,LogisticRegression,0.06312305251100048,1.528595877834151,0.12955357717185256,False,No Diff
average_precision,XGBClassifier,METADES,0.07883698714796827,1.8690933684266557,0.06456581113765235,False,No Diff
average_precision,XGBClassifier,MLA,0.3015172526430453,7.873315063417726,4.4788279773853084e-12,True,Better
average_precision,XGBClassifier,RandomForestClassifier,0.04701379484977697,1.1519871629878484,0.2521006591545402,False,No Diff
average_precision,XGBClassifier,SGDClassifier,0.3443774248283148,9.07329152161064,1.1476057082542236e-14,True,Better
average_precision,XGBClassifier,StackingClassifier,-0.00996924679698974,-0.2657286243954908,0.7910007988342184,False,No Diff
average_precision,XGBClassifier,VotingClassifier,0.024773430254248274,0.6162094793355319,0.5391705743553534,False,No Diff
