Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
recall,DESKL,DecisionTreeClassifier,0.0027846153846152744,0.6851118977846816,0.49487431621591005,False,No Diff
recall,DESKL,Exponential,0.00039999999999995595,0.28734788556634544,0.77444656409611,False,No Diff
recall,DESKL,KNORAE,0.02030769230769225,2.0816748492402812,0.03995200718901332,True,Better
recall,DESKL,LogisticRegression,0.008769230769230751,1.0298515443926524,0.30558919484674996,False,No Diff
recall,DESKL,METADES,0.0,0.0,1.0,False,No Diff
recall,DESKL,MLA,0.02909230769230764,2.174779344152294,0.03202838963456937,True,Better
recall,DESKL,RandomForestClassifier,0.0,0.0,1.0,False,No Diff
recall,DESKL,SGDClassifier,0.17759999999999987,3.9545820017363815,0.0001441088460212883,True,Better
recall,DESKL,StackingClassifier,0.0,0.0,1.0,False,No Diff
recall,DESKL,VotingClassifier,0.0,0.0,1.0,False,No Diff
recall,DESKL,XGBClassifier,0.01673846153846159,1.4125926509701323,0.16091153038014736,False,No Diff
recall,DecisionTreeClassifier,DESKL,-0.0027846153846152744,-0.6851118977846816,0.49487431621591005,False,No Diff
recall,DecisionTreeClassifier,Exponential,-0.0023846153846153184,-0.5509943146192349,0.5828789147931445,False,No Diff
recall,DecisionTreeClassifier,KNORAE,0.017523076923076975,1.7011755582271066,0.09204897017240327,False,No Diff
recall,DecisionTreeClassifier,LogisticRegression,0.005984615384615477,0.626545261750451,0.5323994514030304,False,No Diff
recall,DecisionTreeClassifier,METADES,-0.0027846153846152744,-0.6851118977846816,0.49487431621591005,False,No Diff
recall,DecisionTreeClassifier,MLA,0.026307692307692365,1.9192704324383096,0.057829687461580515,False,No Diff
recall,DecisionTreeClassifier,RandomForestClassifier,-0.0027846153846152744,-0.6851118977846816,0.49487431621591005,False,No Diff
recall,DecisionTreeClassifier,SGDClassifier,0.1748153846153846,3.9214667778348162,0.00016235009302563807,True,Better
recall,DecisionTreeClassifier,StackingClassifier,-0.0027846153846152744,-0.6851118977846816,0.49487431621591005,False,No Diff
recall,DecisionTreeClassifier,VotingClassifier,-0.0027846153846152744,-0.6851118977846816,0.49487431621591005,False,No Diff
recall,DecisionTreeClassifier,XGBClassifier,0.013953846153846317,1.1293021123704492,0.2614993532723283,False,No Diff
recall,Exponential,DESKL,-0.00039999999999995595,-0.28734788556634544,0.77444656409611,False,No Diff
recall,Exponential,DecisionTreeClassifier,0.0023846153846153184,0.5509943146192349,0.5828789147931445,False,No Diff
recall,Exponential,KNORAE,0.019907692307692293,2.0405591740462325,0.04395680029299418,True,Better
recall,Exponential,LogisticRegression,0.008369230769230795,0.9644559123740615,0.33716739250372363,False,No Diff
recall,Exponential,METADES,-0.00039999999999995595,-0.28734788556634544,0.77444656409611,False,No Diff
recall,Exponential,MLA,0.028692307692307684,2.1396809658194296,0.03483860000802652,True,Better
