model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max
DESKL,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
DecisionTreeClassifier,100.0,0.17345601870515193,0.03810352773255319,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1645569620253164,0.3354430379746835
Exponential,100.0,0.15992098685801817,0.0026678061776657653,0.1528662420382165,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1719745222929936
KNORAE,100.0,0.18942917036200912,0.026467384941716163,0.1401273885350318,0.1719745222929936,0.1847133757961783,0.2025316455696202,0.2993630573248407
LogisticRegression,100.0,0.2515988067403047,0.05774735520596029,0.1592356687898089,0.207600983632992,0.2420382165605095,0.2882165605095541,0.4203821656050955
METADES,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
MLA,100.0,0.22085342255905827,0.06286722347780242,0.1592356687898089,0.1719745222929936,0.2031766508102878,0.2420382165605095,0.4394904458598726
RandomForestClassifier,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
SGDClassifier,100.0,0.5894557768281867,0.17038866387783663,0.1592356687898089,0.5015923566878981,0.6455696202531646,0.7074699669434814,0.802547770700637
StackingClassifier,100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
VotingClassifier,100.0,0.1610654680319277,0.007241949751649811,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.2088607594936709
XGBClassifier,100.0,0.32943158913166165,0.12501254275932058,0.1582278481012658,0.22257719906474238,0.3301620575667177,0.4394904458598726,0.5732484076433121
