model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
DESKL,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
DecisionTreeClassifier,100.0,0.2784181437881967,0.009396568673957625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.275104729524619,0.3137254901960784
Exponential,100.0,0.27534476409017145,0.0027735944852920495,0.2651933701657458,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2841530054644808
KNORAE,100.0,0.27858132191419266,0.008937783087967738,0.2458100558659217,0.2747252747252747,0.2777777777777778,0.2824858757062147,0.3132530120481928
LogisticRegression,100.0,0.298018801327597,0.01549975402061272,0.2747252747252747,0.2868981846882399,0.2958579881656805,0.30722184352041204,0.3546099290780142
METADES,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
MLA,100.0,0.28540762391801117,0.01474858558506487,0.2650602409638554,0.2758636391233076,0.28080031539522965,0.29164246156229423,0.3333333333333333
RandomForestClassifier,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
SGDClassifier,100.0,0.4065776001509975,0.06897514908906754,0.2747252747252747,0.3625710227272727,0.40912035237725086,0.4536363636363636,0.5641025641025641
StackingClassifier,100.0,0.2753634937170218,0.002468565715332763,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
VotingClassifier,100.0,0.2757075664370592,0.003201818840063911,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2937853107344633
XGBClassifier,100.0,0.3238812586989221,0.03901476588276567,0.273224043715847,0.2906976744186046,0.3189578910120311,0.35915882678472605,0.417391304347826
