model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,100.0,0.9972153846153846,0.011679162856053924,0.92,1.0,1.0,1.0,1.0
Exponential,100.0,0.9996,0.0040000000000000036,0.96,1.0,1.0,1.0,1.0
KNORAE,100.0,0.9796923076923078,0.028032103320443997,0.88,0.96,1.0,1.0,1.0
LogisticRegression,100.0,0.9912307692307692,0.024467797648134264,0.88,1.0,1.0,1.0,1.0
METADES,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MLA,100.0,0.9709076923076922,0.03843890242983999,0.88,0.96,1.0,1.0,1.0
RandomForestClassifier,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SGDClassifier,100.0,0.8223999999999999,0.129047733626905,0.44,0.72,0.84,0.92,1.0
StackingClassifier,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
VotingClassifier,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier,100.0,0.9832615384615383,0.034049175658724416,0.84,0.9611538461538461,1.0,1.0,1.0
