model,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max
DESKL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DecisionTreeClassifier,100.0,0.016935520619731137,0.04660039359428164,0.0,0.0,0.0,0.0,0.2180451127819548
Exponential,100.0,0.00037878787878787597,0.0019781551813147355,0.0,0.0,0.0,0.0,0.0151515151515151
KNORAE,100.0,0.03927489177489173,0.03223100418318237,0.0,0.0151515151515151,0.0378787878787878,0.053030303030303,0.1742424242424242
LogisticRegression,100.0,0.11105547960811114,0.07084071116687243,0.0,0.053030303030303,0.0984848484848484,0.15340909090909088,0.3106060606060606
METADES,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA,100.0,0.0783333333333333,0.07936682920100512,0.0,0.0151515151515151,0.053030303030303,0.1136363636363636,0.3560606060606061
RandomForestClassifier,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGDClassifier,100.0,0.5452694235588972,0.22059957964700996,0.0,0.4242424242424242,0.625,0.7045454545454546,0.8257575757575758
StackingClassifier,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VotingClassifier,100.0,0.0016666666666666653,0.008099439036646342,0.0,0.0,0.0,0.0,0.053030303030303
XGBClassifier,100.0,0.205158920027341,0.15232307646847518,0.0,0.0738636363636363,0.20753588516746405,0.3333333333333333,0.5075757575757576
