Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
specificity,DESKL,DecisionTreeClassifier,0.22261335156071987,3.2423991738537574,0.0016158102800865868,True,Better
specificity,DESKL,Exponential,-0.06640009113693335,-1.7080603912914956,0.09075903014643293,False,No Diff
specificity,DESKL,KNORAE,-0.1480832763727502,-4.009793449108629,0.00011797327422023653,True,Worse
specificity,DESKL,LogisticRegression,-0.029933356117566756,-0.7637892628304204,0.4468093131919888,False,No Diff
specificity,DESKL,METADES,-0.11090282524493045,-2.940535632243282,0.004078987671830161,True,Worse
specificity,DESKL,MLA,0.08535030758714968,1.6145892870397336,0.10958250440509062,False,No Diff
specificity,DESKL,RandomForestClassifier,0.15612440191387544,2.4727322766816546,0.015112722478654415,True,Better
specificity,DESKL,SGDClassifier,0.005598086124401935,0.08933838379073988,0.9289934762705498,False,No Diff
specificity,DESKL,StackingClassifier,-0.08723342447026683,-2.216959053430681,0.028913905194418436,True,Worse
specificity,DESKL,VotingClassifier,0.11208760537707896,1.3273198821020729,0.18745574620747504,False,No Diff
specificity,DESKL,XGBClassifier,-0.13353554340396456,-3.2642390786549282,0.0015075300401947594,True,Worse
specificity,DecisionTreeClassifier,DESKL,-0.22261335156071987,-3.2423991738537574,0.0016158102800865868,True,Worse
specificity,DecisionTreeClassifier,Exponential,-0.2890134426976532,-4.338433776351743,3.461517096866418e-05,True,Worse
specificity,DecisionTreeClassifier,KNORAE,-0.3706966279334701,-5.818456313915117,7.32732970555719e-08,True,Worse
specificity,DecisionTreeClassifier,LogisticRegression,-0.25254670767828663,-4.006527476192361,0.00011938382819928914,True,Worse
specificity,DecisionTreeClassifier,METADES,-0.3335161768056503,-5.126011589621609,1.4680062234488872e-06,True,Worse
specificity,DecisionTreeClassifier,MLA,-0.1372630439735702,-1.6847975328326614,0.09517769625490574,False,No Diff
specificity,DecisionTreeClassifier,RandomForestClassifier,-0.06648894964684443,-0.8112712974177507,0.4191560647871776,False,No Diff
specificity,DecisionTreeClassifier,SGDClassifier,-0.21701526543631794,-2.7446160438190614,0.007194594315045104,True,Worse
specificity,DecisionTreeClassifier,StackingClassifier,-0.3098467760309867,-5.072021651224229,1.8397751466889643e-06,True,Worse
specificity,DecisionTreeClassifier,VotingClassifier,-0.11052574618364092,-1.1608990806256898,0.24847454781571077,False,No Diff
specificity,DecisionTreeClassifier,XGBClassifier,-0.35614889496468444,-5.260850173400019,8.309317553311615e-07,True,Worse
specificity,Exponential,DESKL,0.06640009113693335,1.7080603912914956,0.09075903014643293,False,No Diff
specificity,Exponential,DecisionTreeClassifier,0.2890134426976532,4.338433776351743,3.461517096866418e-05,True,Better
specificity,Exponential,KNORAE,-0.08168318523581686,-2.97725818324165,0.0036564989589630355,True,Worse
specificity,Exponential,LogisticRegression,0.03646673501936659,1.418801109079952,0.15909761754415713,False,No Diff
specificity,Exponential,METADES,-0.0445027341079971,-1.3143479355793666,0.19176618271019902,False,No Diff
specificity,Exponential,MLA,0.15175039872408302,3.239745468371072,0.001629451356788045,True,Better
specificity,Exponential,RandomForestClassifier,0.2225244930508088,4.024417747228456,0.00011185045479430838,True,Better
specificity,Exponential,SGDClassifier,0.07199817726133528,1.2855177722658688,0.2016104058029108,False,No Diff
specificity,Exponential,StackingClassifier,-0.02083333333333348,-0.7185745117877836,0.4740956630523584,False,No Diff
specificity,Exponential,VotingClassifier,0.1784876965140123,2.208248631638355,0.029534468730713664,True,Better
specificity,Exponential,XGBClassifier,-0.06713545226703121,-2.178609050596295,0.03173403120092677,True,Worse
specificity,KNORAE,DESKL,0.1480832763727502,4.009793449108629,0.00011797327422023653,True,Better
specificity,KNORAE,DecisionTreeClassifier,0.3706966279334701,5.818456313915117,7.32732970555719e-08,True,Better
specificity,KNORAE,Exponential,0.08168318523581686,2.97725818324165,0.0036564989589630355,True,Better
specificity,KNORAE,LogisticRegression,0.11814992025518345,4.590933067509558,1.2980789871360922e-05,True,Better
specificity,KNORAE,METADES,0.03718045112781976,1.31665045309927,0.19099572568774115,False,No Diff
specificity,KNORAE,MLA,0.23343358395989988,5.095044788698925,1.671184940713576e-06,True,Better
specificity,KNORAE,RandomForestClassifier,0.30420767828662565,5.442418251351811,3.8169166223082555e-07,True,Better
specificity,KNORAE,SGDClassifier,0.15368136249715214,2.757743370837336,0.006932018188643569,True,Better
specificity,KNORAE,StackingClassifier,0.060849851902483376,2.3773925188938736,0.019356872309292325,True,Better
specificity,KNORAE,VotingClassifier,0.26017088174982916,3.2563026912657445,0.0015460681164902279,True,Better
specificity,KNORAE,XGBClassifier,0.014547732968785643,0.4510500123115586,0.6529399239225026,False,No Diff
specificity,LogisticRegression,DESKL,0.029933356117566756,0.7637892628304204,0.4468093131919888,False,No Diff
specificity,LogisticRegression,DecisionTreeClassifier,0.25254670767828663,4.006527476192361,0.00011938382819928914,True,Better
specificity,LogisticRegression,Exponential,-0.03646673501936659,-1.418801109079952,0.15909761754415713,False,No Diff
specificity,LogisticRegression,KNORAE,-0.11814992025518345,-4.590933067509558,1.2980789871360922e-05,True,Worse
specificity,LogisticRegression,METADES,-0.08096946912736369,-2.4342194923874474,0.016715323724260007,True,Worse
specificity,LogisticRegression,MLA,0.11528366370471643,2.5132607674145406,0.013575927382150906,True,Better
specificity,LogisticRegression,RandomForestClassifier,0.1860577580314422,3.3971083968548417,0.0009819328527057784,True,Better
specificity,LogisticRegression,SGDClassifier,0.03553144224196869,0.6256779593596988,0.5329659498397741,False,No Diff
specificity,LogisticRegression,StackingClassifier,-0.05730006835270007,-2.2160503063413888,0.02897811101404454,True,Worse
specificity,LogisticRegression,VotingClassifier,0.14202096149464571,1.8022226346390986,0.07455353698682705,False,No Diff
specificity,LogisticRegression,XGBClassifier,-0.1036021872863978,-3.137354075501423,0.00224576685499661,True,Worse
specificity,METADES,DESKL,0.11090282524493045,2.940535632243282,0.004078987671830161,True,Better
specificity,METADES,DecisionTreeClassifier,0.3335161768056503,5.126011589621609,1.4680062234488872e-06,True,Better
specificity,METADES,Exponential,0.0445027341079971,1.3143479355793666,0.19176618271019902,False,No Diff
specificity,METADES,KNORAE,-0.03718045112781976,-1.31665045309927,0.19099572568774115,False,No Diff
specificity,METADES,LogisticRegression,0.08096946912736369,2.4342194923874474,0.016715323724260007,True,Better
specificity,METADES,MLA,0.19625313283208012,3.9965411669722015,0.00012379769029504298,True,Better
specificity,METADES,RandomForestClassifier,0.2670272271588059,4.373524808975745,3.0263333464359365e-05,True,Better
specificity,METADES,SGDClassifier,0.11650091136933238,1.9936994918436994,0.04893595771651358,True,Better
specificity,METADES,StackingClassifier,0.023669400774663618,0.6635804576030636,0.5085012065982748,False,No Diff
specificity,METADES,VotingClassifier,0.2229904306220094,2.7757410592092286,0.0065862209136898974,True,Better
specificity,METADES,XGBClassifier,-0.022632718159034115,-0.5926265971876479,0.5547823257897866,False,No Diff
specificity,MLA,DESKL,-0.08535030758714968,-1.6145892870397336,0.10958250440509062,False,No Diff
specificity,MLA,DecisionTreeClassifier,0.1372630439735702,1.6847975328326614,0.09517769625490574,False,No Diff
specificity,MLA,Exponential,-0.15175039872408302,-3.239745468371072,0.001629451356788045,True,Worse
specificity,MLA,KNORAE,-0.23343358395989988,-5.095044788698925,1.671184940713576e-06,True,Worse
specificity,MLA,LogisticRegression,-0.11528366370471643,-2.5132607674145406,0.013575927382150906,True,Worse
specificity,MLA,METADES,-0.19625313283208012,-3.9965411669722015,0.00012379769029504298,True,Worse
specificity,MLA,RandomForestClassifier,0.07077409432672577,1.107556090857579,0.2707372856563533,False,No Diff
specificity,MLA,SGDClassifier,-0.07975222146274774,-1.0777456863618107,0.2837663549037707,False,No Diff
specificity,MLA,StackingClassifier,-0.1725837320574165,-3.5363976465978477,0.0006189001465173594,True,Worse
specificity,MLA,VotingClassifier,0.026737297789929282,0.2772395750378941,0.7821742252134699,False,No Diff
specificity,MLA,XGBClassifier,-0.21888585099111424,-4.744696387454225,7.0335042155666085e-06,True,Worse
specificity,RandomForestClassifier,DESKL,-0.15612440191387544,-2.4727322766816546,0.015112722478654415,True,Worse
specificity,RandomForestClassifier,DecisionTreeClassifier,0.06648894964684443,0.8112712974177507,0.4191560647871776,False,No Diff
specificity,RandomForestClassifier,Exponential,-0.2225244930508088,-4.024417747228456,0.00011185045479430838,True,Worse
specificity,RandomForestClassifier,KNORAE,-0.30420767828662565,-5.442418251351811,3.8169166223082555e-07,True,Worse
specificity,RandomForestClassifier,LogisticRegression,-0.1860577580314422,-3.3971083968548417,0.0009819328527057784,True,Worse
specificity,RandomForestClassifier,METADES,-0.2670272271588059,-4.373524808975745,3.0263333464359365e-05,True,Worse
specificity,RandomForestClassifier,MLA,-0.07077409432672577,-1.107556090857579,0.2707372856563533,False,No Diff
specificity,RandomForestClassifier,SGDClassifier,-0.1505263157894735,-2.1289403625139625,0.03574022517701342,True,Worse
specificity,RandomForestClassifier,StackingClassifier,-0.24335782638414227,-4.4070262065660115,2.660422978347167e-05,True,Worse
specificity,RandomForestClassifier,VotingClassifier,-0.044036796536796485,-0.4835385902040157,0.6297811373180129,False,No Diff
specificity,RandomForestClassifier,XGBClassifier,-0.28965994531784,-5.42150127341156,4.177527075732048e-07,True,Worse
specificity,SGDClassifier,DESKL,-0.005598086124401935,-0.08933838379073988,0.9289934762705498,False,No Diff
specificity,SGDClassifier,DecisionTreeClassifier,0.21701526543631794,2.7446160438190614,0.007194594315045104,True,Better
specificity,SGDClassifier,Exponential,-0.07199817726133528,-1.2855177722658688,0.2016104058029108,False,No Diff
