model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max
DESKL,100.0,0.5872018866403289,0.13174269740935052,0.3375796178343949,0.4873417721518987,0.5796178343949044,0.6878980891719745,0.8860759493670886
DecisionTreeClassifier,100.0,0.7552293799887124,0.12568773688658386,0.5031847133757962,0.6671974522292994,0.7452229299363057,0.8407643312101911,1.197452229299363
Exponential,100.0,0.6236495202773522,0.14451468410323867,0.3312101910828025,0.5254777070063694,0.5968314117552205,0.7388535031847133,1.10828025477707
KNORAE,100.0,0.8514649681528664,0.1659230747064868,0.4430379746835443,0.7388535031847133,0.8471337579617835,0.9762355881641538,1.3121019108280254
LogisticRegression,100.0,0.5595613964363461,0.1381881570712411,0.2356687898089172,0.4761146496815286,0.5445859872611465,0.6385350318471337,1.038216560509554
METADES,100.0,0.6352225268080303,0.14318406579902343,0.3694267515923566,0.5286624203821656,0.6285777634443279,0.732484076433121,0.9872611464968152
MLA,100.0,0.7803970813512858,0.1544184125159619,0.464968152866242,0.6751592356687898,0.7587277271627832,0.8789808917197452,1.3544303797468351
RandomForestClassifier,100.0,0.556202934773845,0.10686407760152958,0.3566878980891719,0.4761146496815286,0.5509554140127388,0.6311577844069983,0.8987341772151899
SGDClassifier,100.0,0.6478739014754494,0.14857150440906386,0.310126582278481,0.5562565508344754,0.6369426751592356,0.7388535031847133,1.0764331210191085
StackingClassifier,100.0,0.5024312666290414,0.11503454636299153,0.2611464968152866,0.4267515923566879,0.4904458598726114,0.5866423445940498,0.8291139240506329
VotingClassifier,100.0,0.6285821978553576,0.15494824908414281,0.3248407643312102,0.5143312101910829,0.6126945093928888,0.7472083366927356,1.1210191082802548
XGBClassifier,100.0,0.5366737885995323,0.12829123102282047,0.2848101265822785,0.4387950495847779,0.535031847133758,0.6178343949044586,0.9113924050632912
