model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DESKL,100.0,0.5671686052596023,0.08445406785477047,0.3460014546787809,0.5111937918012669,0.5553756748317398,0.6260053217284873,0.7908919377526364
DecisionTreeClassifier,100.0,0.27284557023495415,0.06696439449442353,0.1592356687898089,0.22564242356350908,0.26312231237310185,0.3181330499331305,0.4659944955408046
Exponential,100.0,0.5517041673278255,0.08601644319356433,0.3527319930015738,0.49566466754835486,0.5549055749290361,0.6085053205804931,0.7985009784595805
KNORAE,100.0,0.41693455774139737,0.07325746586923758,0.2500061884572432,0.3665100930479359,0.41441294113474425,0.46985173211825065,0.5637586980772605
LogisticRegression,100.0,0.5719715420318825,0.08752975584731289,0.3617106486659912,0.5272407583771337,0.5768902782100584,0.6270283583778283,0.7587581662990639
METADES,100.0,0.5734977086122963,0.09276693456543068,0.3761493625983395,0.5066130243379378,0.5706258141067686,0.6333502085977346,0.7922078278368585
MLA,100.0,0.3391116230516472,0.081713379699523,0.2068505844127514,0.27990015077584873,0.32897730953194015,0.37586125542738613,0.6298320320479778
RandomForestClassifier,100.0,0.5917802658066418,0.07994519515366293,0.396614016801559,0.5397211570666558,0.5842652504763932,0.6402516214308728,0.7577712779761488
SGDClassifier,100.0,0.3023476505444974,0.0949369805948367,0.155422443046907,0.23805996774351196,0.2817040624014034,0.3235077663155963,0.6605882597599328
StackingClassifier,100.0,0.6518279315853174,0.07858959344327486,0.4857005299648171,0.5966198487805418,0.6540104380312435,0.7028401409373645,0.8524286602804648
VotingClassifier,100.0,0.612526367134525,0.07667264139168063,0.3840917743049693,0.5604251628557135,0.6166661251966559,0.6662123403122591,0.7825681303448112
XGBClassifier,100.0,0.6400474324031719,0.07435370731228638,0.4803913617856307,0.590345925086342,0.636084011209157,0.6911665214903779,0.8040629357556925
