model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
DESKL,100.0,0.43867164384279284,0.05405511319020514,0.32,0.39679260133805583,0.43577050012693574,0.47268258426966286,0.5753424657534246
DecisionTreeClassifier,100.0,0.3429505648441297,0.047219509904896706,0.2526315789473684,0.31504152734332863,0.3383484162895928,0.3657051282051281,0.4565217391304347
Exponential,100.0,0.4526093980277086,0.047615849986310944,0.3142857142857143,0.4210526315789473,0.45407685098406747,0.4798569277108434,0.5822784810126582
KNORAE,100.0,0.4180154394545783,0.06456380978811616,0.2553191489361702,0.3746606334841629,0.418979744936234,0.46209587513935335,0.5846153846153846
LogisticRegression,100.0,0.4548060023590791,0.04948649370740733,0.3043478260869565,0.4219298245614035,0.45346320346320346,0.4938997821350762,0.6
METADES,100.0,0.4740091891933573,0.05802218352430953,0.3166666666666666,0.4332557502738225,0.4769012082444918,0.5077777777777778,0.6229508196721312
MLA,100.0,0.3628590548919589,0.04735294887829338,0.2,0.3333333333333333,0.3597752808988764,0.3908045977011494,0.4888888888888889
RandomForestClassifier,100.0,0.40021248892231837,0.05262332909177152,0.2857142857142857,0.35927483974358976,0.39819819819819824,0.4449838187702265,0.5054945054945055
SGDClassifier,100.0,0.4261180655542375,0.06451701409710081,0.2814814814814815,0.37812340642529324,0.42605042016806716,0.46919879062736203,0.5901639344262295
StackingClassifier,100.0,0.4990427917267406,0.05149749289783351,0.3838383838383838,0.4638694638694638,0.5,0.5309236947791165,0.6133333333333333
VotingClassifier,100.0,0.40677930667010803,0.07845728556717617,0.2463768115942029,0.3518270944741533,0.419047619047619,0.4631578947368421,0.5822784810126582
XGBClassifier,100.0,0.5165370504952433,0.05605991573629928,0.4,0.4773397199705232,0.516016016016016,0.5533625730994153,0.6567164179104478
