model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL,100.0,0.8331846153846153,0.08533976996300069,0.56,0.76,0.84,0.88,1.0
DecisionTreeClassifier,100.0,0.845123076923077,0.10589623483179661,0.48,0.7923076923076924,0.84,0.92,1.0
Exponential,100.0,0.7753076923076923,0.09974646600319588,0.44,0.72,0.8,0.84,0.9615384615384616
KNORAE,100.0,0.5894307692307692,0.10832176018512499,0.24,0.515,0.6,0.6603846153846153,0.8461538461538461
LogisticRegression,100.0,0.8346461538461537,0.08252412705525304,0.56,0.7923076923076924,0.84,0.8811538461538462,1.0
METADES,100.0,0.7445538461538463,0.10100775343635043,0.52,0.68,0.76,0.801923076923077,1.0
MLA,100.0,0.7571076923076923,0.1221402351602709,0.4230769230769231,0.68,0.76,0.84,0.9615384615384616
RandomForestClassifier,100.0,0.9346769230769231,0.0608518101685476,0.6923076923076923,0.92,0.96,0.9615384615384616,1.0
SGDClassifier,100.0,0.7978769230769229,0.12106806178445584,0.44,0.72,0.8,0.8934615384615384,1.0
StackingClassifier,100.0,0.8401846153846155,0.07111912422726328,0.64,0.8,0.84,0.8811538461538462,0.9615384615384616
VotingClassifier,100.0,0.8662153846153846,0.09048522595535417,0.6,0.8319230769230769,0.88,0.92,1.0
XGBClassifier,100.0,0.7944615384615384,0.09068108398276765,0.56,0.76,0.8,0.8546153846153846,0.9615384615384616
