model,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max
DESKL,100.0,0.6183823194349509,0.09316279191609576,0.3863636363636363,0.5681818181818182,0.6264240145819093,0.6824162679425837,0.8181818181818182
DecisionTreeClassifier,100.0,0.3957689678742311,0.17337070456651324,0.0,0.3257575757575757,0.3939393939393939,0.5227272727272727,0.7727272727272727
Exponential,100.0,0.6847824105718843,0.05853170870009458,0.5151515151515151,0.6439393939393939,0.6893939393939394,0.7272727272727273,0.8636363636363636
KNORAE,100.0,0.7664655958077013,0.048283405005079154,0.6363636363636364,0.7363437001594896,0.7689393939393939,0.7985019366598314,0.8787878787878788
LogisticRegression,100.0,0.6483156755525177,0.05509611529500957,0.4696969696969697,0.6060606060606061,0.6553030303030303,0.6893939393939394,0.7651515151515151
METADES,100.0,0.7292851446798814,0.07969986508110626,0.4242424242424242,0.696969696969697,0.7396331738437001,0.7821969696969697,0.8721804511278195
MLA,100.0,0.5330320118478012,0.12333236299143867,0.2348484848484848,0.4393939393939394,0.5283094098883572,0.6174242424242424,0.8409090909090909
RandomForestClassifier,100.0,0.46225791752107553,0.14534538684029608,0.053030303030303,0.375,0.4848484848484848,0.5757575757575758,0.7045454545454546
SGDClassifier,100.0,0.6127842333105491,0.15258681776880023,0.1287878787878787,0.5511363636363635,0.6515151515151515,0.706439393939394,0.8636363636363636
StackingClassifier,100.0,0.7056157439052178,0.061348772548239255,0.5303030303030303,0.6590909090909091,0.7159090909090909,0.7533037138300296,0.8181818181818182
VotingClassifier,100.0,0.506294714057872,0.21923102413870693,0.0,0.3863636363636363,0.5795454545454546,0.6837121212121212,0.7954545454545454
XGBClassifier,100.0,0.7519178628389153,0.06919658072274104,0.5984848484848485,0.7045454545454546,0.7575757575757576,0.8034005468215994,0.9015151515151516
