model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DESKL,100.0,0.5872018866403289,0.13174269740935052,0.3375796178343949,0.4873417721518987,0.5796178343949044,0.6878980891719745,0.8860759493670886,100.0,0.6526735467225672,0.07457473028484055,0.4585987261146497,0.6114649681528662,0.6624203821656051,0.7011106183987744,0.802547770700637,100.0,0.3004162589569799,0.04846615660038367,0.2,0.26462136578769435,0.2979023799919322,0.32793288934426224,0.4375,100.0,0.8331846153846153,0.08533976996300069,0.56,0.76,0.84,0.88,1.0,100.0,0.6183823194349509,0.09316279191609576,0.3863636363636363,0.5681818181818182,0.6264240145819093,0.6824162679425837,0.8181818181818182,100.0,0.43867164384279284,0.05405511319020514,0.32,0.39679260133805583,0.43577050012693574,0.47268258426966286,0.5753424657534246,100.0,0.826768542860648,0.047043452806403825,0.7003030303030303,0.7920658508158508,0.8298484848484848,0.8628787878787879,0.9193939393939394,100.0,0.5671686052596023,0.08445406785477047,0.3460014546787809,0.5111937918012669,0.5553756748317398,0.6260053217284873,0.7908919377526364
DecisionTreeClassifier,100.0,0.7552293799887124,0.12568773688658386,0.5031847133757962,0.6671974522292994,0.7452229299363057,0.8407643312101911,1.197452229299363,100.0,0.4674631137627994,0.13469978359208712,0.1582278481012658,0.4140127388535032,0.464968152866242,0.5605095541401274,0.7515923566878981,100.0,0.21791470288158632,0.040115948826569596,0.1575342465753424,0.19373593398349587,0.21114551083591326,0.23493785548767637,0.3478260869565217,100.0,0.845123076923077,0.10589623483179661,0.48,0.7923076923076924,0.84,0.92,1.0,100.0,0.3957689678742311,0.17337070456651324,0.0,0.3257575757575757,0.3939393939393939,0.5227272727272727,0.7727272727272727,100.0,0.3429505648441297,0.047219509904896706,0.2526315789473684,0.31504152734332863,0.3383484162895928,0.3657051282051281,0.4565217391304347,100.0,0.6751145315211105,0.07078280253438653,0.5,0.6355987762237763,0.6824242424242424,0.7228787878787879,0.804341491841492,100.0,0.27284557023495415,0.06696439449442353,0.1592356687898089,0.22564242356350908,0.26312231237310185,0.3181330499331305,0.4659944955408046
Exponential,100.0,0.6236495202773522,0.14451468410323867,0.3312101910828025,0.5254777070063694,0.5968314117552205,0.7388535031847133,1.10828025477707,100.0,0.6992344594049825,0.04442588669995062,0.5859872611464968,0.6640228170603886,0.6962025316455697,0.7261146496815286,0.8343949044585988,100.0,0.32190383954666174,0.0416589862790437,0.2435897435897435,0.2969600725952813,0.3162280701754385,0.33982336411079883,0.4857142857142857,100.0,0.7753076923076923,0.09974646600319588,0.44,0.72,0.8,0.84,0.9615384615384616,100.0,0.6847824105718843,0.05853170870009458,0.5151515151515151,0.6439393939393939,0.6893939393939394,0.7272727272727273,0.8636363636363636,100.0,0.4526093980277086,0.047615849986310944,0.3142857142857143,0.4210526315789473,0.45407685098406747,0.4798569277108434,0.5822784810126582,100.0,0.8177394947158105,0.04628535533092391,0.6521212121212121,0.7884848484848486,0.8147668997668998,0.8521969696969698,0.916060606060606,100.0,0.5517041673278255,0.08601644319356433,0.3527319930015738,0.49566466754835486,0.5549055749290361,0.6085053205804931,0.7985009784595805
KNORAE,100.0,0.8514649681528664,0.1659230747064868,0.4430379746835443,0.7388535031847133,0.8471337579617835,0.9762355881641538,1.3121019108280254,100.0,0.7382298637426427,0.0396852810836461,0.6305732484076433,0.708397161976941,0.7388535031847133,0.7647041038458438,0.8291139240506329,100.0,0.3271703691987699,0.05364010965440881,0.2,0.29575163398692805,0.32495285983658073,0.35666666666666663,0.4871794871794871,100.0,0.5894307692307692,0.10832176018512499,0.24,0.515,0.6,0.6603846153846153,0.8461538461538461,100.0,0.7664655958077013,0.048283405005079154,0.6363636363636364,0.7363437001594896,0.7689393939393939,0.7985019366598314,0.8787878787878788,100.0,0.4180154394545783,0.06456380978811616,0.2553191489361702,0.3746606334841629,0.418979744936234,0.46209587513935335,0.5846153846153846,100.0,0.7395720936957779,0.058333534071521094,0.5422727272727274,0.7055365686944635,0.7386363636363636,0.7779166666666667,0.8524184149184149,100.0,0.41693455774139737,0.07325746586923758,0.2500061884572432,0.3665100930479359,0.41441294113474425,0.46985173211825065,0.5637586980772605
LogisticRegression,100.0,0.5595613964363461,0.1381881570712411,0.2356687898089172,0.4761146496815286,0.5445859872611465,0.6385350318471337,1.038216560509554,100.0,0.6780609529952432,0.0477046412611539,0.5414012738853503,0.643312101910828,0.6847133757961783,0.7133757961783439,0.7961783439490446,100.0,0.3136428318907914,0.03979077509341079,0.208955223880597,0.2871819960861057,0.31400560224089635,0.3426702105908812,0.4363636363636363,100.0,0.8346461538461537,0.08252412705525304,0.56,0.7923076923076924,0.84,0.8811538461538462,1.0,100.0,0.6483156755525177,0.05509611529500957,0.4696969696969697,0.6060606060606061,0.6553030303030303,0.6893939393939394,0.7651515151515151,100.0,0.4548060023590791,0.04948649370740733,0.3043478260869565,0.4219298245614035,0.45346320346320346,0.4938997821350762,0.6,100.0,0.8372360542965805,0.044871082209013376,0.7033799533799534,0.8104545454545454,0.8428787878787878,0.8640821678321678,0.9366666666666668,100.0,0.5719715420318825,0.08752975584731289,0.3617106486659912,0.5272407583771337,0.5768902782100584,0.6270283583778283,0.7587581662990639
METADES,100.0,0.6352225268080303,0.14318406579902343,0.3694267515923566,0.5286624203821656,0.6285777634443279,0.732484076433121,0.9872611464968152,100.0,0.7317471579456583,0.06111146702045253,0.4777070063694267,0.7006369426751592,0.7388535031847133,0.7770700636942676,0.8544303797468354,100.0,0.3525908021303142,0.05878809774234849,0.2,0.3096816976127321,0.35239651416122,0.38922764227642276,0.5277777777777778,100.0,0.7445538461538463,0.10100775343635043,0.52,0.68,0.76,0.801923076923077,1.0,100.0,0.7292851446798814,0.07969986508110626,0.4242424242424242,0.696969696969697,0.7396331738437001,0.7821969696969697,0.8721804511278195,100.0,0.4740091891933573,0.05802218352430953,0.3166666666666666,0.4332557502738225,0.4769012082444918,0.5077777777777778,0.6229508196721312,100.0,0.8272708142734458,0.050639030229238,0.6757575757575758,0.7986363636363636,0.8274242424242424,0.8621212121212121,0.9423076923076924,100.0,0.5734977086122963,0.09276693456543068,0.3761493625983395,0.5066130243379378,0.5706258141067686,0.6333502085977346,0.7922078278368585
MLA,100.0,0.7803970813512858,0.1544184125159619,0.464968152866242,0.6751592356687898,0.7587277271627832,0.8789808917197452,1.3544303797468351,100.0,0.5687982746109812,0.0927268643309933,0.3544303797468354,0.49920382165605093,0.565085060066113,0.6369426751592356,0.7898089171974523,100.0,0.24216017724789193,0.04166065371466583,0.1294117647058823,0.21556022041458933,0.2364589400116482,0.26369495166487644,0.3823529411764705,100.0,0.7571076923076923,0.1221402351602709,0.4230769230769231,0.68,0.76,0.84,0.9615384615384616,100.0,0.5330320118478012,0.12333236299143867,0.2348484848484848,0.4393939393939394,0.5283094098883572,0.6174242424242424,0.8409090909090909,100.0,0.3628590548919589,0.04735294887829338,0.2,0.3333333333333333,0.3597752808988764,0.3908045977011494,0.4888888888888889,100.0,0.6990162122964755,0.06298158028891868,0.4903759398496241,0.6584090909090909,0.7019696969696969,0.7303030303030303,0.8522727272727273,100.0,0.3391116230516472,0.081713379699523,0.2068505844127514,0.27990015077584873,0.32897730953194015,0.37586125542738613,0.6298320320479778
RandomForestClassifier,100.0,0.556202934773845,0.10686407760152958,0.3566878980891719,0.4761146496815286,0.5509554140127388,0.6311577844069983,0.8987341772151899,100.0,0.537679190518423,0.11717696898456076,0.2038216560509554,0.47292993630573243,0.5619003466903169,0.6305732484076433,0.7261146496815286,100.0,0.2568581445694675,0.04383073119961356,0.1666666666666666,0.2222222222222222,0.2574186113511956,0.2943061840120663,0.35,100.0,0.9346769230769231,0.0608518101685476,0.6923076923076923,0.92,0.96,0.9615384615384616,1.0,100.0,0.46225791752107553,0.14534538684029608,0.053030303030303,0.375,0.4848484848484848,0.5757575757575758,0.7045454545454546,100.0,0.40021248892231837,0.05262332909177152,0.2857142857142857,0.35927483974358976,0.39819819819819824,0.4449838187702265,0.5054945054945055,100.0,0.8424284811679548,0.0412878135174043,0.7217365967365968,0.8135606060606061,0.8483333333333334,0.8683566433566433,0.9254545454545456,100.0,0.5917802658066418,0.07994519515366293,0.396614016801559,0.5397211570666558,0.5842652504763932,0.6402516214308728,0.7577712779761488
SGDClassifier,100.0,0.6478739014754494,0.14857150440906386,0.310126582278481,0.5562565508344754,0.6369426751592356,0.7388535031847133,1.0764331210191085,100.0,0.6423675723615254,0.1168429995113432,0.267515923566879,0.5914194146577441,0.6687898089171974,0.7201886640328952,0.8407643312101911,100.0,0.29765768086147426,0.06428310481427131,0.1727272727272727,0.25,0.29701013096120576,0.3333333333333333,0.5,100.0,0.7978769230769229,0.12106806178445584,0.44,0.72,0.8,0.8934615384615384,1.0,100.0,0.6127842333105491,0.15258681776880023,0.1287878787878787,0.5511363636363635,0.6515151515151515,0.706439393939394,0.8636363636363636,100.0,0.4261180655542375,0.06451701409710081,0.2814814814814815,0.37812340642529324,0.42605042016806716,0.46919879062736203,0.5901639344262295,100.0,0.7232474170566278,0.0715028837340321,0.498030303030303,0.685719696969697,0.7237062937062937,0.7731060606060606,0.8742424242424243,100.0,0.3023476505444974,0.0949369805948367,0.155422443046907,0.23805996774351196,0.2817040624014034,0.3235077663155963,0.6605882597599328
StackingClassifier,100.0,0.5024312666290414,0.11503454636299153,0.2611464968152866,0.4267515923566879,0.4904458598726114,0.5866423445940498,0.8291139240506329,100.0,0.7271111827783601,0.05061489511220961,0.5987261146496815,0.6878980891719745,0.732484076433121,0.7643312101910829,0.8164556962025317,100.0,0.35703459136672167,0.047728953104558686,0.2567567567567567,0.3181818181818182,0.35889929742388754,0.39019896831245393,0.4693877551020408,100.0,0.8401846153846155,0.07111912422726328,0.64,0.8,0.84,0.8811538461538462,0.9615384615384616,100.0,0.7056157439052178,0.061348772548239255,0.5303030303030303,0.6590909090909091,0.7159090909090909,0.7533037138300296,0.8181818181818182,100.0,0.4990427917267406,0.05149749289783351,0.3838383838383838,0.4638694638694638,0.5,0.5309236947791165,0.6133333333333333,100.0,0.8696959224985541,0.03893847149173461,0.74504662004662,0.8434090909090909,0.8745454545454545,0.8976136363636363,0.9424242424242424,100.0,0.6518279315853174,0.07858959344327486,0.4857005299648171,0.5966198487805418,0.6540104380312435,0.7028401409373645,0.8524286602804648
