Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
f1,DESKL,DecisionTreeClassifier,-0.0025037336211686245,-0.6942880913203361,0.4891276267566613,False,No Diff
f1,DESKL,Exponential,-4.6043342132706666e-05,-0.03757253019724354,0.9701041699992828,False,No Diff
f1,DESKL,KNORAE,-0.00042689479791668816,-0.22054497857867522,0.8259009301865828,False,No Diff
f1,DESKL,LogisticRegression,-0.03814206069704418,-4.350555751387294,3.304772320443739e-05,True,Worse
f1,DESKL,METADES,-9.150270456936838e-05,-0.07625865518292102,0.9393672159727766,False,No Diff
f1,DESKL,MLA,-0.0010598909935886636,-0.5064059764521618,0.6136976126073438,False,No Diff
f1,DESKL,RandomForestClassifier,0.0,0.0,1.0,False,No Diff
f1,DESKL,SGDClassifier,-0.0660639274753771,-3.4066347823022363,0.0009517928039838198,True,Worse
f1,DESKL,StackingClassifier,-0.15429104537776572,-9.459053743632694,1.6565203385608237e-15,True,Worse
f1,DESKL,VotingClassifier,-0.004551497129841209,-1.0498437745662328,0.2963460056236121,False,No Diff
f1,DESKL,XGBClassifier,-0.13840969520043678,-4.386423834569199,2.8800370818041528e-05,True,Worse
f1,DecisionTreeClassifier,DESKL,0.0025037336211686245,0.6942880913203361,0.4891276267566613,False,No Diff
f1,DecisionTreeClassifier,Exponential,0.002457690279035918,0.6605649047956824,0.510425523605387,False,No Diff
f1,DecisionTreeClassifier,KNORAE,0.0020768388232519364,0.5200074461763845,0.6042192508697093,False,No Diff
f1,DecisionTreeClassifier,LogisticRegression,-0.03563832707587555,-3.774079804112332,0.0002738187955020075,True,Worse
f1,DecisionTreeClassifier,METADES,0.002412230916599256,0.6567840478198297,0.5128436555610272,False,No Diff
f1,DecisionTreeClassifier,MLA,0.001443842627579961,0.36439557786953364,0.7163398049764251,False,No Diff
f1,DecisionTreeClassifier,RandomForestClassifier,0.0025037336211686245,0.6891563745701751,0.49233691391639267,False,No Diff
f1,DecisionTreeClassifier,SGDClassifier,-0.06356019385420847,-3.288325102474078,0.0013960007939633169,True,Worse
f1,DecisionTreeClassifier,StackingClassifier,-0.1517873117565971,-9.117407416200198,9.199393873771574e-15,True,Worse
