Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
roc_auc,DESKL,DecisionTreeClassifier,0.13358913235886938,4.460432082893908,2.163784246435041e-05,True,Better
roc_auc,DESKL,Exponential,0.04444821581926861,1.5172042739396148,0.13240195891867884,False,No Diff
roc_auc,DESKL,KNORAE,0.08748575985418106,3.015612674540416,0.0032586538280350093,True,Better
roc_auc,DESKL,LogisticRegression,-0.04339772157666877,-1.7564634698565242,0.08210148151635849,False,No Diff
roc_auc,DESKL,METADES,0.048906022924444126,1.9207934835558622,0.057634862178035026,False,No Diff
roc_auc,DESKL,MLA,0.14799711648001124,4.976756424451076,2.7316110247328482e-06,True,Better
roc_auc,DESKL,RandomForestClassifier,-0.0020153938167096763,-0.07821010694981632,0.9378187817231585,False,No Diff
roc_auc,DESKL,SGDClassifier,-0.011781937360884842,-0.41291340505473445,0.6805629818537575,False,No Diff
roc_auc,DESKL,StackingClassifier,-0.07273208633471784,-3.177274288579286,0.0019833804738600856,True,Worse
roc_auc,DESKL,VotingClassifier,-0.05556858580016444,-2.4648245412403056,0.01543010669059276,True,Worse
roc_auc,DESKL,XGBClassifier,-0.044624769528716746,-1.6273812856136427,0.10683483654859675,False,No Diff
roc_auc,DecisionTreeClassifier,DESKL,-0.13358913235886938,-4.460432082893908,2.163784246435041e-05,True,Worse
roc_auc,DecisionTreeClassifier,Exponential,-0.08914091653960077,-2.549766789514878,0.012313250677650208,True,Worse
roc_auc,DecisionTreeClassifier,KNORAE,-0.04610337250468832,-1.5424047030828287,0.12616580603405544,False,No Diff
roc_auc,DecisionTreeClassifier,LogisticRegression,-0.17698685393553815,-6.603078861483058,2.022974425527766e-09,True,Worse
roc_auc,DecisionTreeClassifier,METADES,-0.08468310943442525,-2.5354408110336584,0.012795600594876545,True,Worse
roc_auc,DecisionTreeClassifier,MLA,0.014407984121141859,0.4299593681191586,0.6681596404349215,False,No Diff
roc_auc,DecisionTreeClassifier,RandomForestClassifier,-0.13560452617557905,-4.176666828846794,6.376577077495461e-05,True,Worse
roc_auc,DecisionTreeClassifier,SGDClassifier,-0.14537106971975422,-4.842588931701663,4.733740117981134e-06,True,Worse
roc_auc,DecisionTreeClassifier,StackingClassifier,-0.20632121869358722,-7.019638817654003,2.818530935240735e-10,True,Worse
roc_auc,DecisionTreeClassifier,VotingClassifier,-0.18915771815903382,-6.666053968861217,1.5055568413555223e-09,True,Worse
roc_auc,DecisionTreeClassifier,XGBClassifier,-0.17821390188758612,-5.680591383423385,1.3498249555646346e-07,True,Worse
roc_auc,Exponential,DESKL,-0.04444821581926861,-1.5172042739396148,0.13240195891867884,False,No Diff
roc_auc,Exponential,DecisionTreeClassifier,0.08914091653960077,2.549766789514878,0.012313250677650208,True,Better
roc_auc,Exponential,KNORAE,0.043037544034912445,1.422628779080465,0.15798714727509147,False,No Diff
roc_auc,Exponential,LogisticRegression,-0.08784593739593738,-2.9876494160805316,0.003544500651278322,True,Worse
roc_auc,Exponential,METADES,0.004457807105175515,0.13953858787897275,0.8893080458741471,False,No Diff
roc_auc,Exponential,MLA,0.10354890066074263,2.988266274361642,0.003537952724689039,True,Better
roc_auc,Exponential,RandomForestClassifier,-0.04646360963597829,-1.7106619693425624,0.09027545796241845,False,No Diff
roc_auc,Exponential,SGDClassifier,-0.05623015318015345,-1.7384641259186997,0.08523800670624138,False,No Diff
roc_auc,Exponential,StackingClassifier,-0.11718030215398645,-4.229456494920984,5.232088364070997e-05,True,Worse
roc_auc,Exponential,VotingClassifier,-0.10001680161943305,-3.4915666583740315,0.0007189884515295471,True,Worse
roc_auc,Exponential,XGBClassifier,-0.08907298534798536,-2.9436444838566547,0.004041549580535223,True,Worse
roc_auc,KNORAE,DESKL,-0.08748575985418106,-3.015612674540416,0.0032586538280350093,True,Worse
roc_auc,KNORAE,DecisionTreeClassifier,0.04610337250468832,1.5424047030828287,0.12616580603405544,False,No Diff
roc_auc,KNORAE,Exponential,-0.043037544034912445,-1.422628779080465,0.15798714727509147,False,No Diff
roc_auc,KNORAE,LogisticRegression,-0.13088348143084982,-5.02018731017007,2.2823161053811034e-06,True,Worse
roc_auc,KNORAE,METADES,-0.03857973692973693,-1.2108473632938386,0.22883661474086114,False,No Diff
roc_auc,KNORAE,MLA,0.06051135662583018,1.9175348223638582,0.058052379965363804,False,No Diff
roc_auc,KNORAE,RandomForestClassifier,-0.08950115367089073,-3.2730732145637136,0.0014656899790021073,True,Worse
roc_auc,KNORAE,SGDClassifier,-0.0992676972150659,-3.406526578303308,0.0009521302072364704,True,Worse
roc_auc,KNORAE,StackingClassifier,-0.1602178461888989,-6.290596783434375,8.631076227914354e-09,True,Worse
roc_auc,KNORAE,VotingClassifier,-0.1430543456543455,-5.498888056886047,2.9888528417689e-07,True,Worse
roc_auc,KNORAE,XGBClassifier,-0.1321105293828978,-4.358007604488645,3.2118361338668635e-05,True,Worse
roc_auc,LogisticRegression,DESKL,0.04339772157666877,1.7564634698565242,0.08210148151635849,False,No Diff
roc_auc,LogisticRegression,DecisionTreeClassifier,0.17698685393553815,6.603078861483058,2.022974425527766e-09,True,Better
roc_auc,LogisticRegression,Exponential,0.08784593739593738,2.9876494160805316,0.003544500651278322,True,Better
roc_auc,LogisticRegression,KNORAE,0.13088348143084982,5.02018731017007,2.2823161053811034e-06,True,Better
roc_auc,LogisticRegression,METADES,0.0923037445011129,3.602471722701607,0.0004950820467783872,True,Better
roc_auc,LogisticRegression,MLA,0.19139483805668,6.253845403629784,1.0219125479758539e-08,True,Better
roc_auc,LogisticRegression,RandomForestClassifier,0.04138232775995909,1.867436427054083,0.06479902161351035,False,No Diff
roc_auc,LogisticRegression,SGDClassifier,0.031615784215783926,1.2318844399921332,0.22091022459689696,False,No Diff
roc_auc,LogisticRegression,StackingClassifier,-0.02933436475804907,-1.3349632689917879,0.18495016048668803,False,No Diff
roc_auc,LogisticRegression,VotingClassifier,-0.01217086422349567,-0.5215560490090936,0.6031443298432878,False,No Diff
roc_auc,LogisticRegression,XGBClassifier,-0.0012270479520479771,-0.0459494072607981,0.963443134985983,False,No Diff
roc_auc,METADES,DESKL,-0.048906022924444126,-1.9207934835558622,0.057634862178035026,False,No Diff
roc_auc,METADES,DecisionTreeClassifier,0.08468310943442525,2.5354408110336584,0.012795600594876545,True,Better
roc_auc,METADES,Exponential,-0.004457807105175515,-0.13953858787897275,0.8893080458741471,False,No Diff
roc_auc,METADES,KNORAE,0.03857973692973693,1.2108473632938386,0.22883661474086114,False,No Diff
roc_auc,METADES,LogisticRegression,-0.0923037445011129,-3.602471722701607,0.0004950820467783872,True,Worse
roc_auc,METADES,MLA,0.09909109355556711,2.7499494956474395,0.007086839042601367,True,Better
roc_auc,METADES,RandomForestClassifier,-0.0509214167411538,-1.7344008029321325,0.0859595148941821,False,No Diff
roc_auc,METADES,SGDClassifier,-0.06068796028532897,-1.959681460372157,0.05284491073660126,False,No Diff
roc_auc,METADES,StackingClassifier,-0.12163810925916196,-4.614812467926605,1.1811292777076298e-05,True,Worse
roc_auc,METADES,VotingClassifier,-0.10447460872460856,-3.630942849222755,0.0004493064943122556,True,Worse
roc_auc,METADES,XGBClassifier,-0.09353079245316087,-3.107827932569652,0.0024602286622255006,True,Worse
roc_auc,MLA,DESKL,-0.14799711648001124,-4.976756424451076,2.7316110247328482e-06,True,Worse
roc_auc,MLA,DecisionTreeClassifier,-0.014407984121141859,-0.4299593681191586,0.6681596404349215,False,No Diff
roc_auc,MLA,Exponential,-0.10354890066074263,-2.988266274361642,0.003537952724689039,True,Worse
roc_auc,MLA,KNORAE,-0.06051135662583018,-1.9175348223638582,0.058052379965363804,False,No Diff
roc_auc,MLA,LogisticRegression,-0.19139483805668,-6.253845403629784,1.0219125479758539e-08,True,Worse
roc_auc,MLA,METADES,-0.09909109355556711,-2.7499494956474395,0.007086839042601367,True,Worse
roc_auc,MLA,RandomForestClassifier,-0.1500125102967209,-4.791164894548812,5.831528487571216e-06,True,Worse
roc_auc,MLA,SGDClassifier,-0.15977905384089608,-5.328969962835772,6.215474124867759e-07,True,Worse
roc_auc,MLA,StackingClassifier,-0.22072920281472908,-8.078557953258183,1.6288254245257886e-12,True,Worse
roc_auc,MLA,VotingClassifier,-0.20356570228017568,-7.059006399441905,2.334992765535062e-10,True,Worse
roc_auc,MLA,XGBClassifier,-0.19262188600872798,-5.993060887000878,3.349175980961947e-08,True,Worse
roc_auc,RandomForestClassifier,DESKL,0.0020153938167096763,0.07821010694981632,0.9378187817231585,False,No Diff
roc_auc,RandomForestClassifier,DecisionTreeClassifier,0.13560452617557905,4.176666828846794,6.376577077495461e-05,True,Better
roc_auc,RandomForestClassifier,Exponential,0.04646360963597829,1.7106619693425624,0.09027545796241845,False,No Diff
roc_auc,RandomForestClassifier,KNORAE,0.08950115367089073,3.2730732145637136,0.0014656899790021073,True,Better
roc_auc,RandomForestClassifier,LogisticRegression,-0.04138232775995909,-1.867436427054083,0.06479902161351035,False,No Diff
roc_auc,RandomForestClassifier,METADES,0.0509214167411538,1.7344008029321325,0.0859595148941821,False,No Diff
roc_auc,RandomForestClassifier,MLA,0.1500125102967209,4.791164894548812,5.831528487571216e-06,True,Better
roc_auc,RandomForestClassifier,SGDClassifier,-0.009766543544175166,-0.3426192715437951,0.7326112784954362,False,No Diff
roc_auc,RandomForestClassifier,StackingClassifier,-0.07071669251800816,-3.192991309872501,0.0018881443511945485,True,Worse
roc_auc,RandomForestClassifier,VotingClassifier,-0.05355319198345476,-2.401083541578672,0.018213617918077612,True,Worse
roc_auc,RandomForestClassifier,XGBClassifier,-0.04260937571200707,-1.7211167313351454,0.08835334599872884,False,No Diff
roc_auc,SGDClassifier,DESKL,0.011781937360884842,0.41291340505473445,0.6805629818537575,False,No Diff
roc_auc,SGDClassifier,DecisionTreeClassifier,0.14537106971975422,4.842588931701663,4.733740117981134e-06,True,Better
