Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
specificity,DESKL,DecisionTreeClassifier,-0.01583333333333333,-0.7378700654011492,0.46233884155163374,False,No Diff
specificity,DESKL,Exponential,-0.000227272727272727,-0.2873478855663454,0.77444656409611,False,No Diff
specificity,DESKL,KNORAE,-0.009086921850079732,-1.1849642689070732,0.23886833260846546,False,No Diff
specificity,DESKL,LogisticRegression,-0.17472260195944403,-4.916570473511371,3.4992144627484667e-06,True,Worse
specificity,DESKL,METADES,-0.00045454545454545097,-0.6206262980064748,0.5362716989300709,False,No Diff
specificity,DESKL,MLA,-0.011503189792663467,-1.2090732310434404,0.22951435766455963,False,No Diff
specificity,DESKL,RandomForestClassifier,0.0,0.0,1.0,False,No Diff
specificity,DESKL,SGDClassifier,-0.2952494873547505,-4.056155822201078,9.959225327536092e-05,True,Worse
specificity,DESKL,StackingClassifier,-0.5551105035315562,-16.274627043767467,9.72475418141772e-30,True,Worse
specificity,DESKL,VotingClassifier,-0.022077352472089296,-1.178307776036935,0.241498427295118,False,No Diff
specificity,DESKL,XGBClassifier,-0.4790681248575986,-5.615149109691771,1.7997597459861436e-07,True,Worse
specificity,DecisionTreeClassifier,DESKL,0.01583333333333333,0.7378700654011492,0.46233884155163374,False,No Diff
specificity,DecisionTreeClassifier,Exponential,0.015606060606060604,0.7260921764773535,0.46949540703648307,False,No Diff
specificity,DecisionTreeClassifier,KNORAE,0.006746411483253599,0.2954744815690386,0.7682502643581219,False,No Diff
specificity,DecisionTreeClassifier,LogisticRegression,-0.1588892686261107,-3.7722016843257493,0.00027562591855678087,True,Worse
specificity,DecisionTreeClassifier,METADES,0.01537878787878788,0.7149060136855938,0.4763496114472381,False,No Diff
specificity,DecisionTreeClassifier,MLA,0.004330143540669865,0.179807849590518,0.8576709432789724,False,No Diff
specificity,DecisionTreeClassifier,RandomForestClassifier,0.01583333333333333,0.7378700654011492,0.46233884155163374,False,No Diff
specificity,DecisionTreeClassifier,SGDClassifier,-0.2794161540214172,-3.829592122521601,0.00022522291259800226,True,Worse
specificity,DecisionTreeClassifier,StackingClassifier,-0.5392771701982229,-14.695032401451083,1.2717898714338838e-26,True,Worse
specificity,DecisionTreeClassifier,VotingClassifier,-0.006244019138755965,-0.22526677486639618,0.8222360938440842,False,No Diff
specificity,DecisionTreeClassifier,XGBClassifier,-0.4632347915242653,-5.17705706038626,1.184528387388618e-06,True,Worse
specificity,Exponential,DESKL,0.000227272727272727,0.2873478855663454,0.77444656409611,False,No Diff
specificity,Exponential,DecisionTreeClassifier,-0.015606060606060604,-0.7260921764773535,0.46949540703648307,False,No Diff
specificity,Exponential,KNORAE,-0.008859649122807005,-1.177972305887087,0.24163152294816187,False,No Diff
specificity,Exponential,LogisticRegression,-0.17449532923217131,-4.9171111106434084,3.4914640736988894e-06,True,Worse
specificity,Exponential,METADES,-0.00022727272727272397,-0.20858114826290733,0.8352037717545744,False,No Diff
specificity,Exponential,MLA,-0.01127591706539074,-1.1769878577553865,0.24202239904412237,False,No Diff
specificity,Exponential,RandomForestClassifier,0.000227272727272727,0.2873478855663454,0.77444656409611,False,No Diff
specificity,Exponential,SGDClassifier,-0.29502221462747774,-4.051510518532432,0.00010130233424807498,True,Worse
specificity,Exponential,StackingClassifier,-0.5548832308042835,-16.296315892708275,8.831396873379206e-30,True,Worse
specificity,Exponential,VotingClassifier,-0.02185007974481657,-1.1631118401997644,0.24757998059190667,False,No Diff
specificity,Exponential,XGBClassifier,-0.47884085213032584,-5.603780700659311,1.8916906787524486e-07,True,Worse
specificity,KNORAE,DESKL,0.009086921850079732,1.1849642689070732,0.23886833260846546,False,No Diff
specificity,KNORAE,DecisionTreeClassifier,-0.006746411483253599,-0.2954744815690386,0.7682502643581219,False,No Diff
specificity,KNORAE,Exponential,0.008859649122807005,1.177972305887087,0.24163152294816187,False,No Diff
specificity,KNORAE,LogisticRegression,-0.1656356801093643,-4.518713523703803,1.7241135285930373e-05,True,Worse
specificity,KNORAE,METADES,0.008632376395534281,1.1111693827115763,0.269186787912545,False,No Diff
specificity,KNORAE,MLA,-0.0024162679425837347,-0.18968749777390642,0.849942394433744,False,No Diff
specificity,KNORAE,RandomForestClassifier,0.009086921850079732,1.1849642689070732,0.23886833260846546,False,No Diff
specificity,KNORAE,SGDClassifier,-0.28616256550467073,-3.8975292625090434,0.00017688767001994757,True,Worse
specificity,KNORAE,StackingClassifier,-0.5460235816814765,-15.369961365274593,5.706206174535564e-28,True,Worse
specificity,KNORAE,VotingClassifier,-0.012990430622009564,-0.6409651771080075,0.5230263165732774,False,No Diff
specificity,KNORAE,XGBClassifier,-0.46998120300751883,-5.43714035408441,3.90492227817273e-07,True,Worse
specificity,LogisticRegression,DESKL,0.17472260195944403,4.916570473511371,3.4992144627484667e-06,True,Better
specificity,LogisticRegression,DecisionTreeClassifier,0.1588892686261107,3.7722016843257493,0.00027562591855678087,True,Better
specificity,LogisticRegression,Exponential,0.17449532923217131,4.9171111106434084,3.4914640736988894e-06,True,Better
specificity,LogisticRegression,KNORAE,0.1656356801093643,4.518713523703803,1.7241135285930373e-05,True,Better
specificity,LogisticRegression,METADES,0.17426805650489857,4.906726757747337,3.6432938581159316e-06,True,Better
specificity,LogisticRegression,MLA,0.16321941216678057,4.43968359187503,2.3450523840731352e-05,True,Better
specificity,LogisticRegression,RandomForestClassifier,0.17472260195944403,4.916570473511371,3.4992144627484667e-06,True,Better
specificity,LogisticRegression,SGDClassifier,-0.12052688539530645,-1.4967815025821176,0.13763153569858605,False,No Diff
specificity,LogisticRegression,StackingClassifier,-0.3803879015721122,-7.4360634152615175,3.793047274760936e-11,True,Worse
specificity,LogisticRegression,VotingClassifier,0.15264524948735472,3.5719924041808846,0.0005489624136863734,True,Better
specificity,LogisticRegression,XGBClassifier,-0.30434552289815453,-3.293977678146107,0.0013709700691074175,True,Worse
specificity,METADES,DESKL,0.00045454545454545097,0.6206262980064748,0.5362716989300709,False,No Diff
specificity,METADES,DecisionTreeClassifier,-0.01537878787878788,-0.7149060136855938,0.4763496114472381,False,No Diff
specificity,METADES,Exponential,0.00022727272727272397,0.20858114826290733,0.8352037717545744,False,No Diff
specificity,METADES,KNORAE,-0.008632376395534281,-1.1111693827115763,0.269186787912545,False,No Diff
specificity,METADES,LogisticRegression,-0.17426805650489857,-4.906726757747337,3.6432938581159316e-06,True,Worse
specificity,METADES,MLA,-0.011048644338118016,-1.149821974870819,0.25298726577541825,False,No Diff
specificity,METADES,RandomForestClassifier,0.00045454545454545097,0.6206262980064748,0.5362716989300709,False,No Diff
specificity,METADES,SGDClassifier,-0.29479494190020505,-4.051218234937019,0.00010141086853537085,True,Worse
specificity,METADES,StackingClassifier,-0.5546559580770107,-16.26476843752167,1.0160372384652637e-29,True,Worse
specificity,METADES,VotingClassifier,-0.021622807017543846,-1.1491616845895463,0.2532580813518845,False,No Diff
specificity,METADES,XGBClassifier,-0.47861357940305316,-5.6170730829339535,1.784641345396464e-07,True,Worse
specificity,MLA,DESKL,0.011503189792663467,1.2090732310434404,0.22951435766455963,False,No Diff
specificity,MLA,DecisionTreeClassifier,-0.004330143540669865,-0.179807849590518,0.8576709432789724,False,No Diff
specificity,MLA,Exponential,0.01127591706539074,1.1769878577553865,0.24202239904412237,False,No Diff
specificity,MLA,KNORAE,0.0024162679425837347,0.18968749777390642,0.849942394433744,False,No Diff
