model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max
DESKL,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
DecisionTreeClassifier,100.0,0.17221478674514226,0.04860515950517598,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.4585987261146497
Exponential,100.0,0.15985809884705307,0.0025019247117517396,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1783439490445859
KNORAE,100.0,0.1663504797226477,0.01721581442763738,0.1464968152866242,0.1592356687898089,0.1592356687898089,0.1656050955414012,0.267515923566879
LogisticRegression,100.0,0.304191324679513,0.08367558203155509,0.1592356687898089,0.2420382165605095,0.28980891719745216,0.3630573248407643,0.554140127388535
METADES,100.0,0.16004877852132546,0.0024997109007165686,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1719745222929936
MLA,100.0,0.1684378779327581,0.02203290673936562,0.1528662420382165,0.1592356687898089,0.1592356687898089,0.1645569620253164,0.2594936708860759
RandomForestClassifier,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
SGDClassifier,100.0,0.3972107554623881,0.16018829022683803,0.1656050955414012,0.286624203821656,0.34286059824236065,0.4665605095541401,0.8407643312101911
StackingClassifier,100.0,0.6103886156575021,0.07675958764462276,0.4203821656050955,0.552547770700637,0.6114649681528662,0.6592759816173506,0.8407643312101911
VotingClassifier,100.0,0.17796823349189708,0.0447285819304804,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1645569620253164,0.360759493670886
XGBClassifier,100.0,0.5468898653551562,0.19628169658234884,0.1582278481012658,0.379746835443038,0.6063452390550673,0.7201886640328952,0.8471337579617835
