model,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max
DESKL,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
DecisionTreeClassifier,100.0,0.16158250856629391,0.007757784937271099,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.2115384615384615
Exponential,100.0,0.15969803597998386,0.0016864362775368008,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
KNORAE,100.0,0.16011815661122458,0.0032529207776998974,0.1483870967741935,0.1592356687898089,0.1592356687898089,0.1602564102564102,0.1714285714285714
LogisticRegression,100.0,0.18675894939897553,0.018350293839842845,0.1592356687898089,0.17331178160919541,0.1824817518248175,0.1968503937007874,0.2527472527472527
METADES,100.0,0.15972866616157255,0.001707425194241994,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1656050955414012
MLA,100.0,0.160540216063328,0.003809316140034396,0.1538461538461538,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.176056338028169
RandomForestClassifier,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
SGDClassifier,100.0,0.2161418385889709,0.0628347504074785,0.1602564102564102,0.1824817518248175,0.1935483870967742,0.22348548064085444,0.5
StackingClassifier,100.0,0.2845288366637634,0.04442452836071344,0.2115384615384615,0.2528130671506352,0.2763157894736842,0.3053252032520325,0.5
VotingClassifier,100.0,0.16283975367111295,0.00831174866517396,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.16449450366422383,0.1984126984126984
XGBClassifier,100.0,0.2768024605575144,0.08365847411270591,0.1582278481012658,0.2028422501966955,0.27664753955833765,0.34542624521072796,0.5116279069767442
