model,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max
DESKL,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DecisionTreeClassifier,100.0,0.01583333333333333,0.06165956674671441,0.0,0.0,0.0,0.0,0.3787878787878788
Exponential,100.0,0.000227272727272727,0.00227272727272727,0.0,0.0,0.0,0.0,0.0227272727272727
KNORAE,100.0,0.009086921850079732,0.022035329236849775,0.0,0.0,0.0,0.0075757575757575,0.1439393939393939
LogisticRegression,100.0,0.17472260195944403,0.10211624241773483,0.0,0.0984848484848484,0.1590909090909091,0.2424242424242424,0.4848484848484848
METADES,100.0,0.00045454545454545097,0.0021045301444197915,0.0,0.0,0.0,0.0,0.0151515151515151
MLA,100.0,0.011503189792663467,0.027338437237069683,0.0,0.0,0.0,0.0,0.1212121212121212
RandomForestClassifier,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGDClassifier,100.0,0.2952494873547505,0.20916187549199433,0.0075757575757575,0.1515151515151515,0.2196969696969697,0.3731060606060606,0.9090909090909092
StackingClassifier,100.0,0.5551105035315561,0.09801135781268051,0.3106060606060606,0.4848484848484848,0.5606060606060606,0.6143626110731374,0.8636363636363636
VotingClassifier,100.0,0.022077352472089303,0.05383890933058678,0.0,0.0,0.0,0.0,0.2406015037593984
XGBClassifier,100.0,0.4790681248575986,0.24515682492289392,0.0,0.261762360446571,0.5492424242424242,0.6988636363636365,0.8409090909090909
