Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
f1,DESKL,DecisionTreeClassifier,0.10793106387789725,2.998793908133637,0.003427910824417857,True,Better
f1,DESKL,Exponential,0.03570509167459218,0.9141371400405016,0.3628658273018486,False,No Diff
f1,DESKL,KNORAE,0.08522341388330285,2.2307641292893416,0.027953714611164453,True,Better
f1,DESKL,LogisticRegression,-0.03014190798819999,-0.9285306312674821,0.3553907780576012,False,No Diff
f1,DESKL,METADES,0.042689663784210186,1.1005958105603817,0.2737414959421061,False,No Diff
f1,DESKL,MLA,0.1555377006100414,3.9520529281768724,0.00014542981895787957,True,Better
f1,DESKL,RandomForestClassifier,0.008814880015328985,0.21909102866955568,0.8270301977148461,False,No Diff
f1,DESKL,SGDClassifier,0.0028797711374621837,0.0808143138124234,0.9357527734159227,False,No Diff
f1,DESKL,StackingClassifier,-0.09491403022768208,-2.297039419523946,0.02372256453749079,True,Worse
f1,DESKL,VotingClassifier,-0.003727716649906232,-0.0966628952968917,0.9231895210880734,False,No Diff
f1,DESKL,XGBClassifier,-0.030006587658552963,-0.6915006419701959,0.4908694287905462,False,No Diff
f1,DecisionTreeClassifier,DESKL,-0.10793106387789725,-2.998793908133637,0.003427910824417857,True,Worse
f1,DecisionTreeClassifier,Exponential,-0.07222597220330507,-1.9125874714185211,0.05869113781739653,False,No Diff
f1,DecisionTreeClassifier,KNORAE,-0.022707649994594403,-0.6013044990671109,0.5490115841194066,False,No Diff
f1,DecisionTreeClassifier,LogisticRegression,-0.13807297186609724,-4.866254098754254,4.2987586560368775e-06,True,Worse
f1,DecisionTreeClassifier,METADES,-0.06524140009368706,-1.6774595545759827,0.09660726778599556,False,No Diff
f1,DecisionTreeClassifier,MLA,0.04760663673214416,1.2004667551875299,0.2328227279102479,False,No Diff
f1,DecisionTreeClassifier,RandomForestClassifier,-0.09911618386256826,-2.703731983692669,0.008071471451963134,True,Worse
f1,DecisionTreeClassifier,SGDClassifier,-0.10505129274043506,-3.5902199312654086,0.0005161094308583024,True,Worse
f1,DecisionTreeClassifier,StackingClassifier,-0.20284509410557933,-5.798941156906399,7.992378357569044e-08,True,Worse
f1,DecisionTreeClassifier,VotingClassifier,-0.11165878052780348,-3.03985108386438,0.003028291782615819,True,Worse
f1,DecisionTreeClassifier,XGBClassifier,-0.1379376515364502,-3.2266250945831914,0.0016984902912888695,True,Worse
f1,Exponential,DESKL,-0.03570509167459218,-0.9141371400405016,0.3628658273018486,False,No Diff
f1,Exponential,DecisionTreeClassifier,0.07222597220330507,1.9125874714185211,0.05869113781739653,False,No Diff
f1,Exponential,KNORAE,0.04951832220871066,1.5614814123445717,0.1216013184711195,False,No Diff
f1,Exponential,LogisticRegression,-0.06584699966279217,-2.035405446835996,0.044482278294530844,True,Worse
f1,Exponential,METADES,0.0069845721096180036,0.1955026303316892,0.8454001766444538,False,No Diff
f1,Exponential,MLA,0.11983260893544923,3.0486714982338823,0.002948273110550353,True,Better
f1,Exponential,RandomForestClassifier,-0.026890211659263197,-0.6985306674661335,0.4864830545792701,False,No Diff
f1,Exponential,SGDClassifier,-0.03282532053713,-0.9472408092656761,0.34582249047833835,False,No Diff
f1,Exponential,StackingClassifier,-0.13061912190227426,-3.3645501473130888,0.0010918524810218883,True,Worse
f1,Exponential,VotingClassifier,-0.039432808324498414,-1.0584673084086174,0.29241823899785585,False,No Diff
f1,Exponential,XGBClassifier,-0.06571167933314515,-1.5446340546049206,0.12562549699537556,False,No Diff
f1,KNORAE,DESKL,-0.08522341388330285,-2.2307641292893416,0.027953714611164453,True,Worse
f1,KNORAE,DecisionTreeClassifier,0.022707649994594403,0.6013044990671109,0.5490115841194066,False,No Diff
f1,KNORAE,Exponential,-0.04951832220871066,-1.5614814123445717,0.1216013184711195,False,No Diff
f1,KNORAE,LogisticRegression,-0.11536532187150284,-3.433141044427577,0.0008724441789403237,True,Worse
f1,KNORAE,METADES,-0.04253375009909266,-1.1858949074711778,0.23850226229277566,False,No Diff
f1,KNORAE,MLA,0.07031428672673856,1.77334117485139,0.07924733971732206,False,No Diff
f1,KNORAE,RandomForestClassifier,-0.07640853386797386,-1.8134572576386419,0.07279108235531015,False,No Diff
f1,KNORAE,SGDClassifier,-0.08234364274584066,-2.2248665120746685,0.028360446497928467,True,Worse
f1,KNORAE,StackingClassifier,-0.18013744411098492,-4.839666305278133,4.790341950474268e-06,True,Worse
f1,KNORAE,VotingClassifier,-0.08895113053320908,-2.4623211881952356,0.015531814960327822,True,Worse
f1,KNORAE,XGBClassifier,-0.11523000154185581,-2.79321750459322,0.006265580044066219,True,Worse
f1,LogisticRegression,DESKL,0.03014190798819999,0.9285306312674821,0.3553907780576012,False,No Diff
f1,LogisticRegression,DecisionTreeClassifier,0.13807297186609724,4.866254098754254,4.2987586560368775e-06,True,Better
f1,LogisticRegression,Exponential,0.06584699966279217,2.035405446835996,0.044482278294530844,True,Better
f1,LogisticRegression,KNORAE,0.11536532187150284,3.433141044427577,0.0008724441789403237,True,Better
f1,LogisticRegression,METADES,0.07283157177241018,2.2827119385335193,0.02458620317329052,True,Better
f1,LogisticRegression,MLA,0.1856796085982414,4.936789273474443,3.2204610871596474e-06,True,Better
f1,LogisticRegression,RandomForestClassifier,0.038956788003528975,1.14237231941084,0.2560546069562767,False,No Diff
f1,LogisticRegression,SGDClassifier,0.03302167912566217,1.070749808148543,0.286885451087678,False,No Diff
f1,LogisticRegression,StackingClassifier,-0.06477212223948209,-2.2418512713038177,0.027202886975723928,True,Worse
f1,LogisticRegression,VotingClassifier,0.026414191338293758,0.7927964416715606,0.4297922531762267,False,No Diff
f1,LogisticRegression,XGBClassifier,0.00013532032964702623,0.003606498189265949,0.9971296943597749,False,No Diff
f1,METADES,DESKL,-0.042689663784210186,-1.1005958105603817,0.2737414959421061,False,No Diff
f1,METADES,DecisionTreeClassifier,0.06524140009368706,1.6774595545759827,0.09660726778599556,False,No Diff
f1,METADES,Exponential,-0.0069845721096180036,-0.1955026303316892,0.8454001766444538,False,No Diff
f1,METADES,KNORAE,0.04253375009909266,1.1858949074711778,0.23850226229277566,False,No Diff
f1,METADES,LogisticRegression,-0.07283157177241018,-2.2827119385335193,0.02458620317329052,True,Worse
f1,METADES,MLA,0.11284803682583122,2.650592668728217,0.009356120420501574,True,Better
