model,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max
DESKL,100.0,0.8743386876281615,0.05214127574039274,0.7121212121212122,0.8465909090909092,0.8863636363636364,0.9109848484848485,0.9772727272727272
DecisionTreeClassifier,100.0,0.7062388926862612,0.14526787035903918,0.2954545454545454,0.6041666666666667,0.7424242424242424,0.803030303030303,1.0
Exponential,100.0,0.8239280018227386,0.05840868769513602,0.6818181818181818,0.7878787878787878,0.8257575757575758,0.8712121212121212,0.9318181818181818
KNORAE,100.0,0.8131829573934836,0.03572577327149398,0.7272727272727273,0.7954545454545454,0.815105946684894,0.8409090909090909,0.9242424242424242
LogisticRegression,100.0,0.7713021189336977,0.04541898975068414,0.6060606060606061,0.7424242424242424,0.7727272727272727,0.8049242424242424,0.8560606060606061
METADES,100.0,0.8887252221462747,0.03219753265999901,0.803030303030303,0.8644053315105946,0.8939393939393939,0.9090909090909092,0.9621212121212122
MLA,100.0,0.867095010252905,0.07877502915540904,0.6541353383458647,0.8238636363636365,0.8787878787878788,0.9318181818181818,1.0
RandomForestClassifier,100.0,0.8404323308270675,0.06502835284590262,0.553030303030303,0.8181818181818182,0.8560606060606061,0.8787878787878788,1.0
SGDClassifier,100.0,0.7290362269309638,0.11964100319609967,0.2878787878787879,0.6799242424242424,0.7424242424242424,0.8106060606060606,0.924812030075188
StackingClassifier,100.0,0.9174789245841876,0.030786998589518753,0.75,0.9015151515151516,0.9169799498746867,0.9393939393939394,0.9699248120300752
VotingClassifier,100.0,0.7878411938938257,0.13270312505798854,0.2575757575757575,0.7183441558441559,0.8143939393939394,0.8863636363636364,0.9774436090225564
XGBClassifier,100.0,0.9197653223969015,0.059827939202435836,0.6666666666666666,0.9015151515151516,0.9358623832308044,0.9621212121212122,0.9924242424242424
