Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
accuracy,DESKL,DecisionTreeClassifier,-0.02871200516004191,-1.2006206894596723,0.23276325474622034,False,No Diff
accuracy,DESKL,Exponential,0.0,0.0,1.0,False,No Diff
accuracy,DESKL,KNORAE,-0.01927920664355401,-2.7670819470326413,0.006750577565063281,True,Worse
accuracy,DESKL,LogisticRegression,-0.22226517777956947,-9.703037207768993,4.863234658414968e-16,True,Worse
accuracy,DESKL,METADES,0.0,0.0,1.0,False,No Diff
accuracy,DESKL,MLA,-0.03434451342417158,-2.1139435786158383,0.03703289911301695,True,Worse
accuracy,DESKL,RandomForestClassifier,0.0,0.0,1.0,False,No Diff
accuracy,DESKL,SGDClassifier,-0.2747573167781988,-4.221734369484033,5.3862109891782916e-05,True,Worse
accuracy,DESKL,StackingClassifier,-0.42081472224461836,-22.400584382146825,1.5086462857788996e-40,True,Worse
accuracy,DESKL,VotingClassifier,-6.329113924050112e-05,-0.06766808100841645,0.9461863362678384,False,No Diff
accuracy,DESKL,XGBClassifier,-0.3686281544787551,-11.555455364920457,4.610099405258802e-20,True,Worse
accuracy,DecisionTreeClassifier,DESKL,0.02871200516004191,1.2006206894596723,0.23276325474622034,False,No Diff
accuracy,DecisionTreeClassifier,Exponential,0.02871200516004191,1.2005695935821448,0.23278299464363014,False,No Diff
accuracy,DecisionTreeClassifier,KNORAE,0.0094327985164879,0.3693205061542711,0.7126775967721206,False,No Diff
accuracy,DecisionTreeClassifier,LogisticRegression,-0.19355317261952756,-6.06045997881612,2.4692153518703048e-08,True,Worse
accuracy,DecisionTreeClassifier,METADES,0.02871200516004191,1.2001653136282706,0.2329392228419804,False,No Diff
accuracy,DecisionTreeClassifier,MLA,-0.005632508264129671,-0.18083972502284734,0.8568630768252615,False,No Diff
accuracy,DecisionTreeClassifier,RandomForestClassifier,0.02871200516004191,1.1976684319563635,0.23390578029520584,False,No Diff
accuracy,DecisionTreeClassifier,SGDClassifier,-0.24604531161815688,-3.4823385885366944,0.0007414028986761732,True,Worse
accuracy,DecisionTreeClassifier,StackingClassifier,-0.39210271708457645,-13.799656469859686,8.496103940506703e-25,True,Worse
accuracy,DecisionTreeClassifier,VotingClassifier,0.028648714020801408,1.1964027111308384,0.2343968488803778,False,No Diff
accuracy,DecisionTreeClassifier,XGBClassifier,-0.33991614931871317,-8.553177696280564,1.5449337719222558e-13,True,Worse
accuracy,Exponential,DESKL,0.0,0.0,1.0,False,No Diff
accuracy,Exponential,DecisionTreeClassifier,-0.02871200516004191,-1.2005695935821448,0.23278299464363014,False,No Diff
accuracy,Exponential,KNORAE,-0.01927920664355401,-2.7379717850661303,0.007330920232817993,True,Worse
accuracy,Exponential,LogisticRegression,-0.22226517777956947,-9.664899940699964,5.89030980803229e-16,True,Worse
accuracy,Exponential,METADES,0.0,0.0,1.0,False,No Diff
accuracy,Exponential,MLA,-0.03434451342417158,-2.1093830954948345,0.03743392809605279,True,Worse
accuracy,Exponential,RandomForestClassifier,0.0,0.0,1.0,False,No Diff
accuracy,Exponential,SGDClassifier,-0.2747573167781988,-4.226393983278879,5.292697265710576e-05,True,Worse
accuracy,Exponential,StackingClassifier,-0.42081472224461836,-22.425680635276834,1.3749683730433872e-40,True,Worse
accuracy,Exponential,VotingClassifier,-6.329113924050112e-05,-0.07181009178992871,0.9428979142752212,False,No Diff
accuracy,Exponential,XGBClassifier,-0.3686281544787551,-11.52978407621103,5.2356125348700136e-20,True,Worse
accuracy,KNORAE,DESKL,0.01927920664355401,2.7670819470326413,0.006750577565063281,True,Better
accuracy,KNORAE,DecisionTreeClassifier,-0.0094327985164879,-0.3693205061542711,0.7126775967721206,False,No Diff
accuracy,KNORAE,Exponential,0.01927920664355401,2.7379717850661303,0.007330920232817993,True,Better
accuracy,KNORAE,LogisticRegression,-0.20298597113601546,-8.540910738747394,1.6423037544247242e-13,True,Worse
