Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
roc_auc,DESKL,DecisionTreeClassifier,0.17373014967488665,6.133396962393461,1.772636375487084e-08,True,Better
roc_auc,DESKL,Exponential,0.013677460259039376,0.6386306432891018,0.5245379392517708,False,No Diff
roc_auc,DESKL,KNORAE,0.09343048924759478,3.5523480945622015,0.0005865786108931657,True,Better
roc_auc,DESKL,LogisticRegression,-0.011958475734791585,-0.5437079798365129,0.5878647517824068,False,No Diff
roc_auc,DESKL,METADES,0.00703155441050185,0.37391071948210186,0.7092703272939868,False,No Diff
roc_auc,DESKL,MLA,0.1269601928772981,4.7886875018930715,5.890234944508778e-06,True,Better
roc_auc,DESKL,RandomForestClassifier,-0.012942675745307164,-0.6655791294036641,0.5072279237092672,False,No Diff
roc_auc,DESKL,SGDClassifier,0.028522528787002566,1.096475013922063,0.27553098481230004,False,No Diff
roc_auc,DESKL,StackingClassifier,-0.03835581436107738,-1.9212963922324071,0.0575706530039511,False,No Diff
roc_auc,DESKL,VotingClassifier,-0.03235006572374999,-1.5050696549606366,0.13549005035888487,False,No Diff
roc_auc,DESKL,XGBClassifier,-0.0396892765129605,-1.8690341855273849,0.06457412886082121,False,No Diff
roc_auc,DecisionTreeClassifier,DESKL,-0.17373014967488665,-6.133396962393461,1.772636375487084e-08,True,Worse
roc_auc,DecisionTreeClassifier,Exponential,-0.16005268941584727,-5.200936848663347,1.0710045058949967e-06,True,Worse
roc_auc,DecisionTreeClassifier,KNORAE,-0.08029966042729186,-2.2649701168885583,0.025693889342525766,True,Worse
roc_auc,DecisionTreeClassifier,LogisticRegression,-0.18568862540967823,-6.116823680622569,1.9115602797386843e-08,True,Worse
roc_auc,DecisionTreeClassifier,METADES,-0.1666985952643848,-5.353013425861488,5.607605905516512e-07,True,Worse
roc_auc,DecisionTreeClassifier,MLA,-0.04676995679758855,-1.3986541884115573,0.16504163657321794,False,No Diff
roc_auc,DecisionTreeClassifier,RandomForestClassifier,-0.1866728254201938,-5.952591135449102,4.0190809487959774e-08,True,Worse
roc_auc,DecisionTreeClassifier,SGDClassifier,-0.14520762088788408,-3.9898820939119175,0.00012682726875878328,True,Worse
roc_auc,DecisionTreeClassifier,StackingClassifier,-0.21208596403596403,-6.285693927476214,8.827946842806229e-09,True,Worse
roc_auc,DecisionTreeClassifier,VotingClassifier,-0.20608021539863663,-6.659789562867227,1.5505213074763129e-09,True,Worse
roc_auc,DecisionTreeClassifier,XGBClassifier,-0.21341942618784715,-6.985387158037778,3.3191493262559496e-10,True,Worse
roc_auc,Exponential,DESKL,-0.013677460259039376,-0.6386306432891018,0.5245379392517708,False,No Diff
roc_auc,Exponential,DecisionTreeClassifier,0.16005268941584727,5.200936848663347,1.0710045058949967e-06,True,Better
roc_auc,Exponential,KNORAE,0.07975302898855541,3.4405273827194787,0.0008514675904780669,True,Better
roc_auc,Exponential,LogisticRegression,-0.02563593599383096,-1.2062862048254257,0.2305819657774606,False,No Diff
roc_auc,Exponential,METADES,-0.0066459058485375255,-0.2945331662396351,0.7689672298675606,False,No Diff
roc_auc,Exponential,MLA,0.11328273261825872,4.134686930740534,7.454813959531215e-05,True,Better
roc_auc,Exponential,RandomForestClassifier,-0.02662013600434654,-1.316230798150984,0.19113597592898945,False,No Diff
roc_auc,Exponential,SGDClassifier,0.01484506852796319,0.5034299337502843,0.6157803529011207,False,No Diff
roc_auc,Exponential,StackingClassifier,-0.052033274620116754,-2.3614787997013567,0.020160134304932877,True,Worse
roc_auc,Exponential,VotingClassifier,-0.04602752598278936,-2.060607007634854,0.04196301303464951,True,Worse
roc_auc,Exponential,XGBClassifier,-0.05336673677199988,-2.3777226966303675,0.01934051121332033,True,Worse
roc_auc,KNORAE,DESKL,-0.09343048924759478,-3.5523480945622015,0.0005865786108931657,True,Worse
roc_auc,KNORAE,DecisionTreeClassifier,0.08029966042729186,2.2649701168885583,0.025693889342525766,True,Better
roc_auc,KNORAE,Exponential,-0.07975302898855541,-3.4405273827194787,0.0008514675904780669,True,Worse
roc_auc,KNORAE,LogisticRegression,-0.10538896498238637,-4.139845484170891,7.313445731342966e-05,True,Worse
roc_auc,KNORAE,METADES,-0.08639893483709293,-3.4738643707222128,0.0007625651004073847,True,Worse
roc_auc,KNORAE,MLA,0.03352970362970331,1.0782447571720637,0.28354473951713155,False,No Diff
roc_auc,KNORAE,RandomForestClassifier,-0.10637316499290195,-4.414432812485508,2.585493800108709e-05,True,Worse
roc_auc,KNORAE,SGDClassifier,-0.06490796046059222,-2.1263492506033543,0.035960738574819844,True,Worse
roc_auc,KNORAE,StackingClassifier,-0.13178630360867216,-6.0626374311625,2.4449614486562962e-08,True,Worse
roc_auc,KNORAE,VotingClassifier,-0.12578055497134477,-5.083411081841858,1.7543990410619032e-06,True,Worse
roc_auc,KNORAE,XGBClassifier,-0.1331197657605553,-5.662663466574861,1.460729903358549e-07,True,Worse
roc_auc,LogisticRegression,DESKL,0.011958475734791585,0.5437079798365129,0.5878647517824068,False,No Diff
roc_auc,LogisticRegression,DecisionTreeClassifier,0.18568862540967823,6.116823680622569,1.9115602797386843e-08,True,Better
roc_auc,LogisticRegression,Exponential,0.02563593599383096,1.2062862048254257,0.2305819657774606,False,No Diff
roc_auc,LogisticRegression,KNORAE,0.10538896498238637,4.139845484170891,7.313445731342966e-05,True,Better
roc_auc,LogisticRegression,METADES,0.018990030145293435,0.7717550465706619,0.442097812976622,False,No Diff
roc_auc,LogisticRegression,MLA,0.13891866861208968,4.987554329327083,2.612457354188523e-06,True,Better
roc_auc,LogisticRegression,RandomForestClassifier,-0.000984200010515579,-0.047372522841323976,0.9623117615952771,False,No Diff
roc_auc,LogisticRegression,SGDClassifier,0.04048100452179415,1.380177210828491,0.17064080833034678,False,No Diff
roc_auc,LogisticRegression,StackingClassifier,-0.026397338626285793,-1.2096592076430315,0.22929034637330026,False,No Diff
roc_auc,LogisticRegression,VotingClassifier,-0.020391589988958403,-0.9135441384126934,0.3631759225433605,False,No Diff
roc_auc,LogisticRegression,XGBClassifier,-0.027730800778168918,-1.2275623689238147,0.22252217620820205,False,No Diff
roc_auc,METADES,DESKL,-0.00703155441050185,-0.37391071948210186,0.7092703272939868,False,No Diff
roc_auc,METADES,DecisionTreeClassifier,0.1666985952643848,5.353013425861488,5.607605905516512e-07,True,Better
roc_auc,METADES,Exponential,0.0066459058485375255,0.2945331662396351,0.7689672298675606,False,No Diff
roc_auc,METADES,KNORAE,0.08639893483709293,3.4738643707222128,0.0007625651004073847,True,Better
roc_auc,METADES,LogisticRegression,-0.018990030145293435,-0.7717550465706619,0.442097812976622,False,No Diff
roc_auc,METADES,MLA,0.11992863846679624,4.853946425190907,4.519891588262298e-06,True,Better
roc_auc,METADES,RandomForestClassifier,-0.019974230155809014,-1.0645490354643117,0.2896696273045238,False,No Diff
roc_auc,METADES,SGDClassifier,0.021490974376500716,0.7975287668177913,0.42705274047978914,False,No Diff
roc_auc,METADES,StackingClassifier,-0.04538736877157923,-2.173306903398158,0.03214219494246362,True,Worse
